Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1988,1988-09-11,22.335,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-19,22.343000000000004,3.0,8.0,37.5,80.0,0.0,1.0,35.4,1.0,6.0,10.0,4.38
1988,1988-09-25,22.349,10.0,18.0,55.56,110.0,0.0,1.0,50.7,4.0,19.0,6.11,3.61
1988,1988-10-02,22.355999999999998,14.0,26.0,53.85,172.0,1.0,1.0,71.3,2.0,8.0,6.62,5.65
1988,1988-10-09,22.363000000000003,7.0,11.0,63.64,71.0,0.0,0.0,82.0,2.0,15.0,6.45,6.45
1988,1988-10-16,23.004,20.0,33.0,60.61,246.0,1.0,2.0,68.5,0.0,0.0,7.45,5.33
1988,1988-10-23,23.011,9.0,17.0,52.94,123.0,0.0,3.0,36.8,0.0,0.0,7.24,-0.71
1988,1988-10-31,23.019000000000002,10.0,13.0,76.92,167.0,1.0,0.0,143.9,0.0,0.0,12.85,14.38
1988,1988-11-06,23.025,14.0,22.0,63.64,173.0,1.0,1.0,84.1,0.0,0.0,7.86,6.73
1988,1988-11-13,23.031999999999996,9.0,17.0,52.94,98.0,2.0,0.0,109.4,3.0,24.0,5.76,8.12
1988,1988-11-20,23.039,5.0,14.0,35.71,45.0,0.0,1.0,15.5,2.0,21.0,3.21,0.0
1988,1988-11-27,23.046,12.0,24.0,50.0,171.0,1.0,2.0,52.6,1.0,11.0,7.13,4.21
1988,1988-12-04,23.053,12.0,15.0,80.0,111.0,1.0,0.0,119.7,0.0,0.0,7.4,8.73
1988,1988-12-10,23.059,0.0,4.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1988,1988-12-18,23.066999999999997,4.0,11.0,36.36,52.0,0.0,0.0,52.1,3.0,24.0,4.73,4.73
1989,1989-09-10,23.333000000000002,14.0,32.0,43.75,200.0,1.0,1.0,62.0,1.0,10.0,6.25,5.47
1989,1989-09-17,23.34,20.0,33.0,60.61,266.0,1.0,1.0,83.6,0.0,0.0,8.06,7.3
1989,1989-09-24,23.346999999999998,5.0,15.0,33.33,71.0,0.0,1.0,21.8,2.0,7.0,4.73,1.73
1990,1990-09-16,24.339000000000002,7.0,13.0,53.85,90.0,0.0,0.0,75.8,1.0,15.0,6.92,6.92
1990,1990-10-21,25.009,1.0,3.0,33.33,23.0,0.0,1.0,22.2,1.0,2.0,7.67,-7.33
1990,1990-10-28,25.016,13.0,26.0,50.0,148.0,1.0,4.0,40.7,4.0,29.0,5.69,-0.46
