Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-12-13,22.125999999999998,10.0,20.0,50.0,170.0,0.0,1.0,58.3,0.0,0.0,8.5,6.25
1987,1987-12-20,22.133000000000003,13.0,36.0,36.11,186.0,0.0,4.0,14.1,3.0,21.0,5.17,0.17
1987,1987-12-27,22.14,16.0,36.0,44.44,196.0,1.0,4.0,31.5,2.0,16.0,5.44,1.0
1988,1988-09-04,23.026,24.0,36.0,66.67,205.0,1.0,1.0,79.1,2.0,22.0,5.69,5.0
1988,1988-09-11,23.033,15.0,29.0,51.72,179.0,2.0,1.0,79.5,3.0,33.0,6.17,6.0
1988,1988-09-18,23.04,12.0,24.0,50.0,175.0,0.0,2.0,39.4,1.0,4.0,7.29,3.54
1988,1988-09-25,23.046999999999997,10.0,21.0,47.62,218.0,2.0,1.0,96.9,4.0,28.0,10.38,10.14
1988,1988-10-23,23.075,14.0,30.0,46.67,138.0,0.0,1.0,46.3,2.0,11.0,4.6,3.1
1988,1988-10-30,23.081999999999997,10.0,23.0,43.48,235.0,3.0,0.0,120.5,4.0,33.0,10.22,12.83
1988,1988-11-06,23.089000000000002,15.0,25.0,60.0,177.0,1.0,2.0,61.6,0.0,0.0,7.08,4.28
1988,1988-11-13,23.096,18.0,38.0,47.37,201.0,1.0,1.0,61.4,1.0,13.0,5.29,4.63
1988,1988-11-20,23.103,18.0,29.0,62.07,165.0,0.0,0.0,77.5,2.0,15.0,5.69,5.69
1988,1988-11-27,23.11,14.0,24.0,58.33,121.0,1.0,1.0,68.2,1.0,13.0,5.04,4.0
1988,1988-12-04,23.116999999999997,13.0,27.0,48.15,156.0,0.0,1.0,50.8,3.0,22.0,5.78,4.11
1988,1988-12-11,23.124000000000002,7.0,18.0,38.89,57.0,0.0,1.0,24.5,0.0,0.0,3.17,0.67
1988,1988-12-18,23.131,14.0,27.0,51.85,106.0,0.0,0.0,61.7,1.0,13.0,3.93,3.93
1989,1989-09-10,24.031999999999996,23.0,37.0,62.16,299.0,2.0,0.0,105.6,5.0,28.0,8.08,9.16
1989,1989-09-17,24.039,21.0,29.0,72.41,255.0,0.0,0.0,99.1,2.0,12.0,8.79,8.79
1989,1989-09-24,24.046,10.0,21.0,47.62,100.0,0.0,0.0,61.6,2.0,16.0,4.76,4.76
1989,1989-10-01,24.053,,,,,,,,,,,
