Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-09-19,24.021,21.0,32.0,65.63,175.0,0.0,1.0,66.5,4.0,20.0,5.47,4.06
2004,2004-10-03,24.035,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2004,2004-10-10,24.041999999999998,5.0,8.0,62.5,68.0,0.0,0.0,89.6,1.0,8.0,8.5,8.5
2004,2004-11-21,24.084,0.0,0.0,,0.0,0.0,,,1.0,10.0,,
2004,2005-01-02,24.125999999999998,16.0,32.0,50.0,224.0,1.0,2.0,57.3,4.0,37.0,7.0,4.81
2005,2005-10-16,25.048000000000002,6.0,10.0,60.0,69.0,0.0,0.0,80.8,2.0,24.0,6.9,6.9
2005,2005-10-30,25.061999999999998,21.0,34.0,61.76,264.0,1.0,2.0,71.2,5.0,32.0,7.76,5.71
2005,2005-11-06,25.069000000000003,25.0,42.0,59.52,259.0,1.0,2.0,65.5,6.0,33.0,6.17,4.5
2005,2005-11-13,25.076,15.0,29.0,51.72,279.0,3.0,0.0,119.8,0.0,0.0,9.62,11.69
2005,2005-11-20,25.083000000000002,11.0,19.0,57.89,118.0,0.0,1.0,54.3,0.0,0.0,6.21,3.84
2005,2005-11-27,25.09,19.0,30.0,63.33,202.0,0.0,0.0,82.9,4.0,34.0,6.73,6.73
2005,2005-12-04,25.096999999999998,12.0,21.0,57.14,123.0,1.0,0.0,90.0,1.0,8.0,5.86,6.81
2005,2005-12-11,25.104,20.0,27.0,74.07,138.0,0.0,0.0,85.1,1.0,5.0,5.11,5.11
2005,2005-12-17,25.11,21.0,34.0,61.76,155.0,0.0,0.0,72.5,7.0,47.0,4.56,4.56
2005,2005-12-24,25.116999999999997,29.0,42.0,69.05,285.0,2.0,2.0,83.9,2.0,15.0,6.79,5.6
2005,2006-01-01,25.125,12.0,25.0,48.0,143.0,2.0,0.0,92.6,1.0,7.0,5.72,7.32
2006,2006-09-10,26.011999999999997,17.0,29.0,58.62,133.0,0.0,3.0,30.5,2.0,20.0,4.59,-0.07
2006,2006-09-17,26.019000000000002,28.0,53.0,52.83,313.0,0.0,3.0,47.1,1.0,2.0,5.91,3.36
2006,2006-09-24,26.026,13.0,24.0,54.17,139.0,1.0,1.0,67.9,1.0,10.0,5.79,4.75
2008,2008-12-28,28.121,1.0,2.0,50.0,7.0,0.0,0.0,58.3,1.0,10.0,3.5,3.5
2009,2009-11-15,29.078000000000003,3.0,13.0,23.08,13.0,0.0,1.0,7.5,3.0,21.0,1.0,-2.46
2009,2009-11-22,29.085,2.0,4.0,50.0,10.0,0.0,0.0,56.2,2.0,18.0,2.5,2.5
2009,2009-12-06,29.099,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
