Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2001,2001-09-09,29.04,13.0,22.0,59.09,223.0,1.0,1.0,89.8,2.0,23.0,10.14,9.0
2001,2001-09-23,29.054000000000002,27.0,41.0,65.85,276.0,0.0,0.0,85.0,2.0,6.0,6.73,6.73
2001,2001-09-30,29.061,18.0,30.0,60.0,160.0,1.0,1.0,71.5,2.0,15.0,5.33,4.5
2001,2001-10-07,29.068,29.0,47.0,61.7,275.0,1.0,3.0,58.4,1.0,0.0,5.85,3.4
2001,2001-10-14,29.075,21.0,39.0,53.85,196.0,2.0,1.0,74.3,1.0,12.0,5.03,4.9
2001,2001-10-21,29.081999999999997,24.0,35.0,68.57,226.0,1.0,4.0,56.1,1.0,8.0,6.46,1.89
2001,2001-10-28,29.089000000000002,12.0,34.0,35.29,76.0,0.0,1.0,31.7,1.0,6.0,2.24,0.91
2001,2001-11-04,29.096,9.0,21.0,42.86,158.0,0.0,1.0,49.3,1.0,5.0,7.52,5.38
2001,2001-11-18,29.11,22.0,41.0,53.66,177.0,2.0,0.0,81.0,0.0,0.0,4.32,5.29
2001,2001-11-25,29.116999999999997,17.0,31.0,54.84,171.0,0.0,2.0,43.9,4.0,20.0,5.52,2.61
2001,2001-12-02,29.124000000000002,11.0,19.0,57.89,161.0,0.0,0.0,85.6,8.0,60.0,8.47,8.47
2001,2001-12-09,29.131,15.0,30.0,50.0,153.0,1.0,1.0,62.2,0.0,0.0,5.1,4.27
2001,2001-12-23,29.145,24.0,51.0,47.06,312.0,1.0,0.0,73.3,1.0,7.0,6.12,6.51
2001,2001-12-30,29.151999999999997,36.0,63.0,57.14,223.0,1.0,1.0,63.1,0.0,0.0,3.54,3.14
2001,2002-01-06,29.159000000000002,15.0,36.0,41.67,144.0,0.0,3.0,18.8,2.0,15.0,4.0,0.25
2002,2002-09-15,30.046,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2002,2002-10-13,30.074,7.0,12.0,58.33,114.0,0.0,0.0,90.3,0.0,0.0,9.5,9.5
2002,2002-10-20,30.081,3.0,8.0,37.5,26.0,0.0,0.0,46.9,3.0,15.0,3.25,3.25
2002,2002-11-24,30.116,3.0,8.0,37.5,26.0,0.0,2.0,7.3,0.0,0.0,3.25,-8.0
2002,2002-12-15,30.136999999999997,3.0,7.0,42.86,14.0,0.0,1.0,10.7,2.0,18.0,2.0,-4.43
2002,2002-12-29,30.151,1.0,2.0,50.0,0.0,0.0,0.0,56.2,1.0,2.0,0.0,0.0
2005,2005-10-16,33.077,5.0,7.0,71.43,47.0,1.0,0.0,129.2,0.0,0.0,6.71,9.57
2005,2005-10-30,33.091,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2005,2006-01-01,33.154,2.0,5.0,40.0,17.0,0.0,0.0,49.6,0.0,0.0,3.4,3.4
2006,2006-12-10,34.132,34.0,61.0,55.74,423.0,1.0,3.0,62.4,2.0,5.0,6.93,5.05
2006,2006-12-17,34.139,18.0,28.0,64.29,170.0,0.0,1.0,66.1,5.0,29.0,6.07,4.46
2006,2006-12-24,34.146,4.0,7.0,57.14,32.0,1.0,0.0,108.3,3.0,21.0,4.57,7.43
2007,2007-12-23,35.145,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-30,35.152,13.0,22.0,59.09,104.0,1.0,0.0,86.2,5.0,31.0,4.73,5.64
