Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-10-16,23.233,9.0,17.0,52.94,99.0,0.0,0.0,70.5,0.0,0.0,5.82,5.82
2011,2011-10-23,23.24,13.0,32.0,40.63,219.0,2.0,2.0,59.2,2.0,2.0,6.84,5.28
2011,2011-10-30,23.247,18.0,28.0,64.29,236.0,1.0,0.0,102.7,4.0,7.0,8.43,9.14
2011,2011-11-14,23.261999999999997,16.0,34.0,47.06,190.0,0.0,1.0,52.3,3.0,28.0,5.59,4.26
2011,2011-11-20,23.268,19.0,33.0,57.58,211.0,2.0,3.0,59.0,5.0,24.0,6.39,3.52
2011,2011-11-27,23.275,17.0,25.0,68.0,186.0,1.0,0.0,103.1,4.0,24.0,7.44,8.24
2011,2011-12-04,23.281999999999996,29.0,47.0,61.7,381.0,3.0,2.0,90.8,3.0,29.0,8.11,7.47
2011,2011-12-11,23.289,11.0,21.0,52.38,115.0,2.0,3.0,60.7,3.0,28.0,5.48,0.95
2011,2011-12-18,23.296,14.0,31.0,45.16,120.0,2.0,1.0,63.9,4.0,18.0,3.87,3.71
2011,2011-12-24,23.302,8.0,13.0,61.54,68.0,0.0,0.0,75.2,1.0,1.0,5.23,5.23
2011,2012-01-01,23.31,4.0,10.0,40.0,28.0,0.0,1.0,8.3,1.0,3.0,2.8,-1.7
2012,2012-09-09,24.197,20.0,27.0,74.07,270.0,0.0,0.0,105.5,2.0,4.0,10.0,10.0
2012,2012-09-16,24.204,27.0,35.0,77.14,245.0,2.0,0.0,114.6,4.0,13.0,7.0,8.14
2012,2012-09-23,24.211,21.0,35.0,60.0,198.0,2.0,0.0,94.7,0.0,0.0,5.66,6.8
2012,2012-09-30,24.218000000000004,16.0,26.0,61.54,111.0,0.0,0.0,71.2,2.0,11.0,4.27,4.27
2012,2012-10-07,24.225,25.0,35.0,71.43,258.0,2.0,2.0,87.6,1.0,0.0,7.37,5.94
2012,2012-10-14,24.232,35.0,52.0,67.31,352.0,2.0,2.0,83.2,4.0,25.0,6.77,5.81
2012,2012-10-21,24.239,8.0,17.0,47.06,58.0,1.0,2.0,35.5,3.0,15.0,3.41,-0.71
2012,2012-10-25,24.243000000000002,19.0,35.0,54.29,251.0,1.0,1.0,74.8,3.0,22.0,7.17,6.46
2012,2012-11-04,24.253,11.0,22.0,50.0,63.0,0.0,1.0,37.3,4.0,19.0,2.86,0.82
2012,2012-11-11,24.26,24.0,32.0,75.0,221.0,2.0,0.0,114.2,2.0,14.0,6.91,8.16
2012,2012-11-25,24.274,22.0,43.0,51.16,159.0,1.0,1.0,58.2,2.0,15.0,3.7,3.12
2012,2012-12-02,24.281,12.0,25.0,48.0,119.0,1.0,2.0,41.9,0.0,0.0,4.76,1.96
2012,2012-12-09,24.288,11.0,17.0,64.71,91.0,0.0,1.0,53.8,1.0,14.0,5.35,2.71
2012,2012-12-16,24.295,17.0,24.0,70.83,131.0,0.0,0.0,83.9,2.0,22.0,5.46,5.46
2012,2012-12-23,24.302,16.0,30.0,53.33,174.0,1.0,0.0,81.8,1.0,3.0,5.8,6.47
2012,2012-12-30,24.309,16.0,28.0,57.14,234.0,3.0,0.0,120.2,1.0,7.0,8.36,10.5
2013,2013-09-08,25.195,18.0,28.0,64.29,236.0,1.0,3.0,63.1,3.0,11.0,8.43,4.32
2013,2013-09-15,25.201999999999998,16.0,30.0,53.33,227.0,1.0,1.0,75.3,1.0,0.0,7.57,6.73
2013,2013-09-22,25.209,25.0,42.0,59.52,228.0,0.0,1.0,64.4,6.0,33.0,5.43,4.36
2013,2013-10-27,25.244,14.0,21.0,66.67,145.0,0.0,0.0,86.4,3.0,13.0,6.9,6.9
2013,2013-11-03,25.250999999999998,25.0,37.0,67.57,236.0,1.0,1.0,82.7,2.0,12.0,6.38,5.7
2013,2013-11-07,25.255,17.0,21.0,80.95,174.0,2.0,1.0,113.1,1.0,5.0,8.29,8.05
2013,2013-11-17,25.265,13.0,22.0,59.09,129.0,1.0,2.0,53.0,2.0,3.0,5.86,2.68
2013,2013-11-24,25.272,21.0,30.0,70.0,233.0,1.0,0.0,103.9,6.0,18.0,7.77,8.43
2013,2013-12-01,25.279,3.0,8.0,37.5,40.0,0.0,0.0,54.2,3.0,24.0,5.0,5.0
2014,2014-09-28,26.215,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-10-02,26.219,22.0,44.0,50.0,222.0,0.0,2.0,45.8,6.0,34.0,5.05,3.0
