Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-11-23,23.278000000000002,1.0,1.0,100.0,34.0,1.0,0.0,158.3,0.0,0.0,34.0,54.0
1986,1986-12-15,23.3,12.0,24.0,50.0,167.0,1.0,1.0,69.3,6.0,63.0,6.96,5.92
1986,1986-12-21,23.305999999999997,8.0,15.0,53.33,46.0,0.0,1.0,31.5,2.0,6.0,3.07,0.07
1987,1987-09-13,24.206999999999997,24.0,38.0,63.16,195.0,1.0,2.0,62.9,1.0,6.0,5.13,3.29
1987,1987-09-20,24.214000000000002,21.0,35.0,60.0,255.0,1.0,2.0,68.2,2.0,11.0,7.29,5.29
1987,1987-10-25,24.249000000000002,33.0,47.0,70.21,362.0,3.0,0.0,114.0,3.0,26.0,7.7,8.98
1987,1987-11-01,24.256,16.0,34.0,47.06,151.0,0.0,1.0,47.5,3.0,23.0,4.44,3.12
1987,1987-11-08,24.263,15.0,28.0,53.57,217.0,1.0,2.0,61.2,0.0,0.0,7.75,5.25
1987,1987-11-15,24.27,23.0,37.0,62.16,249.0,0.0,4.0,42.3,1.0,11.0,6.73,1.86
1987,1987-11-22,24.276999999999997,14.0,31.0,45.16,170.0,1.0,2.0,46.4,3.0,21.0,5.48,3.23
1987,1987-11-26,24.281,21.0,41.0,51.22,206.0,1.0,0.0,73.8,0.0,0.0,5.02,5.51
1987,1987-12-06,24.291,26.0,48.0,54.17,288.0,1.0,2.0,61.8,2.0,17.0,6.0,4.54
1987,1987-12-13,24.298000000000002,12.0,23.0,52.17,108.0,1.0,0.0,79.6,0.0,0.0,4.7,5.57
1987,1987-12-20,24.305,16.0,30.0,53.33,240.0,1.0,3.0,51.4,1.0,5.0,8.0,4.17
1987,1987-12-27,24.311999999999998,11.0,24.0,45.83,157.0,0.0,2.0,32.8,1.0,7.0,6.54,2.79
1988,1988-09-04,25.199,13.0,19.0,68.42,107.0,2.0,1.0,95.7,3.0,19.0,5.63,5.37
1988,1988-09-11,25.206,13.0,29.0,44.83,155.0,1.0,1.0,58.8,3.0,23.0,5.34,4.48
1988,1988-09-18,25.213,20.0,33.0,60.61,274.0,2.0,2.0,82.1,5.0,42.0,8.3,6.79
1988,1988-09-25,25.22,10.0,21.0,47.62,119.0,0.0,1.0,45.5,3.0,22.0,5.67,3.52
1988,1988-10-02,25.226999999999997,11.0,19.0,57.89,139.0,1.0,0.0,98.4,3.0,22.0,7.32,8.37
1988,1988-10-09,25.234,6.0,14.0,42.86,57.0,0.0,0.0,54.8,0.0,0.0,4.07,4.07
1988,1988-11-24,25.28,2.0,6.0,33.33,5.0,0.0,1.0,2.8,1.0,6.0,0.83,-6.67
1989,1989-12-17,26.302,2.0,5.0,40.0,42.0,0.0,0.0,70.4,0.0,0.0,8.4,8.4
1990,1990-10-14,27.238000000000003,1.0,4.0,25.0,4.0,0.0,0.0,39.6,0.0,0.0,1.0,1.0
1990,1990-10-21,27.245,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-10-29,27.253,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-11-11,27.266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
