Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-11-23,27.099,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-17,27.123,9.0,16.0,56.25,98.0,0.0,0.0,74.5,1.0,9.0,6.13,6.13
2006,2006-12-25,27.131,11.0,16.0,68.75,104.0,1.0,0.0,107.3,2.0,9.0,6.5,7.75
2006,2006-12-31,27.136999999999997,18.0,36.0,50.0,210.0,1.0,1.0,65.7,2.0,6.0,5.83,5.14
2007,2007-10-07,28.052,15.0,27.0,55.56,151.0,0.0,1.0,56.3,1.0,8.0,5.59,3.93
2007,2007-10-14,28.059,24.0,43.0,55.81,256.0,2.0,2.0,69.5,2.0,10.0,5.95,4.79
2007,2007-10-21,28.066,24.0,37.0,64.86,236.0,0.0,1.0,71.5,3.0,33.0,6.38,5.16
2007,2007-10-28,28.073,17.0,30.0,56.67,149.0,1.0,0.0,81.1,3.0,30.0,4.97,5.63
2007,2007-11-11,28.087,16.0,29.0,55.17,131.0,0.0,0.0,66.9,1.0,5.0,4.52,4.52
2007,2007-12-09,28.115,22.0,42.0,52.38,241.0,0.0,2.0,49.8,2.0,7.0,5.74,3.6
2007,2007-12-16,28.122,23.0,39.0,58.97,315.0,1.0,0.0,93.4,5.0,27.0,8.08,8.59
2007,2007-12-23,28.129,18.0,41.0,43.9,171.0,1.0,0.0,64.2,7.0,38.0,4.17,4.66
2007,2007-12-30,28.136,14.0,21.0,66.67,123.0,1.0,0.0,97.9,1.0,8.0,5.86,6.81
2008,2008-11-09,29.085,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2008,2008-12-07,29.113000000000003,,,,,,,,0.0,,,
