Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-28,25.185,5.0,8.0,62.5,70.0,1.0,0.0,130.2,,,8.75,11.25
1980,1980-10-12,25.199,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-10-20,25.206999999999997,6.0,11.0,54.55,85.0,1.0,1.0,72.2,1.0,2.0,7.73,5.45
1980,1980-10-26,25.213,18.0,37.0,48.65,310.0,0.0,1.0,66.3,1.0,4.0,8.38,7.16
1980,1980-11-09,25.226999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-11-23,25.241,3.0,4.0,75.0,28.0,0.0,0.0,93.7,2.0,13.0,7.0,7.0
1981,1981-09-20,26.177,1.0,2.0,50.0,17.0,0.0,0.0,79.2,0.0,0.0,8.5,8.5
1981,1981-10-04,26.191,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1982,1982-11-28,27.246,9.0,20.0,45.0,73.0,0.0,3.0,15.2,0.0,0.0,3.65,-3.1
1982,1982-12-05,27.253,3.0,5.0,60.0,52.0,0.0,1.0,55.8,0.0,0.0,10.4,1.4
1982,1982-12-12,27.26,2.0,10.0,20.0,29.0,0.0,1.0,0.0,1.0,8.0,2.9,-1.6
1982,1982-12-19,27.267,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-26,27.274,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1983-01-02,27.281,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-04,28.160999999999998,18.0,32.0,56.25,217.0,0.0,3.0,38.2,4.0,26.0,6.78,2.56
1983,1983-09-11,28.168000000000003,12.0,19.0,63.16,190.0,0.0,0.0,96.4,1.0,4.0,10.0,10.0
1983,1983-09-18,28.175,16.0,27.0,59.26,197.0,1.0,1.0,78.8,2.0,21.0,7.3,6.37
1983,1983-09-25,28.182,21.0,35.0,60.0,265.0,2.0,3.0,67.0,5.0,27.0,7.57,4.86
1983,1983-10-02,28.189,5.0,12.0,41.67,108.0,1.0,0.0,102.1,3.0,20.0,9.0,10.67
1983,1983-10-10,28.197,10.0,23.0,43.48,124.0,0.0,1.0,42.7,2.0,12.0,5.39,3.43
1983,1983-10-16,28.203000000000003,14.0,18.0,77.78,194.0,1.0,0.0,130.1,1.0,8.0,10.78,11.89
1983,1983-10-23,28.21,12.0,20.0,60.0,186.0,0.0,0.0,90.8,3.0,28.0,9.3,9.3
1983,1983-10-30,28.217,20.0,39.0,51.28,233.0,1.0,3.0,46.2,5.0,24.0,5.97,3.03
1983,1983-11-06,28.224,11.0,23.0,47.83,150.0,0.0,1.0,51.0,3.0,18.0,6.52,4.57
