Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1988,1988-09-04,24.304000000000002,3.0,6.0,50.0,59.0,0.0,0.0,84.7,0.0,0.0,9.83,9.83
1988,1988-09-11,24.311,21.0,34.0,61.76,276.0,2.0,1.0,94.7,4.0,26.0,8.12,7.97
1988,1988-09-18,24.318,9.0,25.0,36.0,108.0,0.0,2.0,16.7,3.0,25.0,4.32,0.72
1988,1988-09-25,24.325,8.0,17.0,47.06,166.0,2.0,2.0,81.6,1.0,10.0,9.76,6.82
1988,1988-10-02,24.331999999999997,10.0,28.0,35.71,158.0,0.0,1.0,40.5,2.0,11.0,5.64,4.04
1988,1988-10-09,24.339000000000002,1.0,2.0,50.0,8.0,0.0,0.0,60.4,0.0,0.0,4.0,4.0
1989,1989-09-10,25.309,2.0,4.0,50.0,9.0,0.0,0.0,56.2,0.0,0.0,2.25,2.25
1989,1989-10-01,25.33,1.0,1.0,100.0,10.0,0.0,0.0,108.3,0.0,0.0,10.0,10.0
1989,1989-10-22,25.351,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1989,1989-11-19,26.014,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-26,26.021,5.0,11.0,45.45,51.0,0.0,0.0,59.3,1.0,10.0,4.64,4.64
1989,1989-12-17,26.041999999999998,7.0,14.0,50.0,85.0,0.0,1.0,39.3,1.0,10.0,6.07,2.86
1990,1990-09-23,26.322,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-10-14,26.343000000000004,3.0,7.0,42.86,32.0,0.0,0.0,56.8,0.0,0.0,4.57,4.57
1990,1990-11-18,27.013,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-09,27.034000000000002,11.0,13.0,84.62,92.0,1.0,0.0,121.8,0.0,0.0,7.08,8.62
1990,1990-12-23,27.048000000000002,1.0,6.0,16.67,12.0,0.0,1.0,0.0,0.0,0.0,2.0,-5.5
1990,1990-12-30,27.055,22.0,29.0,75.86,247.0,3.0,1.0,120.9,3.0,15.0,8.52,9.03
1991,1991-09-01,27.3,2.0,3.0,66.67,18.0,0.0,0.0,82.6,1.0,9.0,6.0,6.0
1991,1991-10-27,27.355999999999998,4.0,7.0,57.14,92.0,1.0,0.0,141.4,0.0,0.0,13.14,16.0
1991,1991-12-08,28.033,1.0,2.0,50.0,4.0,0.0,0.0,56.2,0.0,0.0,2.0,2.0
1992,1992-09-27,28.326999999999998,3.0,7.0,42.86,22.0,0.0,1.0,11.3,0.0,0.0,3.14,-3.29
1992,1992-10-11,28.340999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-01,28.362,15.0,23.0,65.22,137.0,1.0,0.0,95.7,1.0,7.0,5.96,6.83
1992,1992-11-08,29.003,9.0,11.0,81.82,111.0,2.0,1.0,110.4,0.0,0.0,10.09,9.64
1992,1992-11-15,29.01,2.0,2.0,100.0,13.0,0.0,0.0,93.7,0.0,0.0,6.5,6.5
1992,1992-11-22,29.017,22.0,35.0,62.86,228.0,1.0,2.0,67.3,3.0,27.0,6.51,4.51
1992,1992-11-26,29.021,24.0,33.0,72.73,338.0,1.0,2.0,90.2,2.0,6.0,10.24,8.12
1992,1992-12-07,29.031999999999996,18.0,27.0,66.67,178.0,1.0,0.0,97.5,2.0,14.0,6.59,7.33
1992,1992-12-13,29.038,25.0,36.0,69.44,330.0,0.0,2.0,75.0,1.0,2.0,9.17,6.67
1992,1992-12-20,29.045,19.0,34.0,55.88,248.0,2.0,2.0,74.1,5.0,34.0,7.29,5.82
1992,1992-12-27,29.052,12.0,19.0,63.16,105.0,1.0,1.0,73.4,1.0,0.0,5.53,4.21
1993,1993-09-05,29.304000000000002,6.0,13.0,46.15,128.0,0.0,0.0,81.6,1.0,6.0,9.85,9.85
1993,1993-09-12,29.311,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-19,29.318,4.0,6.0,66.67,43.0,0.0,0.0,87.5,0.0,0.0,7.17,7.17
1993,1993-10-11,29.34,9.0,15.0,60.0,95.0,0.0,1.0,50.7,1.0,6.0,6.33,3.33
1993,1993-10-17,29.346,6.0,9.0,66.67,46.0,0.0,0.0,78.9,0.0,0.0,5.11,5.11
1993,1993-11-14,30.009,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-15.0
1993,1993-12-25,30.05,3.0,3.0,100.0,46.0,0.0,0.0,118.7,1.0,2.0,15.33,15.33
1993,1994-01-02,30.058000000000003,23.0,38.0,60.53,247.0,2.0,1.0,86.2,5.0,39.0,6.5,6.37
1994,1994-09-04,30.303,11.0,22.0,50.0,129.0,0.0,1.0,49.2,2.0,23.0,5.86,3.82
1994,1994-09-25,30.324,12.0,33.0,36.36,211.0,1.0,2.0,43.9,3.0,18.0,6.39,4.27
1994,1994-10-03,30.331999999999997,3.0,7.0,42.86,18.0,0.0,0.0,50.3,2.0,13.0,2.57,2.57
1994,1994-10-24,30.353,11.0,22.0,50.0,164.0,0.0,1.0,55.9,2.0,16.0,7.45,5.41
1994,1994-11-06,31.000999999999998,22.0,48.0,45.83,205.0,0.0,0.0,58.1,6.0,45.0,4.27,4.27
