Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-10-02,23.333000000000002,,,,,,,,,,,
2011,2011-10-09,23.34,3.0,3.0,100.0,35.0,0.0,0.0,115.3,0.0,0.0,11.67,11.67
2011,2011-12-04,24.031,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2012,2012-09-09,24.311,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-09-30,24.331999999999997,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2012,2012-10-07,24.339000000000002,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2012,2012-10-14,24.346,4.0,7.0,57.14,82.0,0.0,0.0,98.5,2.0,17.0,11.71,11.71
2012,2012-10-18,24.35,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-11-11,25.008000000000003,11.0,17.0,64.71,117.0,0.0,0.0,84.7,3.0,22.0,6.88,6.88
2012,2012-11-19,25.016,16.0,23.0,69.57,243.0,2.0,0.0,133.1,1.0,7.0,10.57,12.3
2012,2012-11-25,25.022,16.0,25.0,64.0,231.0,1.0,1.0,90.6,0.0,0.0,9.24,8.24
2012,2012-12-02,25.029,21.0,32.0,65.63,208.0,0.0,0.0,83.9,3.0,17.0,6.5,6.5
2012,2012-12-09,25.035999999999998,18.0,23.0,78.26,185.0,0.0,0.0,100.2,4.0,19.0,8.04,8.04
2012,2012-12-16,25.043000000000003,14.0,25.0,56.0,221.0,4.0,1.0,108.5,1.0,13.0,8.84,10.24
2012,2012-12-23,25.05,19.0,36.0,52.78,244.0,1.0,1.0,72.0,1.0,13.0,6.78,6.08
2012,2012-12-30,25.057,16.0,28.0,57.14,276.0,2.0,0.0,114.6,1.0,4.0,9.86,11.29
2013,2013-09-08,25.309,27.0,39.0,69.23,412.0,3.0,0.0,129.4,2.0,8.0,10.56,12.1
2013,2013-09-15,25.316,13.0,28.0,46.43,127.0,0.0,3.0,20.1,3.0,20.0,4.54,-0.29
2013,2013-09-22,25.323,13.0,27.0,48.15,150.0,0.0,1.0,49.9,3.0,11.0,5.56,3.89
2013,2013-09-26,25.326999999999998,15.0,23.0,65.22,167.0,2.0,0.0,115.7,2.0,16.0,7.26,9.0
2013,2013-10-06,25.337,6.0,15.0,40.0,113.0,1.0,0.0,89.0,1.0,6.0,7.53,8.87
2013,2013-10-13,25.344,16.0,29.0,55.17,252.0,2.0,1.0,92.9,2.0,14.0,8.69,8.52
2013,2013-10-20,25.351,13.0,21.0,61.9,199.0,0.0,0.0,93.2,2.0,3.0,9.48,9.48
2013,2013-10-27,25.358,10.0,16.0,62.5,164.0,1.0,0.0,117.7,0.0,0.0,10.25,11.5
2013,2013-11-10,26.006999999999998,11.0,22.0,50.0,91.0,0.0,1.0,42.0,6.0,45.0,4.14,2.09
2013,2013-11-17,26.014,17.0,31.0,54.84,127.0,2.0,1.0,72.9,3.0,12.0,4.1,3.94
2013,2013-11-25,26.022,15.0,24.0,62.5,235.0,3.0,0.0,134.5,2.0,7.0,9.79,12.29
2013,2013-12-01,26.028000000000002,19.0,28.0,67.86,275.0,1.0,0.0,111.5,4.0,20.0,9.82,10.54
2013,2013-12-08,26.035,15.0,29.0,51.72,175.0,1.0,1.0,67.5,2.0,20.0,6.03,5.17
2013,2013-12-15,26.041999999999998,19.0,29.0,65.52,203.0,2.0,0.0,108.8,2.0,14.0,7.0,8.38
2013,2013-12-23,26.05,13.0,21.0,61.9,197.0,1.0,0.0,108.6,3.0,17.0,9.38,10.33
2013,2013-12-29,26.055999999999997,21.0,34.0,61.76,310.0,2.0,0.0,111.2,2.0,18.0,9.12,10.29
2014,2014-09-07,26.308000000000003,16.0,23.0,69.57,201.0,2.0,0.0,125.5,1.0,9.0,8.74,10.48
2014,2014-09-14,26.315,21.0,34.0,61.76,248.0,1.0,3.0,57.0,4.0,16.0,7.29,3.91
2014,2014-09-21,26.322,29.0,37.0,78.38,245.0,1.0,0.0,103.3,1.0,9.0,6.62,7.16
2014,2014-09-28,26.329,17.0,30.0,56.67,218.0,2.0,1.0,87.9,4.0,29.0,7.27,7.1
2014,2014-10-05,26.336,14.0,26.0,53.85,201.0,1.0,0.0,92.0,3.0,15.0,7.73,8.5
2014,2014-10-13,26.344,22.0,35.0,62.86,343.0,3.0,0.0,123.9,0.0,0.0,9.8,11.51
2014,2014-10-19,26.35,24.0,39.0,61.54,263.0,1.0,1.0,79.3,6.0,53.0,6.74,6.1
2014,2014-11-02,26.364,22.0,33.0,66.67,237.0,1.0,0.0,97.7,8.0,54.0,7.18,7.79
2014,2014-11-09,27.006,14.0,32.0,43.75,210.0,1.0,0.0,76.3,4.0,24.0,6.56,7.19
2014,2014-11-16,27.013,15.0,29.0,51.72,193.0,1.0,0.0,84.4,1.0,8.0,6.66,7.34
2014,2014-11-23,27.02,20.0,29.0,68.97,256.0,1.0,1.0,93.5,2.0,10.0,8.83,7.97
2014,2014-11-27,27.024,16.0,29.0,55.17,121.0,0.0,2.0,36.7,4.0,21.0,4.17,1.07
2014,2014-12-07,27.034000000000002,18.0,33.0,54.55,174.0,1.0,2.0,54.4,5.0,23.0,5.27,3.15
2014,2014-12-14,27.041,11.0,19.0,57.89,141.0,0.0,0.0,81.2,6.0,36.0,7.42,7.42
2014,2014-12-20,27.046999999999997,15.0,24.0,62.5,114.0,1.0,0.0,87.8,2.0,22.0,4.75,5.58
2014,2014-12-28,27.055,15.0,26.0,57.69,204.0,2.0,0.0,108.5,1.0,15.0,7.85,9.38
2015,2015-09-14,27.315,17.0,26.0,65.38,165.0,0.0,0.0,83.0,1.0,0.0,6.35,6.35
2015,2015-09-20,27.320999999999998,33.0,46.0,71.74,335.0,2.0,0.0,106.7,5.0,37.0,7.28,8.15
2015,2015-09-27,27.328000000000003,9.0,19.0,47.37,67.0,0.0,4.0,16.7,2.0,14.0,3.53,-5.95
