Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2010,2010-10-17,24.041999999999998,23.0,33.0,69.7,281.0,1.0,2.0,80.5,5.0,23.0,8.52,6.39
2010,2010-10-24,24.049,9.0,16.0,56.25,74.0,0.0,0.0,68.2,1.0,2.0,4.63,4.63
2010,2010-11-07,24.063000000000002,14.0,19.0,73.68,174.0,0.0,0.0,101.6,0.0,0.0,9.16,9.16
2010,2010-11-14,24.07,18.0,31.0,58.06,205.0,1.0,0.0,88.8,3.0,9.0,6.61,7.26
2010,2010-11-21,24.076999999999998,17.0,28.0,60.71,241.0,1.0,1.0,85.6,6.0,46.0,8.61,7.71
2010,2010-12-19,24.105,19.0,25.0,76.0,243.0,2.0,0.0,132.6,4.0,24.0,9.72,11.32
2010,2010-12-26,24.112,15.0,29.0,51.72,149.0,0.0,3.0,27.0,0.0,0.0,5.14,0.48
2010,2011-01-02,24.119,20.0,41.0,48.78,209.0,1.0,3.0,41.6,4.0,28.0,5.1,2.29
2011,2011-09-11,25.006,19.0,40.0,47.5,213.0,2.0,1.0,70.1,2.0,11.0,5.33,5.2
2011,2011-09-18,25.013,22.0,32.0,68.75,211.0,1.0,0.0,97.3,1.0,14.0,6.59,7.22
2011,2011-09-25,25.02,19.0,39.0,48.72,210.0,2.0,1.0,71.5,0.0,0.0,5.38,5.26
2011,2011-10-02,25.026999999999997,40.0,61.0,65.57,350.0,1.0,1.0,79.3,3.0,11.0,5.74,5.33
2011,2011-10-16,25.041,21.0,45.0,46.67,215.0,2.0,0.0,75.7,2.0,12.0,4.78,5.67
2011,2011-10-23,25.048000000000002,20.0,35.0,57.14,178.0,0.0,1.0,59.0,4.0,19.0,5.09,3.8
2011,2011-10-30,25.055,22.0,34.0,64.71,241.0,1.0,1.0,83.1,4.0,17.0,7.09,6.35
2011,2011-11-06,25.061999999999998,14.0,22.0,63.64,146.0,1.0,1.0,79.0,4.0,18.0,6.64,5.5
2011,2011-11-13,25.069000000000003,20.0,27.0,74.07,218.0,0.0,0.0,97.5,2.0,9.0,8.07,8.07
2011,2011-11-20,25.076,17.0,24.0,70.83,199.0,1.0,1.0,92.2,2.0,13.0,8.29,7.25
2011,2011-11-27,25.083000000000002,16.0,34.0,47.06,151.0,2.0,1.0,67.2,2.0,11.0,4.44,4.29
2011,2011-12-04,25.09,17.0,35.0,48.57,192.0,1.0,1.0,63.0,3.0,22.0,5.49,4.77
2011,2011-12-08,25.094,18.0,35.0,51.43,209.0,0.0,2.0,46.0,3.0,16.0,5.97,3.4
2012,2012-11-25,26.081,,,,,,,,,,,
2012,2012-12-09,26.095,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-23,26.109,9.0,17.0,52.94,79.0,1.0,0.0,85.2,4.0,25.0,4.65,5.82
2013,2013-09-26,27.021,,,,,,,,,,,
2013,2013-10-06,27.031,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2013,2013-10-27,27.052,1.0,1.0,100.0,13.0,0.0,0.0,118.7,0.0,0.0,13.0,13.0
2013,2013-12-15,27.101,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-10-19,28.044,11.0,12.0,91.67,128.0,1.0,0.0,138.9,2.0,8.0,10.67,12.33
2014,2014-10-27,28.052,25.0,30.0,83.33,299.0,0.0,1.0,94.3,3.0,13.0,9.97,8.47
2014,2014-11-30,28.086,31.0,47.0,65.96,392.0,3.0,0.0,113.1,6.0,51.0,8.34,9.62
2014,2014-12-07,28.093000000000004,20.0,32.0,62.5,199.0,0.0,2.0,54.0,6.0,45.0,6.22,3.41
2014,2014-12-14,28.1,4.0,7.0,57.14,39.0,0.0,0.0,72.9,0.0,0.0,5.57,5.57
2015,2016-01-03,29.12,7.0,11.0,63.64,128.0,1.0,0.0,133.9,1.0,13.0,11.64,13.45
2017,2017-11-30,31.086,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-11-18,32.074,6.0,12.0,50.0,54.0,1.0,0.0,90.3,2.0,13.0,4.5,6.17
2018,2018-11-22,32.078,24.0,38.0,63.16,268.0,2.0,3.0,68.7,3.0,17.0,7.05,4.55
2018,2018-12-03,32.089,4.0,4.0,100.0,50.0,0.0,0.0,118.7,1.0,6.0,12.5,12.5
2019,2019-10-06,33.031,18.0,27.0,66.67,122.0,0.0,1.0,61.0,6.0,44.0,4.52,2.85
2020,2020-11-29,34.085,6.0,10.0,60.0,31.0,0.0,0.0,65.0,0.0,0.0,3.1,3.1
2020,2020-12-06,34.092,13.0,22.0,59.09,105.0,1.0,1.0,67.4,2.0,5.0,4.77,3.64
2020,2020-12-13,34.099000000000004,2.0,3.0,66.67,18.0,0.0,0.0,82.6,2.0,12.0,6.0,6.0
2020,2020-12-20,34.106,19.0,31.0,61.29,221.0,0.0,0.0,82.9,1.0,7.0,7.13,7.13
