Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1992,1992-09-13,23.119,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-18,23.154,2.0,3.0,66.67,17.0,0.0,0.0,81.2,1.0,3.0,5.67,5.67
1992,1992-10-25,23.160999999999998,1.0,3.0,33.33,6.0,0.0,0.0,42.4,0.0,0.0,2.0,2.0
1992,1992-11-08,23.175,5.0,6.0,83.33,51.0,0.0,0.0,102.1,0.0,0.0,8.5,8.5
1992,1992-11-22,23.189,3.0,6.0,50.0,20.0,0.0,0.0,57.6,0.0,0.0,3.33,3.33
1992,1992-12-13,23.21,4.0,8.0,50.0,27.0,0.0,0.0,57.8,1.0,6.0,3.38,3.38
1993,1993-09-05,24.111,8.0,15.0,53.33,61.0,0.0,0.0,63.5,0.0,0.0,4.07,4.07
1993,1993-09-12,24.118000000000002,16.0,28.0,57.14,174.0,1.0,1.0,72.6,3.0,20.0,6.21,5.32
1993,1993-09-26,24.131999999999998,13.0,32.0,40.63,240.0,1.0,2.0,51.6,2.0,25.0,7.5,5.31
1993,1993-10-03,24.139,14.0,25.0,56.0,210.0,2.0,0.0,110.4,3.0,14.0,8.4,10.0
1993,1993-10-10,24.146,12.0,29.0,41.38,122.0,0.0,4.0,14.5,3.0,12.0,4.21,-2.0
1993,1993-10-24,24.16,8.0,20.0,40.0,151.0,2.0,2.0,60.6,0.0,0.0,7.55,5.05
1993,1993-10-31,24.166999999999998,18.0,28.0,64.29,318.0,4.0,2.0,112.8,2.0,11.0,11.36,11.0
1993,1993-11-07,24.174,13.0,26.0,50.0,122.0,0.0,1.0,47.3,3.0,20.0,4.69,2.96
1993,1993-11-14,24.180999999999997,17.0,27.0,62.96,239.0,2.0,1.0,100.7,2.0,15.0,8.85,8.67
1993,1993-11-21,24.188000000000002,19.0,32.0,59.38,239.0,0.0,0.0,82.7,4.0,39.0,7.47,7.47
1993,1993-11-28,24.195,12.0,35.0,34.29,144.0,1.0,0.0,57.3,3.0,29.0,4.11,4.69
1993,1993-12-05,24.201999999999998,15.0,34.0,44.12,163.0,1.0,3.0,31.9,0.0,0.0,4.79,1.41
1993,1993-12-12,24.209,12.0,21.0,57.14,128.0,0.0,1.0,55.3,3.0,16.0,6.1,3.95
1993,1993-12-19,24.215999999999998,21.0,34.0,61.76,295.0,0.0,0.0,89.7,5.0,30.0,8.68,8.68
1993,1993-12-26,24.223000000000003,14.0,30.0,46.67,176.0,2.0,1.0,73.7,2.0,5.0,5.87,5.7
1993,1994-01-02,24.23,21.0,41.0,51.22,272.0,2.0,3.0,58.2,0.0,0.0,6.63,4.32
1994,1994-09-04,25.11,18.0,32.0,56.25,197.0,0.0,0.0,74.6,3.0,16.0,6.16,6.16
1994,1994-09-11,25.116999999999997,19.0,24.0,79.17,313.0,3.0,0.0,158.3,0.0,0.0,13.04,15.54
1994,1994-09-18,25.124000000000002,17.0,32.0,53.13,176.0,1.0,0.0,79.7,5.0,29.0,5.5,6.13
1994,1994-09-25,25.131,7.0,20.0,35.0,124.0,0.0,1.0,36.2,2.0,12.0,6.2,3.95
1994,1994-10-02,25.138,10.0,20.0,50.0,122.0,1.0,0.0,85.8,1.0,7.0,6.1,7.1
1994,1994-10-09,25.145,18.0,30.0,60.0,172.0,1.0,0.0,87.1,4.0,19.0,5.73,6.4
1994,1994-10-23,25.159000000000002,5.0,7.0,71.43,67.0,1.0,0.0,141.1,0.0,0.0,9.57,12.43
1994,1994-10-30,25.166,10.0,18.0,55.56,129.0,1.0,2.0,57.2,2.0,11.0,7.17,3.28
1994,1994-11-13,25.18,16.0,23.0,69.57,243.0,0.0,0.0,104.1,3.0,25.0,10.57,10.57
1994,1994-11-20,25.186999999999998,22.0,32.0,68.75,212.0,2.0,1.0,94.8,0.0,0.0,6.63,6.47
1994,1994-11-27,25.194000000000003,20.0,38.0,52.63,254.0,1.0,1.0,71.6,0.0,0.0,6.68,6.03
1994,1994-12-04,25.201,18.0,35.0,51.43,251.0,1.0,2.0,60.5,0.0,0.0,7.17,5.17
1994,1994-12-11,25.208000000000002,10.0,22.0,45.45,231.0,2.0,0.0,114.0,1.0,1.0,10.5,12.32
1994,1994-12-18,25.215,19.0,34.0,55.88,267.0,0.0,2.0,56.9,0.0,0.0,7.85,5.21
1994,1994-12-24,25.221,16.0,32.0,50.0,161.0,2.0,1.0,72.5,1.0,9.0,5.03,4.88
1995,1995-09-03,26.109,19.0,31.0,61.29,196.0,1.0,3.0,50.7,2.0,13.0,6.32,2.61
1995,1995-09-10,26.116,12.0,18.0,66.67,141.0,0.0,1.0,67.1,3.0,25.0,7.83,5.33
1995,1995-10-22,26.158,1.0,1.0,100.0,-2.0,0.0,0.0,79.2,0.0,0.0,-2.0,-2.0
1995,1995-10-29,26.165,0.0,2.0,0.0,0.0,0.0,0.0,39.6,3.0,21.0,0.0,0.0
1995,1995-11-05,26.171999999999997,9.0,15.0,60.0,122.0,0.0,0.0,86.0,1.0,8.0,8.13,8.13
1995,1995-12-10,26.206999999999997,9.0,16.0,56.25,129.0,2.0,0.0,122.1,1.0,1.0,8.06,10.56
1996,1996-10-06,27.142,16.0,28.0,57.14,243.0,1.0,1.0,82.9,4.0,29.0,8.68,7.79
1996,1996-10-13,27.149,14.0,29.0,48.28,192.0,0.0,0.0,69.9,3.0,16.0,6.62,6.62
1996,1996-10-20,27.156,18.0,31.0,58.06,239.0,2.0,1.0,90.7,4.0,27.0,7.71,7.55
1996,1996-10-27,27.163,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-11-03,27.17,7.0,8.0,87.5,106.0,1.0,0.0,158.3,0.0,0.0,13.25,15.75
1996,1996-11-10,27.177,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-12-22,27.219,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
