Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1965,1965-10-10,22.247,7.0,11.0,63.64,112.0,2.0,1.0,99.2,,,10.18,9.73
1965,1965-10-17,22.254,0.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-15.0
1965,1965-10-24,22.261,10.0,20.0,50.0,61.0,0.0,2.0,16.9,,,3.05,-1.45
1966,1966-09-18,23.225,0.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-11.25
1966,1966-10-02,23.239,4.0,4.0,100.0,67.0,1.0,0.0,158.3,,,16.75,21.75
1966,1966-10-09,23.246,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1966,1966-10-30,23.267,1.0,3.0,33.33,30.0,0.0,0.0,71.5,,,10.0,10.0
1966,1966-12-11,23.309,2.0,6.0,33.33,40.0,1.0,0.0,97.2,,,6.67,10.0
1966,1966-12-18,23.316,6.0,9.0,66.67,88.0,1.0,0.0,135.4,,,9.78,12.0
1967,1967-09-24,24.230999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1967,1967-10-01,24.238000000000003,3.0,9.0,33.33,44.0,0.0,1.0,10.6,,,4.89,-0.11
1967,1967-10-15,24.252,11.0,29.0,37.93,128.0,1.0,2.0,34.8,,,4.41,2.0
1967,1967-10-22,24.259,12.0,16.0,75.0,256.0,3.0,1.0,130.2,,,16.0,16.94
1967,1967-10-29,24.266,14.0,29.0,48.28,199.0,2.0,3.0,54.3,,,6.86,3.59
1967,1967-11-19,24.287,10.0,15.0,66.67,131.0,2.0,1.0,105.8,,,8.73,8.4
1967,1967-12-10,24.308000000000003,10.0,21.0,47.62,88.0,1.0,1.0,55.3,,,4.19,3.0
1967,1967-12-16,24.314,9.0,17.0,52.94,132.0,1.0,1.0,73.7,,,7.76,6.29
1968,1968-09-15,25.223000000000003,7.0,15.0,46.67,121.0,1.0,0.0,96.8,,,8.07,9.4
1968,1968-09-29,25.237,1.0,1.0,100.0,53.0,0.0,0.0,118.7,,,53.0,53.0
1968,1968-10-13,25.250999999999998,1.0,1.0,100.0,12.0,0.0,0.0,116.7,,,12.0,12.0
1968,1968-10-28,25.266,0.0,3.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1968,1968-11-03,25.272,1.0,3.0,33.33,35.0,0.0,1.0,38.9,,,11.67,-3.33
1968,1968-11-10,25.279,1.0,2.0,50.0,16.0,0.0,0.0,77.1,,,8.0,8.0
1968,1968-11-17,25.285999999999998,3.0,5.0,60.0,20.0,1.0,1.0,68.7,,,4.0,-1.0
1968,1968-11-24,25.293000000000003,15.0,32.0,46.88,240.0,1.0,1.0,69.8,,,7.5,6.72
1968,1968-11-28,25.296999999999997,1.0,1.0,100.0,41.0,0.0,0.0,118.7,,,41.0,41.0
1968,1968-12-08,25.307,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-22.5
1968,1968-12-15,25.314,14.0,20.0,70.0,214.0,1.0,2.0,82.1,,,10.7,7.2
1969,1969-09-28,26.235,8.0,14.0,57.14,122.0,1.0,0.0,109.8,,,8.71,10.14
1969,1969-10-05,26.241999999999997,14.0,18.0,77.78,261.0,3.0,0.0,158.3,,,14.5,17.83
1969,1969-10-12,26.249000000000002,15.0,20.0,75.0,239.0,1.0,0.0,131.0,,,11.95,12.95
1969,1969-10-19,26.256,13.0,19.0,68.42,247.0,5.0,0.0,150.8,,,13.0,18.26
1969,1969-10-27,26.264,11.0,26.0,42.31,127.0,1.0,2.0,38.5,,,4.88,2.19
1969,1969-11-02,26.27,11.0,22.0,50.0,147.0,0.0,3.0,32.0,,,6.68,0.55
1969,1969-11-09,26.276999999999997,13.0,23.0,56.52,292.0,2.0,2.0,94.0,,,12.7,10.52
1969,1969-11-16,26.284000000000002,8.0,17.0,47.06,156.0,1.0,1.0,74.6,,,9.18,7.71
1969,1969-11-23,26.291,14.0,31.0,45.16,204.0,2.0,2.0,61.8,,,6.58,4.97
1969,1969-11-27,26.295,16.0,37.0,43.24,206.0,2.0,3.0,45.6,,,5.57,3.0
1969,1969-12-07,26.305,11.0,25.0,44.0,124.0,0.0,2.0,26.1,,,4.96,1.36
1969,1969-12-13,26.311,12.0,23.0,52.17,289.0,2.0,0.0,126.6,,,12.57,14.3
1969,1969-12-21,26.319000000000003,16.0,27.0,59.26,205.0,1.0,0.0,95.4,,,7.59,8.33
1970,1970-10-04,27.241,7.0,16.0,43.75,141.0,0.0,0.0,75.3,2.0,20.0,8.81,8.81
1970,1970-10-11,27.248,3.0,10.0,30.0,37.0,1.0,2.0,36.2,1.0,10.0,3.7,-3.3
1970,1970-10-18,27.255,4.0,10.0,40.0,36.0,0.0,1.0,10.8,,,3.6,-0.9
1970,1970-10-25,27.261999999999997,7.0,14.0,50.0,160.0,1.0,0.0,115.2,4.0,28.0,11.43,12.86
1970,1970-11-01,27.269000000000002,10.0,20.0,50.0,240.0,3.0,0.0,133.3,1.0,8.0,12.0,15.0
1970,1970-11-08,27.276,10.0,22.0,45.45,191.0,2.0,0.0,106.4,4.0,30.0,8.68,10.5
1970,1970-11-16,27.284000000000002,8.0,26.0,30.77,116.0,0.0,3.0,6.7,,,4.46,-0.73
