Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1997,1997-10-16,26.184,2.0,8.0,25.0,13.0,0.0,0.0,39.6,0.0,0.0,1.63,1.63
1997,1997-11-02,26.201,8.0,16.0,50.0,90.0,1.0,0.0,88.0,4.0,27.0,5.63,6.88
1997,1997-11-09,26.208000000000002,17.0,29.0,58.62,206.0,2.0,1.0,89.2,4.0,27.0,7.1,6.93
1997,1997-11-16,26.215,14.0,26.0,53.85,202.0,0.0,0.0,79.3,3.0,45.0,7.77,7.77
1997,1997-11-23,26.221999999999998,4.0,18.0,22.22,81.0,0.0,3.0,6.2,0.0,0.0,4.5,-3.0
1997,1997-11-30,26.229,23.0,51.0,45.1,222.0,2.0,2.0,54.5,1.0,0.0,4.35,3.37
1997,1997-12-07,26.236,22.0,41.0,53.66,259.0,0.0,3.0,42.6,4.0,38.0,6.32,3.02
1997,1997-12-14,26.243000000000002,13.0,20.0,65.0,137.0,1.0,0.0,101.5,3.0,17.0,6.85,7.85
1997,1997-12-21,26.25,15.0,28.0,53.57,147.0,0.0,1.0,53.7,2.0,14.0,5.25,3.64
1998,1998-09-27,27.165,6.0,15.0,40.0,97.0,1.0,0.0,84.6,1.0,15.0,6.47,7.8
1998,1998-10-11,27.179000000000002,3.0,6.0,50.0,19.0,0.0,1.0,17.4,0.0,0.0,3.17,-4.33
1998,1998-11-08,27.206999999999997,13.0,23.0,56.52,113.0,1.0,0.0,84.1,0.0,0.0,4.91,5.78
1998,1998-11-15,27.214000000000002,15.0,42.0,35.71,172.0,1.0,0.0,56.8,2.0,26.0,4.1,4.57
1998,1998-11-22,27.221,19.0,37.0,51.35,279.0,2.0,1.0,83.1,2.0,8.0,7.54,7.41
1998,1998-11-29,27.228,30.0,53.0,56.6,304.0,1.0,5.0,40.1,1.0,2.0,5.74,1.87
1998,1998-12-06,27.235,20.0,37.0,54.05,212.0,0.0,1.0,59.7,2.0,18.0,5.73,4.51
1998,1998-12-13,27.241999999999997,8.0,28.0,28.57,142.0,0.0,5.0,8.6,2.0,16.0,5.07,-2.96
1998,1998-12-20,27.249000000000002,19.0,39.0,48.72,251.0,1.0,2.0,56.7,3.0,15.0,6.44,4.64
1998,1998-12-27,27.256,16.0,40.0,40.0,214.0,1.0,4.0,26.5,2.0,11.0,5.35,1.35
