Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2009,2009-12-27,24.186,4.0,11.0,36.36,44.0,0.0,1.0,11.2,2.0,14.0,4.0,-0.09
2009,2010-01-03,24.193,4.0,17.0,23.53,39.0,0.0,1.0,15.1,1.0,2.0,2.29,-0.35
2011,2011-09-25,26.093000000000004,5.0,11.0,45.45,60.0,0.0,0.0,62.7,1.0,9.0,5.45,5.45
2011,2011-10-03,26.101,13.0,30.0,43.33,281.0,2.0,0.0,99.4,4.0,25.0,9.37,10.7
2011,2011-10-09,26.107,15.0,27.0,55.56,277.0,2.0,0.0,115.8,0.0,0.0,10.26,11.74
2011,2011-10-16,26.114,23.0,34.0,67.65,188.0,1.0,1.0,79.0,1.0,9.0,5.53,4.79
2011,2011-10-23,26.121,9.0,17.0,52.94,67.0,0.0,1.0,38.1,1.0,5.0,3.94,1.29
2011,2011-10-30,26.128,26.0,49.0,53.06,250.0,0.0,2.0,50.6,2.0,9.0,5.1,3.27
2011,2011-11-06,26.135,13.0,27.0,48.15,98.0,0.0,1.0,41.9,2.0,15.0,3.63,1.96
2011,2011-11-13,26.142,13.0,19.0,68.42,94.0,0.0,2.0,40.1,3.0,24.0,4.95,0.21
2011,2011-11-27,26.156,15.0,29.0,51.72,226.0,1.0,2.0,60.4,2.0,8.0,7.79,5.38
2013,2013-09-22,28.09,2.0,4.0,50.0,16.0,0.0,1.0,20.8,0.0,0.0,4.0,-7.25
2013,2013-12-15,28.174,4.0,4.0,100.0,30.0,0.0,0.0,97.9,1.0,6.0,7.5,7.5
2013,2013-12-29,28.188000000000002,2.0,8.0,25.0,11.0,0.0,1.0,0.0,0.0,0.0,1.38,-4.25
