Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2016,2016-09-11,23.044,25.0,45.0,55.56,227.0,0.0,0.0,69.4,0.0,0.0,5.04,5.04
2016,2016-09-18,23.051,22.0,30.0,73.33,292.0,0.0,0.0,103.7,4.0,14.0,9.73,9.73
2016,2016-09-25,23.058000000000003,19.0,24.0,79.17,248.0,1.0,0.0,123.6,0.0,0.0,10.33,11.17
2016,2016-10-02,23.065,23.0,32.0,71.88,245.0,2.0,0.0,114.7,2.0,11.0,7.66,8.91
2016,2016-10-09,23.072,18.0,24.0,75.0,227.0,1.0,0.0,117.9,1.0,5.0,9.46,10.29
2016,2016-10-16,23.079,18.0,27.0,66.67,247.0,3.0,1.0,117.4,2.0,14.0,9.15,9.7
2016,2016-10-30,23.093000000000004,19.0,39.0,48.72,287.0,2.0,1.0,79.8,2.0,14.0,7.36,7.23
2016,2016-11-06,23.1,21.0,27.0,77.78,247.0,3.0,0.0,141.8,0.0,0.0,9.15,11.37
2016,2016-11-13,23.107,22.0,32.0,68.75,319.0,2.0,0.0,121.7,2.0,24.0,9.97,11.22
2016,2016-11-20,23.114,27.0,36.0,75.0,301.0,3.0,0.0,127.2,1.0,2.0,8.36,10.03
2016,2016-11-24,23.118000000000002,17.0,24.0,70.83,195.0,1.0,0.0,108.9,1.0,5.0,8.13,8.96
2016,2016-12-01,23.125,12.0,18.0,66.67,139.0,1.0,0.0,108.3,3.0,15.0,7.72,8.83
2016,2016-12-11,23.135,17.0,37.0,45.95,165.0,1.0,2.0,45.4,3.0,13.0,4.46,2.57
2016,2016-12-18,23.142,32.0,36.0,88.89,279.0,0.0,0.0,99.0,3.0,15.0,7.75,7.75
2016,2016-12-26,23.15,15.0,20.0,75.0,212.0,3.0,0.0,148.3,1.0,11.0,10.6,13.6
2016,2017-01-01,23.156,4.0,8.0,50.0,37.0,0.0,0.0,63.0,0.0,0.0,4.63,4.63
2017,2017-09-10,24.043000000000003,24.0,39.0,61.54,268.0,1.0,0.0,90.5,1.0,5.0,6.87,7.38
2017,2017-09-17,24.05,30.0,50.0,60.0,238.0,2.0,2.0,68.6,2.0,10.0,4.76,3.76
2017,2017-09-25,24.058000000000003,13.0,18.0,72.22,183.0,2.0,0.0,141.7,1.0,9.0,10.17,12.39
2017,2017-10-01,24.064,20.0,36.0,55.56,252.0,3.0,1.0,93.8,2.0,1.0,7.0,7.42
2017,2017-10-08,24.070999999999998,25.0,36.0,69.44,251.0,3.0,1.0,105.2,1.0,6.0,6.97,7.39
2017,2017-10-22,24.085,16.0,25.0,64.0,234.0,3.0,0.0,134.0,0.0,0.0,9.36,11.76
2017,2017-10-29,24.092,14.0,22.0,63.64,143.0,0.0,0.0,82.2,2.0,5.0,6.5,6.5
2017,2017-11-05,24.099,21.0,33.0,63.64,249.0,2.0,0.0,106.8,1.0,5.0,7.55,8.76
2017,2017-11-12,24.105999999999998,20.0,30.0,66.67,176.0,0.0,0.0,82.1,8.0,50.0,5.87,5.87
2017,2017-11-19,24.113000000000003,18.0,31.0,58.06,145.0,0.0,3.0,30.4,4.0,32.0,4.68,0.32
2017,2017-11-23,24.116999999999997,20.0,27.0,74.07,179.0,0.0,2.0,60.6,2.0,11.0,6.63,3.3
2017,2017-11-30,24.124000000000002,11.0,22.0,50.0,102.0,2.0,0.0,93.4,1.0,9.0,4.64,6.45
2017,2017-12-10,24.134,20.0,30.0,66.67,332.0,3.0,0.0,137.1,0.0,0.0,11.07,13.07
2017,2017-12-17,24.141,18.0,27.0,66.67,212.0,0.0,2.0,59.5,2.0,8.0,7.85,4.52
2017,2017-12-24,24.148000000000003,21.0,34.0,61.76,181.0,0.0,2.0,51.2,4.0,27.0,5.32,2.68
2017,2017-12-31,24.155,17.0,30.0,56.67,179.0,1.0,0.0,85.3,1.0,7.0,5.97,6.63
2018,2018-09-09,25.041999999999998,19.0,29.0,65.52,170.0,0.0,0.0,81.1,6.0,32.0,5.86,5.86
2018,2018-09-16,25.049,16.0,25.0,64.0,160.0,1.0,0.0,95.4,0.0,0.0,6.4,7.2
2018,2018-09-23,25.055999999999997,19.0,34.0,55.88,168.0,1.0,2.0,54.5,5.0,31.0,4.94,2.88
2018,2018-09-30,25.063000000000002,17.0,27.0,62.96,255.0,2.0,0.0,118.6,3.0,24.0,9.44,10.93
2018,2018-10-07,25.07,18.0,29.0,62.07,208.0,1.0,2.0,66.5,2.0,14.0,7.17,4.76
2018,2018-10-14,25.076999999999998,17.0,27.0,62.96,183.0,2.0,0.0,107.5,3.0,11.0,6.78,8.26
2018,2018-10-21,25.084,22.0,35.0,62.86,273.0,1.0,0.0,96.5,4.0,23.0,7.8,8.37
2018,2018-11-05,25.099,21.0,31.0,67.74,243.0,2.0,1.0,99.3,5.0,18.0,7.84,7.68
2018,2018-11-11,25.105,26.0,36.0,72.22,270.0,1.0,0.0,102.8,4.0,31.0,7.5,8.06
2018,2018-11-18,25.112,22.0,32.0,68.75,208.0,0.0,0.0,86.5,2.0,17.0,6.5,6.5
2018,2018-11-22,25.116,22.0,31.0,70.97,289.0,2.0,0.0,121.6,4.0,31.0,9.32,10.61
2018,2018-11-29,25.123,24.0,28.0,85.71,249.0,1.0,0.0,115.6,7.0,40.0,8.89,9.61
2018,2018-12-09,25.133000000000003,42.0,54.0,77.78,455.0,3.0,2.0,104.9,3.0,21.0,8.43,7.87
2018,2018-12-16,25.14,24.0,39.0,61.54,206.0,0.0,1.0,64.7,3.0,26.0,5.28,4.13
2018,2018-12-23,25.147,20.0,25.0,80.0,161.0,1.0,0.0,106.8,1.0,9.0,6.44,7.24
2018,2018-12-30,25.154,27.0,44.0,61.36,387.0,4.0,0.0,120.2,4.0,19.0,8.8,10.61
2019,2019-09-08,26.041,25.0,32.0,78.13,405.0,4.0,0.0,158.3,0.0,0.0,12.66,15.16
2019,2019-09-15,26.048000000000002,26.0,30.0,86.67,269.0,3.0,1.0,123.5,1.0,8.0,8.97,9.47
2019,2019-09-22,26.055,19.0,32.0,59.38,246.0,2.0,1.0,91.4,1.0,5.0,7.69,7.53
2019,2019-09-29,26.061999999999998,22.0,33.0,66.67,223.0,0.0,1.0,73.2,1.0,11.0,6.76,5.39
2019,2019-10-06,26.069000000000003,27.0,44.0,61.36,463.0,2.0,3.0,83.8,3.0,22.0,10.52,8.36
2019,2019-10-13,26.076,28.0,40.0,70.0,278.0,0.0,0.0,89.4,1.0,8.0,6.95,6.95
