Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-10-04,25.087,2.0,3.0,66.67,21.0,0.0,1.0,47.2,0.0,0.0,7.0,-8.0
1998,1998-12-27,25.171,4.0,6.0,66.67,64.0,0.0,0.0,102.1,1.0,9.0,10.67,10.67
1999,1999-09-13,26.066,,,,,,,,0.0,,,
1999,1999-09-19,26.072,,,,,,,,0.0,,,
1999,1999-10-04,26.087,,,,,,,,0.0,,,
1999,1999-10-10,26.093000000000004,,,,,,,,0.0,,,
1999,1999-10-17,26.1,24.0,42.0,57.14,240.0,2.0,1.0,79.5,9.0,53.0,5.71,5.6
1999,1999-10-24,26.107,15.0,21.0,71.43,142.0,0.0,1.0,69.9,1.0,8.0,6.76,4.62
1999,1999-10-31,26.114,16.0,32.0,50.0,221.0,0.0,0.0,72.5,5.0,37.0,6.91,6.91
1999,1999-11-07,26.121,15.0,25.0,60.0,210.0,2.0,0.0,113.7,4.0,25.0,8.4,10.0
1999,1999-11-14,26.128,9.0,25.0,36.0,65.0,0.0,1.0,27.9,3.0,24.0,2.6,0.8
1999,1999-11-21,26.135,18.0,30.0,60.0,129.0,2.0,0.0,92.2,2.0,19.0,4.3,5.63
1999,1999-11-25,26.139,4.0,5.0,80.0,44.0,0.0,0.0,103.3,1.0,9.0,8.8,8.8
1999,1999-12-05,26.149,,,,,,,,0.0,,,
1999,1999-12-12,26.156,6.0,7.0,85.71,75.0,1.0,0.0,150.9,0.0,0.0,10.71,13.57
1999,1999-12-19,26.163,,,,,,,,0.0,,,
1999,1999-12-27,26.171,,,,,,,,0.0,,,
1999,2000-01-02,26.177,18.0,29.0,62.07,162.0,1.0,1.0,74.2,3.0,10.0,5.59,4.72
2000,2000-09-03,27.055999999999997,,,,,,,,0.0,,,
2000,2000-09-10,27.063000000000002,,,,,,,,0.0,,,
2000,2000-09-17,27.07,,,,,,,,0.0,,,
2000,2000-09-24,27.076999999999998,,,,,,,,0.0,,,
2000,2000-10-01,27.084,,,,,,,,0.0,,,
2000,2000-10-08,27.090999999999998,,,,,,,,0.0,,,
2000,2000-10-23,27.105999999999998,,,,,,,,0.0,,,
2000,2000-10-29,27.112,,,,,,,,0.0,,,
2000,2000-11-05,27.119,,,,,,,,0.0,,,
2000,2000-11-12,27.125999999999998,,,,,,,,0.0,,,
2000,2000-11-19,27.133000000000003,16.0,29.0,55.17,128.0,0.0,3.0,26.9,2.0,10.0,4.41,-0.24
2000,2000-11-26,27.14,22.0,33.0,66.67,183.0,1.0,0.0,90.8,2.0,12.0,5.55,6.15
2000,2000-12-03,27.147,,,,,,,,0.0,,,
2000,2000-12-10,27.154,,,,,,,,0.0,,,
2000,2000-12-17,27.160999999999998,,,,,,,,0.0,,,
2000,2000-12-24,27.168000000000003,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2002,2002-09-15,29.068,,,,,,,,,,,
2002,2002-11-10,29.124000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
2003,2003-12-07,30.151,,,,,,,,0.0,,,
2003,2003-12-27,30.171,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2006,2006-09-10,33.063,12.0,20.0,60.0,140.0,1.0,0.0,97.9,4.0,30.0,7.0,8.0
2006,2006-09-17,33.07,17.0,23.0,73.91,133.0,0.0,0.0,87.8,1.0,2.0,5.78,5.78
2006,2006-10-01,33.084,18.0,23.0,78.26,208.0,2.0,0.0,133.3,0.0,0.0,9.04,10.78
2006,2006-10-08,33.091,26.0,38.0,68.42,288.0,2.0,0.0,108.2,3.0,26.0,7.58,8.63
2006,2006-10-15,33.098,16.0,32.0,50.0,162.0,0.0,1.0,51.8,0.0,0.0,5.06,3.66
2006,2006-10-22,33.105,15.0,27.0,55.56,232.0,2.0,0.0,108.9,2.0,11.0,8.59,10.07
2006,2006-10-29,33.111999999999995,17.0,25.0,68.0,312.0,1.0,0.0,124.1,1.0,4.0,12.48,13.28
2006,2006-11-05,33.119,10.0,15.0,66.67,148.0,3.0,0.0,138.3,2.0,17.0,9.87,13.87
2006,2006-11-12,33.126,15.0,38.0,39.47,201.0,0.0,0.0,57.0,3.0,16.0,5.29,5.29
2006,2006-12-31,33.175,2.0,3.0,66.67,54.0,0.0,0.0,109.7,0.0,0.0,18.0,18.0
2007,2007-09-09,34.062,22.0,33.0,66.67,168.0,0.0,2.0,53.6,3.0,21.0,5.09,2.36
2007,2007-09-16,34.069,19.0,28.0,67.86,175.0,1.0,1.0,81.7,3.0,16.0,6.25,5.36
2007,2007-09-23,34.076,20.0,29.0,68.97,206.0,1.0,0.0,100.6,1.0,5.0,7.1,7.79
2007,2007-09-30,34.083,17.0,29.0,58.62,284.0,2.0,2.0,86.0,2.0,20.0,9.79,8.07
2007,2007-10-07,34.09,19.0,30.0,63.33,196.0,0.0,1.0,68.2,2.0,13.0,6.53,5.03
2007,2007-10-14,34.097,25.0,35.0,71.43,264.0,2.0,0.0,112.1,5.0,31.0,7.54,8.69
2007,2007-10-21,34.104,16.0,31.0,51.61,177.0,0.0,1.0,55.4,2.0,13.0,5.71,4.26
2007,2007-11-04,34.118,19.0,32.0,59.38,213.0,2.0,2.0,74.1,5.0,40.0,6.66,5.09
2007,2007-11-11,34.125,6.0,15.0,40.0,83.0,0.0,2.0,18.9,2.0,7.0,5.53,-0.47
2007,2007-12-02,34.146,19.0,34.0,55.88,186.0,1.0,2.0,56.7,7.0,38.0,5.47,3.41
2007,2007-12-23,34.167,24.0,36.0,66.67,305.0,2.0,0.0,111.5,4.0,30.0,8.47,9.58
2008,2008-09-07,35.06,8.0,12.0,66.67,118.0,1.0,1.0,91.7,3.0,14.0,9.83,7.75
2008,2008-09-14,35.067,2.0,4.0,50.0,17.0,0.0,1.0,21.9,1.0,8.0,4.25,-7.0
2008,2008-09-28,35.080999999999996,21.0,28.0,75.0,160.0,1.0,0.0,100.3,1.0,3.0,5.71,6.43
2008,2008-10-05,35.088,10.0,21.0,47.62,86.0,0.0,2.0,19.2,2.0,16.0,4.1,-0.19
2008,2008-10-19,35.102,9.0,16.0,56.25,96.0,0.0,0.0,74.0,2.0,15.0,6.0,6.0
