Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1973,1973-10-07,22.119,11.0,21.0,52.38,174.0,1.0,1.0,76.3,2.0,12.0,8.29,7.1
1973,1973-10-14,22.125999999999998,12.0,30.0,40.0,183.0,2.0,1.0,69.2,1.0,4.0,6.1,5.93
1973,1973-10-21,22.133000000000003,13.0,36.0,36.11,99.0,0.0,4.0,5.1,1.0,11.0,2.75,-2.25
1973,1973-10-28,22.14,8.0,16.0,50.0,135.0,1.0,1.0,73.7,,,8.44,6.88
1973,1973-11-04,22.147,11.0,29.0,37.93,128.0,0.0,3.0,12.5,3.0,28.0,4.41,-0.24
1973,1973-11-18,22.160999999999998,1.0,4.0,25.0,1.0,0.0,0.0,39.6,,,0.25,0.25
1973,1973-11-25,22.168000000000003,4.0,6.0,66.67,25.0,0.0,0.0,75.0,2.0,16.0,4.17,4.17
1973,1973-12-02,22.175,5.0,7.0,71.43,30.0,0.0,1.0,39.9,2.0,19.0,4.29,-2.14
1973,1973-12-09,22.182,13.0,31.0,41.94,254.0,2.0,2.0,65.8,3.0,39.0,8.19,6.58
1973,1973-12-16,22.189,9.0,14.0,64.29,97.0,0.0,0.0,84.5,,,6.93,6.93
1974,1974-09-15,23.096999999999998,13.0,26.0,50.0,209.0,1.0,2.0,58.0,2.0,14.0,8.04,5.35
1974,1974-09-22,23.104,13.0,24.0,54.17,173.0,0.0,0.0,77.3,,,7.21,7.21
1974,1974-09-29,23.111,14.0,22.0,63.64,189.0,1.0,0.0,106.1,,,8.59,9.5
1974,1974-10-06,23.118000000000002,13.0,32.0,40.63,134.0,1.0,3.0,24.7,1.0,8.0,4.19,0.59
1974,1974-10-13,23.125,11.0,24.0,45.83,137.0,0.0,1.0,46.7,3.0,25.0,5.71,3.83
1974,1974-10-20,23.131999999999998,14.0,29.0,48.28,158.0,0.0,3.0,25.4,1.0,9.0,5.45,0.79
1974,1974-10-27,23.139,14.0,27.0,51.85,221.0,1.0,2.0,60.9,1.0,10.0,8.19,5.59
1974,1974-11-03,23.146,12.0,21.0,57.14,333.0,4.0,1.0,121.5,1.0,12.0,15.86,17.52
1974,1974-11-10,23.153000000000002,1.0,6.0,16.67,2.0,0.0,0.0,39.6,1.0,6.0,0.33,0.33
1974,1974-11-17,23.16,9.0,21.0,42.86,159.0,0.0,0.0,69.3,2.0,15.0,7.57,7.57
1974,1974-11-24,23.166999999999998,1.0,5.0,20.0,17.0,0.0,1.0,1.7,,,3.4,-5.6
1975,1975-09-21,24.103,6.0,13.0,46.15,36.0,0.0,1.0,21.0,2.0,11.0,2.77,-0.69
1975,1975-09-28,24.11,10.0,18.0,55.56,129.0,0.0,0.0,78.2,1.0,8.0,7.17,7.17
1975,1975-10-05,24.116999999999997,3.0,13.0,23.08,29.0,0.0,2.0,0.0,5.0,51.0,2.23,-4.69
1975,1975-10-12,24.124000000000002,17.0,26.0,65.38,180.0,0.0,0.0,85.4,4.0,36.0,6.92,6.92
1975,1975-10-19,24.131,5.0,9.0,55.56,49.0,0.0,0.0,71.1,3.0,26.0,5.44,5.44
1975,1975-11-01,24.144000000000002,13.0,25.0,52.0,179.0,1.0,1.0,71.9,2.0,12.0,7.16,6.16
1975,1975-11-09,24.151999999999997,25.0,42.0,59.52,329.0,1.0,2.0,72.4,7.0,50.0,7.83,6.17
1975,1975-11-16,24.159000000000002,13.0,20.0,65.0,211.0,0.0,1.0,79.4,,,10.55,8.3
1975,1975-12-07,24.18,8.0,18.0,44.44,168.0,0.0,3.0,38.4,1.0,3.0,9.33,1.83
1975,1975-12-15,24.188000000000002,6.0,11.0,54.55,86.0,0.0,0.0,80.1,,,7.82,7.82
1976,1976-09-12,25.094,17.0,30.0,56.67,205.0,2.0,0.0,100.0,2.0,5.0,6.83,8.17
1976,1976-09-19,25.101,14.0,21.0,66.67,154.0,0.0,0.0,88.2,4.0,23.0,7.33,7.33
1976,1976-09-26,25.108,15.0,18.0,83.33,259.0,4.0,0.0,158.3,2.0,14.0,14.39,18.83
1976,1976-10-03,25.115,12.0,25.0,48.0,142.0,0.0,2.0,32.4,1.0,1.0,5.68,2.08
1976,1976-10-10,25.122,16.0,31.0,51.61,249.0,0.0,1.0,65.1,3.0,20.0,8.03,6.58
1976,1976-10-17,25.129,19.0,24.0,79.17,279.0,2.0,0.0,142.9,8.0,34.0,11.63,13.29
1976,1976-10-24,25.136,23.0,35.0,65.71,235.0,1.0,1.0,82.4,2.0,14.0,6.71,6.0
1976,1976-10-31,25.143,10.0,28.0,35.71,122.0,0.0,1.0,35.1,5.0,32.0,4.36,2.75
1976,1976-11-07,25.15,14.0,25.0,56.0,171.0,0.0,0.0,77.2,3.0,16.0,6.84,6.84
1976,1976-11-14,25.156999999999996,12.0,22.0,54.55,120.0,0.0,2.0,32.4,5.0,31.0,5.45,1.36
1976,1976-11-21,25.164,19.0,29.0,65.52,200.0,2.0,3.0,68.8,1.0,2.0,6.9,3.62
1976,1976-11-28,25.171,18.0,32.0,56.25,218.0,3.0,3.0,69.5,3.0,28.0,6.81,4.47
1976,1976-12-05,25.178,9.0,14.0,64.29,99.0,0.0,0.0,85.1,,,7.07,7.07
1976,1976-12-12,25.185,10.0,25.0,40.0,82.0,0.0,2.0,15.7,,,3.28,-0.32
1977,1977-11-27,26.17,19.0,26.0,73.08,199.0,1.0,1.0,91.7,1.0,7.0,7.65,6.69
1977,1977-12-04,26.177,14.0,20.0,70.0,237.0,3.0,0.0,149.4,1.0,4.0,11.85,14.85
1977,1977-12-11,26.184,24.0,41.0,58.54,276.0,0.0,2.0,58.6,2.0,16.0,6.73,4.54
1977,1977-12-18,26.191,12.0,22.0,54.55,157.0,0.0,3.0,37.7,6.0,50.0,7.14,1.0
1978,1978-09-03,27.085,14.0,22.0,63.64,186.0,2.0,1.0,101.7,,,8.45,8.23
1978,1978-09-10,27.092,17.0,29.0,58.62,175.0,1.0,0.0,87.6,,,6.03,6.72
1978,1978-09-17,27.099,19.0,33.0,57.58,230.0,1.0,2.0,64.0,2.0,16.0,6.97,4.85
1978,1978-09-24,27.105999999999998,6.0,12.0,50.0,54.0,0.0,2.0,22.9,3.0,21.0,4.5,-3.0
1978,1978-10-01,27.113000000000003,14.0,18.0,77.78,173.0,3.0,1.0,123.1,2.0,11.0,9.61,10.44
