Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1983,1983-09-19,22.004,11.0,17.0,64.71,90.0,2.0,0.0,117.3,0.0,0.0,5.29,7.65
1983,1983-10-02,22.017,12.0,22.0,54.55,150.0,1.0,1.0,72.2,1.0,6.0,6.82,5.68
1983,1983-10-09,22.024,19.0,29.0,65.52,322.0,3.0,2.0,108.7,3.0,35.0,11.1,10.07
1983,1983-10-16,22.031,17.0,30.0,56.67,225.0,3.0,0.0,113.9,3.0,10.0,7.5,9.5
1983,1983-10-23,22.038,11.0,18.0,61.11,157.0,2.0,0.0,126.4,0.0,0.0,8.72,10.94
1983,1983-10-30,22.045,25.0,38.0,65.79,279.0,2.0,1.0,94.1,0.0,0.0,7.34,7.21
1983,1983-11-06,22.052,15.0,29.0,51.72,194.0,2.0,0.0,96.0,1.0,11.0,6.69,8.07
1983,1983-11-13,22.059,14.0,37.0,37.84,141.0,0.0,1.0,38.2,1.0,15.0,3.81,2.59
1983,1983-11-20,22.066,14.0,21.0,66.67,240.0,1.0,0.0,121.1,0.0,0.0,11.43,12.38
1983,1983-11-28,22.074,18.0,29.0,62.07,217.0,3.0,0.0,119.5,1.0,3.0,7.48,9.55
1983,1983-12-04,22.08,17.0,26.0,65.38,195.0,1.0,1.0,84.6,0.0,0.0,7.5,6.54
1984,1984-09-02,22.353,21.0,28.0,75.0,311.0,5.0,0.0,150.4,0.0,0.0,11.11,14.68
1984,1984-09-09,22.36,16.0,27.0,59.26,234.0,2.0,2.0,81.4,0.0,0.0,8.67,6.81
1984,1984-09-17,23.002,26.0,35.0,74.29,296.0,3.0,1.0,115.9,0.0,0.0,8.46,8.89
1984,1984-09-23,23.008000000000003,14.0,29.0,48.28,257.0,2.0,0.0,102.2,0.0,0.0,8.86,10.24
1984,1984-09-30,23.015,24.0,36.0,66.67,429.0,3.0,0.0,135.1,1.0,9.0,11.92,13.58
1984,1984-10-07,23.022,16.0,24.0,66.67,226.0,2.0,1.0,107.3,0.0,0.0,9.42,9.21
1984,1984-10-14,23.029,25.0,32.0,78.13,321.0,3.0,0.0,139.7,1.0,6.0,10.03,11.91
1984,1984-10-21,23.035999999999998,24.0,39.0,61.54,316.0,4.0,1.0,110.6,0.0,0.0,8.1,9.0
1984,1984-10-28,23.043000000000003,19.0,28.0,67.86,282.0,3.0,3.0,96.7,1.0,4.0,10.07,7.39
1984,1984-11-04,23.05,23.0,42.0,54.76,422.0,2.0,2.0,85.6,2.0,15.0,10.05,8.86
1984,1984-11-11,23.057,20.0,34.0,58.82,246.0,1.0,1.0,78.8,1.0,12.0,7.24,6.5
1984,1984-11-18,23.064,28.0,41.0,68.29,338.0,2.0,1.0,99.4,0.0,0.0,8.24,8.12
1984,1984-11-26,23.072,19.0,31.0,61.29,192.0,4.0,0.0,118.5,1.0,9.0,6.19,8.77
1984,1984-12-02,23.078000000000003,35.0,57.0,61.4,470.0,4.0,2.0,96.4,3.0,36.0,8.25,8.07
