Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-09-18,22.031,2.0,6.0,33.33,20.0,0.0,0.0,43.7,0.0,0.0,3.33,3.33
2005,2005-11-24,22.098000000000003,5.0,11.0,45.45,43.0,0.0,0.0,56.2,1.0,3.0,3.91,3.91
2008,2008-09-14,25.026999999999997,2.0,4.0,50.0,6.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
2008,2008-09-21,25.034000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2008,2008-10-05,25.048000000000002,13.0,23.0,56.52,97.0,0.0,1.0,48.6,1.0,9.0,4.22,2.26
2008,2008-10-12,25.055,12.0,21.0,57.14,150.0,1.0,0.0,95.3,6.0,38.0,7.14,8.1
2008,2008-10-19,25.061999999999998,12.0,25.0,48.0,265.0,1.0,0.0,99.6,2.0,16.0,10.6,11.4
2008,2008-10-26,25.069000000000003,21.0,35.0,60.0,223.0,1.0,0.0,88.2,1.0,6.0,6.37,6.94
2008,2008-11-02,25.076,28.0,47.0,59.57,292.0,2.0,2.0,74.1,2.0,12.0,6.21,5.15
2008,2008-12-14,25.118000000000002,23.0,34.0,67.65,233.0,1.0,0.0,96.8,0.0,0.0,6.85,7.44
2008,2008-12-21,25.125,10.0,23.0,43.48,125.0,0.0,2.0,24.7,1.0,9.0,5.43,1.52
2008,2008-12-28,25.131999999999998,22.0,42.0,52.38,225.0,2.0,2.0,64.1,1.0,5.0,5.36,4.17
2010,2010-12-02,27.105999999999998,,,,,,,,,,,
2011,2011-10-23,28.066,3.0,5.0,60.0,35.0,0.0,0.0,81.2,0.0,0.0,7.0,7.0
2011,2011-11-06,28.08,4.0,6.0,66.67,20.0,0.0,0.0,71.5,0.0,0.0,3.33,3.33
2011,2011-11-13,28.087,7.0,10.0,70.0,67.0,0.0,0.0,88.3,2.0,9.0,6.7,6.7
2011,2011-12-04,28.108,30.0,37.0,81.08,353.0,2.0,1.0,113.2,2.0,15.0,9.54,9.41
2011,2011-12-11,28.115,17.0,37.0,45.95,136.0,1.0,1.0,53.4,4.0,19.0,3.68,3.0
2011,2011-12-18,28.122,11.0,17.0,64.71,82.0,1.0,0.0,95.7,0.0,0.0,4.82,6.0
2011,2011-12-22,28.125999999999998,23.0,41.0,56.1,244.0,1.0,0.0,81.8,3.0,19.0,5.95,6.44
2011,2012-01-01,28.136,27.0,40.0,67.5,264.0,1.0,2.0,73.3,3.0,22.0,6.6,4.85
2012,2012-12-16,29.12,4.0,7.0,57.14,51.0,0.0,0.0,80.1,0.0,0.0,7.29,7.29
2013,2013-11-17,30.090999999999998,,,,,,,,,,,
2013,2013-12-29,30.133000000000003,,,,,,,,,,,
2015,2015-09-20,32.033,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-10-11,32.054,21.0,38.0,55.26,191.0,1.0,1.0,66.9,0.0,0.0,5.03,4.37
2015,2015-11-01,32.075,1.0,2.0,50.0,10.0,0.0,0.0,64.6,0.0,0.0,5.0,5.0
