Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2019,2019-09-08,22.104,3.0,4.0,75.0,17.0,0.0,0.0,82.3,0.0,0.0,4.25,4.25
2019,2019-09-22,22.118000000000002,23.0,36.0,63.89,336.0,2.0,0.0,112.7,5.0,24.0,9.33,10.44
2019,2019-09-29,22.125,23.0,31.0,74.19,225.0,1.0,2.0,78.0,0.0,0.0,7.26,5.0
2019,2019-10-06,22.131999999999998,21.0,38.0,55.26,182.0,1.0,1.0,65.9,4.0,35.0,4.79,4.13
2019,2019-10-10,22.136,15.0,31.0,48.39,161.0,1.0,3.0,35.2,1.0,0.0,5.19,1.48
2019,2019-10-20,22.146,22.0,35.0,62.86,223.0,1.0,1.0,78.6,8.0,67.0,6.37,5.66
2019,2019-10-27,22.153000000000002,28.0,41.0,68.29,322.0,4.0,0.0,124.2,3.0,32.0,7.85,9.8
2019,2019-11-04,22.160999999999998,26.0,41.0,63.41,210.0,1.0,1.0,74.2,5.0,39.0,5.12,4.51
2019,2019-11-10,22.166999999999998,26.0,40.0,65.0,308.0,4.0,0.0,121.7,6.0,50.0,7.7,9.7
2019,2019-11-24,22.180999999999997,21.0,36.0,58.33,150.0,2.0,0.0,86.6,1.0,16.0,4.17,5.28
2019,2019-12-01,22.188000000000002,20.0,37.0,54.05,240.0,1.0,3.0,49.4,0.0,0.0,6.49,3.38
2019,2019-12-22,22.209,28.0,42.0,66.67,352.0,5.0,0.0,132.1,1.0,6.0,8.38,10.76
2019,2019-12-29,22.215999999999998,28.0,47.0,59.57,301.0,1.0,1.0,76.6,4.0,26.0,6.4,5.87
2020,2020-09-14,23.11,26.0,41.0,63.41,279.0,2.0,2.0,79.2,3.0,17.0,6.8,5.59
2020,2020-09-20,23.116,25.0,40.0,62.5,241.0,0.0,1.0,68.9,4.0,21.0,6.03,4.9
2020,2020-09-27,23.123,17.0,32.0,53.13,179.0,0.0,1.0,56.6,2.0,14.0,5.59,4.19
2020,2020-10-04,23.13,23.0,36.0,63.89,190.0,0.0,1.0,65.7,5.0,31.0,5.28,4.03
2020,2020-10-11,23.136999999999997,20.0,33.0,60.61,222.0,0.0,0.0,80.6,2.0,11.0,6.73,6.73
2020,2020-10-18,23.144000000000002,12.0,19.0,63.16,112.0,1.0,1.0,74.9,1.0,4.0,5.89,4.58
2020,2020-10-22,23.148000000000003,20.0,30.0,66.67,187.0,2.0,1.0,91.9,3.0,22.0,6.23,6.07
2020,2020-11-02,23.159000000000002,25.0,41.0,60.98,256.0,2.0,2.0,74.8,3.0,18.0,6.24,5.02
2020,2020-11-08,23.165,23.0,34.0,67.65,212.0,1.0,0.0,94.2,5.0,28.0,6.24,6.82
2020,2020-11-15,23.171999999999997,21.0,28.0,75.0,244.0,0.0,0.0,100.9,3.0,13.0,8.71,8.71
2020,2020-11-29,23.186,16.0,27.0,59.26,213.0,0.0,0.0,84.3,0.0,0.0,7.89,7.89
2020,2020-12-13,23.2,11.0,21.0,52.38,127.0,0.0,0.0,70.9,6.0,52.0,6.05,6.05
2020,2020-12-27,23.214000000000002,24.0,41.0,58.54,252.0,1.0,0.0,84.6,6.0,37.0,6.15,6.63
