Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1996,1996-10-27,22.340999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-11-03,22.348000000000003,14.0,27.0,51.85,128.0,1.0,0.0,77.4,1.0,11.0,4.74,5.48
1996,1996-12-01,23.01,4.0,13.0,30.77,47.0,0.0,0.0,42.8,1.0,4.0,3.62,3.62
1996,1996-12-15,23.024,5.0,20.0,25.0,52.0,0.0,1.0,18.7,5.0,33.0,2.6,0.35
1997,1997-08-31,23.283,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-09-07,23.29,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-09-14,23.296999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-09-21,23.304000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,10.0,0.0,0.0
1997,1997-09-28,23.311,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-10-05,23.318,10.0,17.0,58.82,101.0,0.0,0.0,75.9,0.0,0.0,5.94,5.94
1997,1997-10-12,23.325,13.0,28.0,46.43,198.0,1.0,1.0,67.3,1.0,11.0,7.07,6.18
1997,1997-10-19,23.331999999999997,17.0,31.0,54.84,220.0,2.0,1.0,85.4,1.0,10.0,7.1,6.94
1997,1997-10-26,23.339000000000002,18.0,31.0,58.06,214.0,0.0,0.0,79.2,0.0,0.0,6.9,6.9
1997,1997-11-09,23.353,15.0,28.0,53.57,133.0,0.0,1.0,51.6,3.0,22.0,4.75,3.14
1997,1997-11-16,23.36,14.0,21.0,66.67,182.0,2.0,0.0,125.5,1.0,10.0,8.67,10.57
1997,1997-11-23,24.002,20.0,37.0,54.05,168.0,1.0,1.0,63.8,6.0,63.0,4.54,3.86
1997,1997-11-30,24.009,14.0,31.0,45.16,117.0,0.0,2.0,28.6,2.0,14.0,3.77,0.87
1997,1997-12-07,24.016,14.0,27.0,51.85,153.0,3.0,1.0,90.5,2.0,16.0,5.67,6.22
1997,1997-12-13,24.022,13.0,25.0,52.0,125.0,1.0,2.0,46.2,2.0,15.0,5.0,2.2
1997,1997-12-21,24.03,8.0,16.0,50.0,129.0,1.0,0.0,98.2,0.0,0.0,8.06,9.31
1998,1998-09-06,24.289,15.0,28.0,53.57,159.0,2.0,1.0,79.3,1.0,6.0,5.68,5.5
1998,1998-09-13,24.296,23.0,33.0,69.7,188.0,2.0,1.0,91.5,3.0,26.0,5.7,5.55
1998,1998-09-21,24.304000000000002,25.0,45.0,55.56,228.0,1.0,2.0,58.4,4.0,35.0,5.07,3.51
1998,1998-09-27,24.31,17.0,33.0,51.52,208.0,1.0,1.0,68.8,0.0,0.0,6.3,5.55
1998,1998-10-04,24.316999999999997,10.0,27.0,37.04,83.0,0.0,3.0,6.2,1.0,12.0,3.07,-1.93
1998,1998-10-11,24.324,11.0,21.0,52.38,100.0,1.0,0.0,81.4,5.0,41.0,4.76,5.71
1998,1998-10-18,24.331,22.0,36.0,61.11,259.0,3.0,0.0,110.8,1.0,10.0,7.19,8.86
1998,1998-11-01,24.345,17.0,32.0,53.13,151.0,1.0,0.0,76.4,1.0,8.0,4.72,5.34
1998,1998-11-08,24.351999999999997,12.0,24.0,50.0,139.0,0.0,0.0,67.9,3.0,12.0,5.79,5.79
1998,1998-11-15,24.359,8.0,20.0,40.0,88.0,0.0,2.0,14.2,3.0,22.0,4.4,-0.1
1999,1999-09-20,25.303,9.0,22.0,40.91,172.0,1.0,2.0,46.0,3.0,23.0,7.82,4.64
1999,1999-10-03,25.316,15.0,33.0,45.45,184.0,1.0,0.0,73.3,1.0,6.0,5.58,6.18
1999,1999-12-19,26.028000000000002,18.0,29.0,62.07,237.0,2.0,2.0,82.1,1.0,8.0,8.17,6.45
2000,2000-09-24,26.308000000000003,1.0,3.0,33.33,9.0,0.0,0.0,42.4,1.0,7.0,3.0,3.0
2000,2000-10-01,26.315,1.0,1.0,100.0,5.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
2000,2000-10-08,26.322,15.0,35.0,42.86,166.0,0.0,1.0,45.7,3.0,21.0,4.74,3.46
2000,2000-11-05,26.35,26.0,43.0,60.47,218.0,2.0,2.0,69.7,1.0,10.0,5.07,3.91
2000,2000-11-12,26.357,14.0,34.0,41.18,126.0,0.0,2.0,27.3,3.0,22.0,3.71,1.06
2003,2003-10-19,29.331999999999997,12.0,18.0,66.67,104.0,1.0,0.0,100.2,,,5.78,6.89
2003,2003-10-26,29.339000000000002,16.0,31.0,51.61,114.0,0.0,2.0,33.5,2.0,24.0,3.68,0.77
2003,2003-11-03,29.346999999999998,16.0,35.0,45.71,163.0,1.0,1.0,57.2,,,4.66,3.94
2003,2003-11-16,29.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-45.0
2003,2003-12-28,30.037,9.0,18.0,50.0,61.0,0.0,1.0,34.7,,,3.39,0.89
