Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1976,1976-09-12,24.215999999999998,5.0,7.0,71.43,25.0,0.0,0.0,76.5,,,3.57,3.57
1976,1976-09-19,24.223000000000003,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-09-26,24.23,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-10-03,24.237,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-10-10,24.244,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-10-17,24.250999999999998,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-10-24,24.258000000000003,7.0,10.0,70.0,145.0,2.0,2.0,112.5,1.0,15.0,14.5,9.5
1976,1976-10-31,24.265,0.0,2.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1976,1976-11-07,24.272,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-11-15,24.28,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-11-21,24.285999999999998,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-11-25,24.29,1.0,1.0,100.0,43.0,0.0,0.0,118.7,,,43.0,43.0
1976,1976-12-05,24.3,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-12-12,24.307,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-09-18,25.221,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-09-25,25.228,3.0,7.0,42.86,30.0,0.0,0.0,55.7,,,4.29,4.29
1977,1977-10-02,25.235,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-09,25.241999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-16,25.249000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-23,25.256,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-30,25.263,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-22.5
1977,1977-11-06,25.27,1.0,1.0,100.0,5.0,0.0,0.0,87.5,1.0,4.0,5.0,5.0
