Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-10-24,22.269000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
2000,2000-09-03,23.219,13.0,23.0,56.52,190.0,0.0,1.0,65.5,1.0,2.0,8.26,6.3
2000,2000-09-10,23.226,23.0,37.0,62.16,355.0,1.0,3.0,69.1,3.0,12.0,9.59,6.49
2000,2000-09-17,23.233,19.0,28.0,67.86,177.0,2.0,1.0,93.9,4.0,16.0,6.32,6.14
2000,2000-10-01,23.247,17.0,29.0,58.62,269.0,3.0,0.0,124.1,2.0,8.0,9.28,11.34
2000,2000-10-09,23.255,15.0,19.0,78.95,231.0,2.0,1.0,130.5,6.0,24.0,12.16,11.89
2000,2000-10-15,23.261,15.0,26.0,57.69,198.0,3.0,0.0,120.4,3.0,21.0,7.62,9.92
2000,2000-10-22,23.268,17.0,29.0,58.62,251.0,3.0,1.0,107.1,0.0,0.0,8.66,9.17
2000,2000-10-29,23.275,29.0,53.0,54.72,313.0,1.0,2.0,62.9,2.0,11.0,5.91,4.58
2000,2000-11-06,23.283,17.0,34.0,50.0,276.0,2.0,3.0,60.4,3.0,26.0,8.12,5.32
2000,2000-11-12,23.289,25.0,32.0,78.13,302.0,3.0,1.0,124.2,2.0,4.0,9.44,9.91
2000,2000-11-19,23.296,22.0,29.0,75.86,357.0,3.0,0.0,151.1,1.0,28.0,12.31,14.38
2000,2000-11-23,23.3,15.0,22.0,68.18,205.0,2.0,0.0,128.0,2.0,13.0,9.32,11.14
2000,2000-11-30,23.307,19.0,32.0,59.38,160.0,1.0,2.0,56.8,0.0,0.0,5.0,2.81
2000,2000-12-10,23.316999999999997,21.0,33.0,63.64,221.0,3.0,0.0,113.3,4.0,13.0,6.7,8.52
2000,2000-12-17,23.324,23.0,38.0,60.53,335.0,3.0,1.0,104.6,1.0,3.0,8.82,9.21
2000,2000-12-24,23.331,7.0,10.0,70.0,97.0,1.0,0.0,134.2,0.0,0.0,9.7,11.7
2001,2001-09-09,24.224,22.0,38.0,57.89,236.0,1.0,3.0,52.1,1.0,2.0,6.21,3.18
2001,2001-09-23,24.238000000000003,24.0,36.0,66.67,233.0,1.0,0.0,93.9,3.0,18.0,6.47,7.03
2001,2001-09-30,24.245,30.0,44.0,68.18,322.0,1.0,2.0,78.0,1.0,10.0,7.32,5.73
2001,2001-10-07,24.252,23.0,34.0,67.65,332.0,2.0,1.0,106.5,6.0,26.0,9.76,9.62
2001,2001-10-14,24.259,20.0,27.0,74.07,244.0,1.0,1.0,98.4,6.0,46.0,9.04,8.11
2001,2001-10-21,24.266,18.0,27.0,66.67,184.0,1.0,0.0,98.4,2.0,7.0,6.81,7.56
2001,2001-10-28,24.273000000000003,13.0,24.0,54.17,150.0,1.0,1.0,69.8,2.0,6.0,6.25,5.21
2001,2001-11-11,24.287,21.0,35.0,60.0,285.0,2.0,1.0,93.2,6.0,40.0,8.14,8.0
2001,2001-11-19,24.295,26.0,38.0,68.42,277.0,4.0,2.0,102.6,3.0,14.0,7.29,7.03
2001,2001-11-25,24.301,26.0,46.0,56.52,209.0,0.0,1.0,59.1,3.0,17.0,4.54,3.57
2001,2001-12-02,24.308000000000003,12.0,17.0,70.59,140.0,0.0,1.0,70.7,0.0,0.0,8.24,5.59
2002,2002-09-08,25.223000000000003,16.0,28.0,57.14,234.0,1.0,2.0,66.7,1.0,6.0,8.36,5.86
2002,2002-09-15,25.23,25.0,45.0,55.56,281.0,3.0,0.0,96.6,5.0,45.0,6.24,7.58
2002,2002-09-22,25.237,19.0,30.0,63.33,191.0,1.0,4.0,52.9,5.0,14.0,6.37,1.03
2002,2002-09-29,25.244,29.0,53.0,54.72,273.0,0.0,2.0,53.4,4.0,24.0,5.15,3.45
2002,2002-10-13,25.258000000000003,27.0,36.0,75.0,295.0,2.0,1.0,105.7,1.0,4.0,8.19,8.06
2002,2002-10-20,25.265,26.0,39.0,66.67,288.0,0.0,3.0,56.4,0.0,0.0,7.38,3.92
2002,2002-10-27,25.272,22.0,29.0,75.86,216.0,1.0,0.0,107.8,0.0,0.0,7.45,8.14
2002,2002-11-03,25.279,18.0,29.0,62.07,225.0,0.0,2.0,57.4,3.0,11.0,7.76,4.66
2002,2002-11-10,25.285999999999998,9.0,20.0,45.0,91.0,0.0,0.0,58.5,3.0,22.0,4.55,4.55
2002,2002-11-17,25.293000000000003,13.0,26.0,50.0,217.0,2.0,2.0,72.1,2.0,10.0,8.35,6.42
2002,2002-11-24,25.3,24.0,49.0,48.98,272.0,2.0,0.0,79.6,4.0,8.0,5.55,6.37
2002,2002-12-01,25.307,23.0,43.0,53.49,266.0,1.0,3.0,51.1,6.0,36.0,6.19,3.51
2002,2002-12-08,25.314,15.0,28.0,53.57,136.0,1.0,1.0,64.0,3.0,11.0,4.86,3.96
