Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1992,1992-11-26,22.275,2.0,3.0,66.67,6.0,0.0,0.0,70.1,3.0,16.0,2.0,2.0
1992,1992-12-12,22.291,2.0,4.0,50.0,15.0,0.0,0.0,59.4,1.0,3.0,3.75,3.75
1993,1993-12-20,23.298000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
1994,1994-09-04,24.191,10.0,20.0,50.0,171.0,1.0,1.0,75.2,2.0,14.0,8.55,7.3
1994,1994-09-11,24.198,11.0,17.0,64.71,119.0,2.0,1.0,99.9,4.0,31.0,7.0,6.71
1994,1994-09-18,24.205,14.0,19.0,73.68,221.0,1.0,0.0,129.5,1.0,6.0,11.63,12.68
1994,1994-10-02,24.219,20.0,35.0,57.14,180.0,2.0,2.0,66.4,7.0,28.0,5.14,3.71
1994,1994-10-10,24.226999999999997,19.0,36.0,52.78,226.0,0.0,3.0,37.5,4.0,23.0,6.28,2.53
1994,1994-10-16,24.233,15.0,27.0,55.56,165.0,0.0,2.0,43.0,1.0,4.0,6.11,2.78
1994,1994-10-23,24.24,13.0,25.0,52.0,206.0,0.0,2.0,46.4,5.0,44.0,8.24,4.64
1994,1994-10-30,24.247,19.0,25.0,76.0,159.0,1.0,1.0,88.6,1.0,10.0,6.36,5.36
1994,1994-11-07,24.255,4.0,17.0,23.53,56.0,0.0,0.0,40.8,3.0,10.0,3.29,3.29
1994,1994-11-21,24.269000000000002,4.0,7.0,57.14,19.0,0.0,0.0,62.2,0.0,0.0,2.71,2.71
1994,1994-11-27,24.275,10.0,17.0,58.82,161.0,2.0,0.0,129.8,1.0,1.0,9.47,11.82
1994,1994-12-04,24.281999999999996,17.0,33.0,51.52,226.0,1.0,1.0,71.0,4.0,24.0,6.85,6.09
1994,1994-12-11,24.289,16.0,26.0,61.54,222.0,1.0,2.0,69.7,0.0,0.0,8.54,5.85
1994,1994-12-18,24.296,18.0,27.0,66.67,264.0,0.0,1.0,82.9,5.0,34.0,9.78,8.11
1994,1994-12-24,24.302,11.0,19.0,57.89,141.0,1.0,0.0,98.8,4.0,19.0,7.42,8.47
1995,1995-09-04,25.191,20.0,34.0,58.82,155.0,0.0,1.0,57.8,2.0,9.0,4.56,3.24
1995,1995-09-10,25.197,10.0,14.0,71.43,151.0,1.0,0.0,130.4,4.0,15.0,10.79,12.21
1995,1995-09-17,25.204,23.0,50.0,46.0,199.0,0.0,1.0,48.7,2.0,12.0,3.98,3.08
1995,1995-09-24,25.211,19.0,27.0,70.37,258.0,1.0,1.0,97.5,1.0,2.0,9.56,8.63
1995,1995-10-01,25.218000000000004,22.0,43.0,51.16,218.0,0.0,1.0,56.2,2.0,14.0,5.07,4.02
1995,1995-10-08,25.225,14.0,23.0,60.87,166.0,2.0,2.0,75.6,2.0,8.0,7.22,5.04
1995,1995-10-15,25.232,9.0,18.0,50.0,82.0,0.0,0.0,62.7,5.0,16.0,4.56,4.56
1995,1995-10-29,25.246,11.0,22.0,50.0,139.0,1.0,0.0,85.2,2.0,10.0,6.32,7.23
1995,1995-11-05,25.253,20.0,41.0,48.78,299.0,2.0,0.0,89.4,3.0,13.0,7.29,8.27
1995,1995-11-12,25.26,18.0,31.0,58.06,215.0,0.0,0.0,79.4,4.0,24.0,6.94,6.94
1995,1995-11-19,25.267,13.0,25.0,52.0,160.0,1.0,2.0,52.1,7.0,38.0,6.4,3.6
1995,1995-11-26,25.274,17.0,33.0,51.52,217.0,1.0,0.0,82.5,0.0,0.0,6.58,7.18
1995,1995-11-30,25.278000000000002,17.0,27.0,62.96,144.0,1.0,0.0,89.1,3.0,11.0,5.33,6.07
1995,1995-12-10,25.288,10.0,12.0,83.33,91.0,1.0,0.0,126.0,4.0,19.0,7.58,9.25
1995,1995-12-17,25.295,10.0,20.0,50.0,111.0,0.0,1.0,46.0,2.0,8.0,5.55,3.3
1995,1995-12-23,25.301,21.0,36.0,58.33,209.0,0.0,1.0,63.3,1.0,7.0,5.81,4.56
1996,1996-09-01,26.189,11.0,27.0,40.74,169.0,1.0,0.0,74.5,5.0,31.0,6.26,7.0
1996,1996-09-08,26.195999999999998,10.0,19.0,52.63,55.0,0.0,1.0,36.5,3.0,13.0,2.89,0.53
1996,1996-09-15,26.203000000000003,17.0,31.0,54.84,201.0,1.0,4.0,46.0,4.0,19.0,6.48,1.32
1996,1996-09-22,26.21,9.0,13.0,69.23,111.0,1.0,0.0,121.0,1.0,1.0,8.54,10.08
1996,1996-09-29,26.217,18.0,29.0,62.07,167.0,0.0,0.0,77.8,5.0,21.0,5.76,5.76
1996,1996-10-13,26.230999999999998,11.0,25.0,44.0,105.0,0.0,1.0,39.6,8.0,42.0,4.2,2.4
1996,1996-10-20,26.238000000000003,26.0,43.0,60.47,298.0,2.0,2.0,77.5,2.0,11.0,6.93,5.77
1996,1996-10-27,26.245,15.0,27.0,55.56,221.0,1.0,1.0,79.4,2.0,10.0,8.19,7.26
1996,1996-11-03,26.252,2.0,3.0,66.67,33.0,0.0,0.0,103.5,1.0,6.0,11.0,11.0
1996,1996-11-10,26.259,15.0,31.0,48.39,223.0,2.0,3.0,54.3,1.0,8.0,7.19,4.13
1996,1996-11-17,26.266,22.0,41.0,53.66,262.0,2.0,2.0,69.4,4.0,22.0,6.39,5.17
1996,1996-11-24,26.273000000000003,12.0,18.0,66.67,110.0,1.0,1.0,78.5,1.0,6.0,6.11,4.72
1996,1996-12-01,26.28,3.0,11.0,27.27,31.0,0.0,2.0,0.0,4.0,37.0,2.82,-5.36
1996,1996-12-08,26.287,21.0,28.0,75.0,169.0,1.0,0.0,101.6,4.0,20.0,6.04,6.75
1996,1996-12-15,26.294,8.0,18.0,44.44,42.0,0.0,2.0,12.0,2.0,13.0,2.33,-2.67
1996,1996-12-21,26.3,14.0,34.0,41.18,215.0,0.0,1.0,50.5,2.0,16.0,6.32,5.0
1997,1997-08-31,27.186999999999998,13.0,27.0,48.15,193.0,1.0,0.0,84.3,1.0,4.0,7.15,7.89
1997,1997-09-07,27.194000000000003,16.0,35.0,45.71,182.0,1.0,1.0,59.5,2.0,15.0,5.2,4.49
1997,1997-09-14,27.201,28.0,46.0,60.87,269.0,1.0,0.0,84.4,0.0,0.0,5.85,6.28
1997,1997-09-21,27.208000000000002,16.0,31.0,51.61,163.0,0.0,1.0,53.6,3.0,6.0,5.26,3.81
1997,1997-09-28,27.215,16.0,25.0,64.0,194.0,2.0,1.0,97.7,4.0,35.0,7.76,7.56
1997,1997-10-05,27.221999999999998,2.0,7.0,28.57,8.0,0.0,0.0,39.6,0.0,0.0,1.14,1.14
1997,1997-12-21,27.299,2.0,9.0,22.22,14.0,0.0,0.0,39.6,3.0,7.0,1.56,1.56
1998,1998-10-18,28.235,2.0,5.0,40.0,31.0,0.0,0.0,61.2,1.0,6.0,6.2,6.2
1999,1999-09-12,29.199,,,,,,,,,,,
1999,1999-09-19,29.206,,,,,,,,,,,
1999,1999-10-03,29.22,4.0,6.0,66.67,30.0,0.0,1.0,38.9,0.0,0.0,5.0,-2.5
1999,1999-10-10,29.226999999999997,4.0,8.0,50.0,41.0,0.0,0.0,65.1,1.0,1.0,5.13,5.13
1999,1999-10-17,29.234,8.0,20.0,40.0,117.0,1.0,1.0,55.6,0.0,0.0,5.85,4.6
1999,1999-10-31,29.248,12.0,33.0,36.36,107.0,0.0,2.0,20.6,3.0,21.0,3.24,0.52
1999,1999-11-07,29.255,16.0,26.0,61.54,199.0,0.0,0.0,85.3,6.0,48.0,7.65,7.65
