Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-12-21,22.061999999999998,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,6.0,0.0,0.0
1981,1981-10-18,22.363000000000003,5.0,9.0,55.56,50.0,0.0,0.0,71.5,2.0,15.0,5.56,5.56
1981,1981-11-01,23.011999999999997,2.0,5.0,40.0,25.0,0.0,1.0,16.7,2.0,14.0,5.0,-4.0
1981,1981-11-16,23.026999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,23.04,5.0,11.0,45.45,79.0,1.0,0.0,100.2,1.0,4.0,7.18,9.0
1981,1981-12-06,23.046999999999997,20.0,26.0,76.92,264.0,2.0,3.0,94.6,1.0,8.0,10.15,6.5
1981,1981-12-13,23.054000000000002,18.0,40.0,45.0,219.0,1.0,0.0,70.7,2.0,20.0,5.48,5.98
1981,1981-12-20,23.061,14.0,21.0,66.67,206.0,3.0,1.0,118.3,3.0,24.0,9.81,10.52
1982,1982-09-12,23.326999999999998,22.0,38.0,57.89,203.0,0.0,1.0,61.6,8.0,63.0,5.34,4.16
1982,1982-09-19,23.334,15.0,22.0,68.18,156.0,1.0,0.0,103.6,6.0,46.0,7.09,8.0
1982,1983-01-02,24.074,12.0,18.0,66.67,142.0,1.0,1.0,85.9,2.0,8.0,7.89,6.5
1983,1983-10-23,25.003,13.0,20.0,65.0,214.0,2.0,0.0,134.2,1.0,4.0,10.7,12.7
1983,1983-10-30,25.01,13.0,22.0,59.09,156.0,1.0,1.0,77.1,4.0,20.0,7.09,5.95
1983,1983-11-06,25.017,14.0,23.0,60.87,216.0,2.0,1.0,102.8,0.0,0.0,9.39,9.17
1983,1983-11-13,25.024,13.0,26.0,50.0,216.0,3.0,1.0,100.8,6.0,51.0,8.31,8.88
1983,1983-11-20,25.031,31.0,42.0,73.81,418.0,3.0,4.0,89.3,5.0,38.0,9.95,7.1
1983,1983-11-27,25.038,16.0,31.0,51.61,280.0,3.0,1.0,101.5,6.0,40.0,9.03,9.52
1983,1983-12-04,25.045,16.0,30.0,53.33,253.0,0.0,2.0,53.9,8.0,65.0,8.43,5.43
1983,1983-12-11,25.052,18.0,28.0,64.29,156.0,2.0,1.0,87.8,3.0,29.0,5.57,5.39
1983,1983-12-18,25.059,13.0,21.0,61.9,230.0,2.0,0.0,131.1,5.0,32.0,10.95,12.86
1984,1984-09-03,25.319000000000003,14.0,28.0,50.0,179.0,3.0,1.0,91.2,2.0,17.0,6.39,6.93
1984,1984-09-09,25.325,18.0,38.0,47.37,263.0,1.0,1.0,68.2,1.0,6.0,6.92,6.26
1984,1984-09-16,25.331999999999997,17.0,35.0,48.57,265.0,1.0,2.0,59.8,5.0,50.0,7.57,5.57
1984,1984-09-23,25.339000000000002,6.0,16.0,37.5,146.0,1.0,0.0,92.2,4.0,36.0,9.13,10.38
1984,1984-09-30,25.346,17.0,27.0,62.96,222.0,1.0,3.0,61.6,1.0,5.0,8.22,3.96
1984,1984-10-07,25.353,5.0,12.0,41.67,74.0,1.0,1.0,55.6,5.0,41.0,6.17,4.08
1984,1984-10-14,25.36,17.0,29.0,58.62,231.0,3.0,2.0,89.9,3.0,34.0,7.97,6.93
1984,1984-10-21,26.000999999999998,22.0,35.0,62.86,310.0,2.0,2.0,86.6,5.0,29.0,8.86,7.43
1984,1984-10-29,26.009,23.0,29.0,79.31,282.0,3.0,1.0,127.3,1.0,8.0,9.72,10.24
1984,1984-11-04,26.015,12.0,20.0,60.0,138.0,2.0,1.0,93.3,1.0,9.0,6.9,6.65
1984,1984-11-12,26.023000000000003,11.0,25.0,44.0,156.0,2.0,1.0,74.7,6.0,34.0,6.24,6.04
1984,1984-11-18,26.029,10.0,16.0,62.5,108.0,1.0,1.0,77.1,1.0,4.0,6.75,5.19
1984,1984-11-25,26.035999999999998,30.0,44.0,68.18,406.0,3.0,0.0,120.1,0.0,0.0,9.23,10.59
1984,1984-12-02,26.043000000000003,27.0,38.0,71.05,294.0,5.0,1.0,122.1,1.0,13.0,7.74,9.18
1984,1984-12-09,26.05,17.0,38.0,44.74,263.0,1.0,5.0,37.4,0.0,0.0,6.92,1.53
1984,1984-12-15,26.055999999999997,30.0,50.0,60.0,334.0,2.0,2.0,76.6,4.0,28.0,6.68,5.68
