Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1981,1981-09-20,22.146,11.0,24.0,45.83,154.0,0.0,1.0,49.7,0.0,0.0,6.42,4.54
1981,1981-09-27,22.153000000000002,11.0,22.0,50.0,180.0,1.0,1.0,74.1,0.0,0.0,8.18,7.05
1981,1981-10-04,22.16,12.0,20.0,60.0,127.0,0.0,4.0,39.0,1.0,13.0,6.35,-2.65
1981,1981-10-11,22.166999999999998,6.0,9.0,66.67,47.0,0.0,0.0,79.4,1.0,11.0,5.22,5.22
1981,1981-11-01,22.188000000000002,5.0,9.0,55.56,27.0,0.0,1.0,21.3,1.0,15.0,3.0,-2.0
1981,1981-11-08,22.195,11.0,19.0,57.89,182.0,0.0,0.0,90.2,3.0,27.0,9.58,9.58
1981,1981-11-15,22.201999999999998,19.0,39.0,48.72,244.0,0.0,2.0,47.4,5.0,46.0,6.26,3.95
1981,1981-11-29,22.215999999999998,3.0,8.0,37.5,53.0,0.0,0.0,60.9,0.0,0.0,6.63,6.63
1981,1981-12-06,22.223000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,-45.0
1981,1981-12-13,22.23,4.0,6.0,66.67,44.0,0.0,1.0,48.6,0.0,0.0,7.33,-0.17
1981,1981-12-20,22.237,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1983,1983-09-04,24.13,7.0,11.0,63.64,121.0,1.0,1.0,93.4,1.0,10.0,11.0,8.73
1983,1983-09-11,24.136999999999997,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1983,1983-10-16,24.171999999999997,12.0,17.0,70.59,126.0,0.0,1.0,67.3,4.0,33.0,7.41,4.76
1983,1983-10-30,24.186,19.0,31.0,61.29,209.0,3.0,1.0,100.1,0.0,0.0,6.74,7.23
1983,1983-11-06,24.193,9.0,14.0,64.29,146.0,1.0,1.0,93.2,2.0,18.0,10.43,8.64
1983,1983-11-13,24.2,16.0,29.0,55.17,132.0,0.0,2.0,38.3,9.0,77.0,4.55,1.45
1983,1983-12-04,24.221,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1983,1983-12-18,24.235,3.0,8.0,37.5,36.0,0.0,1.0,12.5,1.0,8.0,4.5,-1.13
1984,1984-09-30,25.156,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-25,25.212,5.0,8.0,62.5,46.0,0.0,0.0,78.1,1.0,10.0,5.75,5.75
1984,1984-12-02,25.219,14.0,29.0,48.28,139.0,3.0,2.0,68.0,1.0,1.0,4.79,3.76
1984,1984-12-09,25.226,20.0,32.0,62.5,325.0,3.0,1.0,114.7,5.0,43.0,10.16,10.63
1984,1984-12-15,25.232,12.0,24.0,50.0,137.0,1.0,1.0,64.1,0.0,0.0,5.71,4.67
1985,1985-09-08,26.134,2.0,22.0,9.09,30.0,0.0,2.0,1.7,3.0,14.0,1.36,-2.73
1985,1985-09-15,26.141,18.0,30.0,60.0,280.0,2.0,0.0,113.2,6.0,45.0,9.33,10.67
1985,1985-09-22,26.148000000000003,16.0,25.0,64.0,246.0,2.0,0.0,123.1,2.0,20.0,9.84,11.44
1985,1985-09-29,26.155,15.0,30.0,50.0,189.0,1.0,2.0,53.3,1.0,10.0,6.3,3.97
1985,1985-10-06,26.162,15.0,24.0,62.5,175.0,1.0,1.0,81.1,4.0,29.0,7.29,6.25
1985,1985-10-13,26.169,15.0,32.0,46.88,201.0,1.0,2.0,51.7,3.0,28.0,6.28,4.09
1985,1985-10-20,26.176,19.0,45.0,42.22,300.0,2.0,4.0,42.8,2.0,13.0,6.67,3.56
1985,1985-10-27,26.183000000000003,13.0,28.0,46.43,110.0,1.0,2.0,39.3,1.0,9.0,3.93,1.43
1985,1985-11-03,26.19,19.0,35.0,54.29,156.0,1.0,1.0,63.5,9.0,63.0,4.46,3.74
1985,1985-11-10,26.197,13.0,22.0,59.09,156.0,0.0,1.0,61.9,8.0,60.0,7.09,5.05
1986,1986-09-21,27.147,9.0,20.0,45.0,125.0,0.0,0.0,65.6,3.0,36.0,6.25,6.25
1986,1986-09-28,27.154,12.0,20.0,60.0,146.0,1.0,0.0,99.2,2.0,15.0,7.3,8.3
1986,1986-10-05,27.160999999999998,16.0,30.0,53.33,159.0,0.0,1.0,54.7,3.0,30.0,5.3,3.8
1986,1986-10-12,27.168000000000003,11.0,26.0,42.31,131.0,1.0,3.0,31.6,0.0,0.0,5.04,0.62
1986,1986-10-19,27.175,14.0,23.0,60.87,185.0,1.0,1.0,82.7,0.0,0.0,8.04,6.96
1986,1986-10-26,27.182,22.0,37.0,59.46,243.0,2.0,2.0,74.5,0.0,0.0,6.57,5.22
1986,1986-11-02,27.189,12.0,16.0,75.0,165.0,0.0,1.0,81.5,3.0,28.0,10.31,7.5
1986,1986-11-09,27.195999999999998,9.0,20.0,45.0,134.0,0.0,3.0,27.9,0.0,0.0,6.7,-0.05
1986,1986-11-16,27.203000000000003,7.0,16.0,43.75,104.0,1.0,0.0,86.5,3.0,28.0,6.5,7.75
1986,1986-11-23,27.21,24.0,43.0,55.81,236.0,1.0,4.0,40.5,2.0,13.0,5.49,1.77
1986,1986-11-30,27.217,20.0,33.0,60.61,272.0,1.0,0.0,97.0,4.0,25.0,8.24,8.85
1986,1986-12-07,27.224,19.0,34.0,55.88,276.0,1.0,1.0,80.0,1.0,7.0,8.12,7.38
1986,1986-12-14,27.230999999999998,13.0,23.0,56.52,170.0,1.0,1.0,76.4,1.0,9.0,7.39,6.3
1986,1986-12-21,27.238000000000003,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
1987,1987-09-20,28.146,4.0,7.0,57.14,83.0,1.0,0.0,138.7,1.0,11.0,11.86,14.71
1987,1987-11-29,28.215999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1987,1987-12-20,28.237,9.0,15.0,60.0,160.0,1.0,0.0,118.7,1.0,10.0,10.67,12.0
1987,1987-12-27,28.244,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1988,1988-12-04,29.221,5.0,16.0,31.25,73.0,0.0,1.0,21.1,0.0,0.0,4.56,1.75
