Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-12-09,22.298000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1984,1984-12-16,22.305,11.0,17.0,64.71,181.0,1.0,0.0,120.0,7.0,45.0,10.65,11.82
1985,1985-09-08,23.205,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-15,23.212,4.0,8.0,50.0,30.0,0.0,0.0,59.4,1.0,6.0,3.75,3.75
1985,1985-09-22,23.219,3.0,5.0,60.0,45.0,0.0,0.0,89.6,1.0,13.0,9.0,9.0
1985,1985-09-29,23.226,11.0,21.0,52.38,114.0,0.0,1.0,48.5,0.0,0.0,5.43,3.29
1985,1985-10-06,23.233,9.0,11.0,81.82,87.0,0.0,0.0,99.6,3.0,21.0,7.91,7.91
1985,1985-10-13,23.24,14.0,27.0,51.85,209.0,2.0,1.0,86.8,2.0,22.0,7.74,7.56
1985,1985-10-20,23.247,20.0,30.0,66.67,250.0,0.0,3.0,52.8,1.0,2.0,8.33,3.83
1985,1985-10-27,23.254,9.0,23.0,39.13,99.0,1.0,3.0,27.5,5.0,34.0,4.3,-0.7
1985,1985-11-03,23.261,4.0,12.0,33.33,36.0,0.0,0.0,42.4,2.0,12.0,3.0,3.0
1985,1985-11-10,23.268,12.0,25.0,48.0,133.0,1.0,2.0,44.2,6.0,39.0,5.32,2.52
1985,1985-11-17,23.275,15.0,30.0,50.0,158.0,0.0,0.0,65.7,3.0,26.0,5.27,5.27
1985,1985-11-24,23.281999999999996,2.0,15.0,13.33,10.0,0.0,2.0,0.0,3.0,23.0,0.67,-5.33
1985,1985-12-01,23.289,11.0,28.0,39.29,263.0,2.0,2.0,68.0,5.0,28.0,9.39,7.61
1985,1985-12-08,23.296,16.0,28.0,57.14,146.0,0.0,3.0,31.8,7.0,53.0,5.21,0.39
1985,1985-12-15,23.303,14.0,22.0,63.64,213.0,1.0,0.0,110.6,3.0,23.0,9.68,10.59
1985,1985-12-22,23.31,17.0,27.0,62.96,199.0,0.0,0.0,85.3,1.0,10.0,7.37,7.37
1986,1986-09-07,24.204,13.0,16.0,81.25,207.0,2.0,1.0,132.3,2.0,13.0,12.94,12.63
1986,1986-09-14,24.211,10.0,24.0,41.67,160.0,2.0,0.0,92.4,1.0,8.0,6.67,8.33
1986,1986-09-21,24.218000000000004,15.0,29.0,51.72,269.0,1.0,0.0,95.3,5.0,36.0,9.28,9.97
1986,1986-09-28,24.225,19.0,36.0,52.78,246.0,1.0,0.0,83.8,1.0,5.0,6.83,7.39
1986,1986-10-05,24.232,15.0,38.0,39.47,222.0,0.0,1.0,48.4,7.0,49.0,5.84,4.66
1986,1986-10-12,24.239,9.0,20.0,45.0,115.0,1.0,2.0,40.6,1.0,7.0,5.75,2.25
1986,1986-10-19,24.246,16.0,35.0,45.71,176.0,1.0,3.0,34.9,5.0,37.0,5.03,1.74
1986,1986-10-26,24.253,11.0,22.0,50.0,53.0,0.0,1.0,37.3,1.0,9.0,2.41,0.36
1986,1986-11-02,24.26,16.0,26.0,61.54,165.0,0.0,0.0,79.8,4.0,17.0,6.35,6.35
1986,1986-11-09,24.267,21.0,36.0,58.33,350.0,2.0,1.0,98.1,4.0,45.0,9.72,9.58
1986,1986-11-16,24.274,5.0,12.0,41.67,44.0,0.0,0.0,52.1,3.0,23.0,3.67,3.67
