Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-09-08,23.049,10.0,22.0,45.45,145.0,2.0,1.0,78.8,6.0,22.0,6.59,6.36
2002,2002-09-15,23.055999999999997,6.0,25.0,24.0,87.0,0.0,2.0,8.2,9.0,58.0,3.48,-0.12
2002,2002-09-22,23.063000000000002,12.0,22.0,54.55,99.0,0.0,1.0,47.3,4.0,21.0,4.5,2.45
2002,2002-09-29,23.07,16.0,29.0,55.17,188.0,2.0,2.0,69.3,7.0,37.0,6.48,4.76
2002,2002-10-13,23.084,12.0,23.0,52.17,218.0,1.0,0.0,99.5,5.0,26.0,9.48,10.35
2002,2002-10-20,23.090999999999998,22.0,36.0,61.11,267.0,1.0,0.0,93.2,8.0,41.0,7.42,7.97
2002,2002-10-27,23.098000000000003,11.0,18.0,61.11,184.0,1.0,0.0,114.1,4.0,23.0,10.22,11.33
2002,2002-11-03,23.105,18.0,32.0,56.25,199.0,0.0,2.0,48.8,2.0,13.0,6.22,3.41
2002,2002-11-10,23.112,19.0,34.0,55.88,182.0,1.0,2.0,56.2,4.0,17.0,5.35,3.29
2002,2002-11-17,23.119,22.0,30.0,73.33,228.0,1.0,1.0,92.1,4.0,34.0,7.6,6.77
2002,2002-11-24,23.125999999999998,10.0,23.0,43.48,103.0,0.0,0.0,57.0,5.0,14.0,4.48,4.48
2002,2002-12-01,23.133000000000003,20.0,35.0,57.14,137.0,0.0,0.0,66.0,6.0,37.0,3.91,3.91
2002,2002-12-08,23.14,3.0,10.0,30.0,33.0,0.0,0.0,40.8,4.0,23.0,3.3,3.3
2002,2002-12-15,23.147,19.0,34.0,55.88,196.0,0.0,2.0,48.2,2.0,14.0,5.76,3.12
2002,2002-12-22,23.154,12.0,31.0,38.71,112.0,0.0,1.0,36.0,3.0,13.0,3.61,2.16
2002,2002-12-29,23.160999999999998,21.0,40.0,52.5,214.0,0.0,1.0,57.7,3.0,18.0,5.35,4.23
2003,2003-09-07,24.048000000000002,17.0,31.0,54.84,266.0,1.0,0.0,94.3,0.0,0.0,8.58,9.23
2003,2003-09-14,24.055,17.0,36.0,47.22,213.0,0.0,2.0,42.9,5.0,30.0,5.92,3.42
2003,2003-09-21,24.061999999999998,17.0,27.0,62.96,167.0,1.0,2.0,61.8,1.0,9.0,6.19,3.59
2003,2003-09-28,24.069000000000003,23.0,36.0,63.89,234.0,1.0,1.0,80.1,1.0,5.0,6.5,5.81
2003,2003-10-12,24.083000000000002,25.0,42.0,59.52,371.0,2.0,3.0,74.6,1.0,4.0,8.83,6.57
2003,2003-10-19,24.09,15.0,23.0,65.22,170.0,0.0,0.0,87.2,2.0,14.0,7.39,7.39
2003,2003-10-26,24.096999999999998,8.0,9.0,88.89,62.0,1.0,0.0,132.4,1.0,1.0,6.89,9.11
2003,2003-11-09,24.111,11.0,25.0,44.0,146.0,2.0,1.0,73.1,2.0,17.0,5.84,5.64
2003,2003-11-16,24.118000000000002,2.0,4.0,50.0,12.0,0.0,0.0,56.2,1.0,3.0,3.0,3.0
2003,2003-11-30,24.131999999999998,2.0,5.0,40.0,25.0,0.0,1.0,16.7,0.0,0.0,5.0,-4.0
2003,2003-12-21,24.153000000000002,17.0,34.0,50.0,242.0,1.0,2.0,58.7,1.0,7.0,7.12,5.06
2003,2003-12-28,24.16,13.0,23.0,56.52,105.0,0.0,1.0,50.1,0.0,0.0,4.57,2.61
2004,2004-09-12,25.053,19.0,25.0,76.0,229.0,0.0,2.0,70.2,2.0,3.0,9.16,5.56
2004,2004-09-19,25.06,23.0,34.0,67.65,313.0,2.0,1.0,104.2,5.0,39.0,9.21,9.06
2004,2004-09-26,25.066999999999997,13.0,25.0,52.0,233.0,1.0,1.0,80.9,3.0,13.0,9.32,8.32
2004,2004-10-03,25.074,14.0,23.0,60.87,228.0,1.0,0.0,108.6,0.0,0.0,9.91,10.78
2004,2004-10-10,25.081,27.0,42.0,64.29,372.0,3.0,0.0,116.4,4.0,14.0,8.86,10.29
2004,2004-10-17,25.088,16.0,26.0,61.54,266.0,1.0,1.0,92.8,2.0,19.0,10.23,9.27
2004,2004-10-31,25.101999999999997,26.0,34.0,76.47,276.0,1.0,0.0,109.4,0.0,0.0,8.12,8.71
2004,2004-11-07,25.109,22.0,41.0,53.66,245.0,0.0,0.0,71.7,4.0,17.0,5.98,5.98
2004,2004-11-14,25.116,22.0,41.0,53.66,215.0,0.0,3.0,38.2,5.0,45.0,5.24,1.95
2004,2004-11-21,25.123,13.0,26.0,50.0,164.0,1.0,0.0,82.9,2.0,20.0,6.31,7.08
2004,2004-11-28,25.13,21.0,30.0,70.0,201.0,2.0,1.0,96.7,3.0,22.0,6.7,6.53
2004,2004-12-05,25.136999999999997,12.0,25.0,48.0,157.0,0.0,2.0,34.9,2.0,10.0,6.28,2.68
2004,2004-12-12,25.144000000000002,16.0,21.0,76.19,167.0,1.0,1.0,94.7,5.0,42.0,7.95,6.76
2004,2004-12-19,25.151,13.0,29.0,44.83,220.0,1.0,0.0,82.5,2.0,12.0,7.59,8.28
2004,2004-12-26,25.158,13.0,19.0,68.42,131.0,1.0,2.0,65.8,4.0,17.0,6.89,3.21
2004,2005-01-02,25.165,15.0,25.0,60.0,114.0,1.0,0.0,84.4,6.0,28.0,4.56,5.36
2005,2005-09-11,26.052,9.0,21.0,42.86,70.0,0.0,3.0,12.1,5.0,45.0,3.33,-3.1
2005,2005-09-18,26.059,16.0,26.0,61.54,167.0,1.0,0.0,92.9,8.0,59.0,6.42,7.19
2005,2005-10-02,26.073,17.0,26.0,65.38,174.0,1.0,0.0,97.3,7.0,46.0,6.69,7.46
2005,2005-10-09,26.08,18.0,27.0,66.67,131.0,1.0,1.0,74.8,7.0,35.0,4.85,3.93
2005,2005-10-16,26.087,19.0,33.0,57.58,179.0,1.0,0.0,82.8,3.0,19.0,5.42,6.03
2005,2005-10-23,26.094,6.0,9.0,66.67,48.0,1.0,1.0,77.3,5.0,42.0,5.33,2.56
2005,2005-10-30,26.101,10.0,20.0,50.0,138.0,1.0,1.0,68.3,2.0,18.0,6.9,5.65
2005,2005-11-06,26.108,22.0,30.0,73.33,219.0,1.0,0.0,104.7,6.0,28.0,7.3,7.97
2005,2005-11-13,26.115,16.0,25.0,64.0,138.0,1.0,0.0,91.7,3.0,12.0,5.52,6.32
2005,2005-11-20,26.122,19.0,36.0,52.78,182.0,0.0,1.0,55.6,1.0,1.0,5.06,3.81
2005,2005-11-27,26.129,25.0,34.0,73.53,293.0,3.0,1.0,116.4,3.0,5.0,8.62,9.06
2005,2005-12-04,26.136,17.0,37.0,45.95,165.0,0.0,1.0,47.7,5.0,32.0,4.46,3.24
2005,2005-12-11,26.143,17.0,26.0,65.38,116.0,1.0,0.0,88.0,6.0,34.0,4.46,5.23
2005,2005-12-18,26.15,22.0,33.0,66.67,150.0,0.0,1.0,64.0,3.0,16.0,4.55,3.18
2005,2005-12-24,26.156,19.0,29.0,65.52,295.0,2.0,1.0,107.7,4.0,32.0,10.17,10.0
2005,2006-01-01,26.164,4.0,11.0,36.36,23.0,0.0,0.0,44.9,0.0,0.0,2.09,2.09
2006,2006-09-10,27.051,18.0,27.0,66.67,208.0,1.0,0.0,102.1,5.0,37.0,7.7,8.44
2006,2006-09-17,27.058000000000003,22.0,26.0,84.62,219.0,3.0,0.0,140.2,4.0,28.0,8.42,10.73
2006,2006-09-24,27.065,19.0,29.0,65.52,208.0,2.0,1.0,95.2,1.0,8.0,7.17,7.0
2006,2006-10-01,27.072,22.0,29.0,75.86,230.0,1.0,1.0,95.5,5.0,19.0,7.93,7.07
2006,2006-10-15,27.086,15.0,27.0,55.56,128.0,0.0,2.0,37.3,0.0,0.0,4.74,1.41
2006,2006-10-22,27.093000000000004,25.0,34.0,73.53,224.0,2.0,0.0,110.4,1.0,6.0,6.59,7.76
2006,2006-10-29,27.1,15.0,21.0,71.43,113.0,0.0,1.0,64.2,4.0,20.0,5.38,3.24
2006,2006-11-05,27.107,21.0,30.0,70.0,176.0,0.0,0.0,84.9,1.0,6.0,5.87,5.87
2006,2006-11-12,27.114,16.0,32.0,50.0,167.0,0.0,0.0,65.5,1.0,4.0,5.22,5.22
2006,2006-11-19,27.121,25.0,30.0,83.33,223.0,0.0,1.0,83.8,3.0,17.0,7.43,5.93
2006,2006-11-26,27.128,39.0,54.0,72.22,323.0,1.0,1.0,85.6,4.0,14.0,5.98,5.52
2006,2006-12-03,27.135,7.0,14.0,50.0,32.0,0.0,0.0,56.2,5.0,37.0,2.29,2.29
2006,2006-12-10,27.142,17.0,23.0,73.91,140.0,0.0,0.0,89.0,2.0,7.0,6.09,6.09
2006,2006-12-17,27.149,16.0,28.0,57.14,127.0,0.0,4.0,29.0,4.0,34.0,4.54,-1.89
2006,2006-12-24,27.156,16.0,23.0,69.57,163.0,1.0,0.0,104.1,0.0,0.0,7.09,7.96
2006,2006-12-31,27.163,9.0,15.0,60.0,86.0,0.0,1.0,48.2,1.0,3.0,5.73,2.73
2007,2007-09-23,28.064,3.0,4.0,75.0,56.0,0.0,0.0,116.7,1.0,10.0,14.0,14.0
2007,2007-09-30,28.070999999999998,19.0,41.0,46.34,155.0,1.0,1.0,54.4,3.0,18.0,3.78,3.17
2007,2007-10-07,28.078000000000003,10.0,17.0,58.82,119.0,1.0,1.0,75.4,1.0,7.0,7.0,5.53
2007,2007-10-14,28.085,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-10-28,28.099,16.0,25.0,64.0,103.0,0.0,0.0,72.6,0.0,0.0,4.12,4.12
2007,2007-11-04,28.105999999999998,15.0,27.0,55.56,107.0,1.0,1.0,61.8,7.0,30.0,3.96,3.04
2007,2007-11-25,28.127,10.0,22.0,45.45,95.0,0.0,2.0,20.1,1.0,9.0,4.32,0.23
2008,2008-09-14,29.055,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2008,2008-10-05,29.076,1.0,1.0,100.0,5.0,1.0,0.0,127.1,0.0,0.0,5.0,25.0
2008,2008-12-28,29.16,8.0,11.0,72.73,110.0,1.0,0.0,134.7,1.0,2.0,10.0,11.82
2009,2009-09-27,30.068,2.0,3.0,66.67,10.0,0.0,0.0,71.5,0.0,0.0,3.33,3.33
2009,2009-10-04,30.075,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,11.0,0.0,0.0
2009,2009-10-11,30.081999999999997,9.0,14.0,64.29,90.0,0.0,0.0,82.4,0.0,0.0,6.43,6.43
2009,2009-10-18,30.089000000000002,4.0,5.0,80.0,72.0,1.0,0.0,158.3,1.0,0.0,14.4,18.4
2009,2009-12-21,30.153000000000002,3.0,4.0,75.0,27.0,0.0,0.0,92.7,0.0,0.0,6.75,6.75
2009,2010-01-03,30.166,3.0,5.0,60.0,26.0,0.0,0.0,73.7,0.0,0.0,5.2,5.2
2010,2010-10-24,31.095,5.0,13.0,38.46,67.0,0.0,1.0,23.6,1.0,5.0,5.15,1.69
2012,2012-09-20,33.061,1.0,2.0,50.0,4.0,0.0,0.0,56.2,1.0,6.0,2.0,2.0
2012,2012-12-30,33.162,1.0,1.0,100.0,15.0,0.0,0.0,118.7,0.0,0.0,15.0,15.0
