Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-09-29,24.226999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-10-13,24.241,4.0,7.0,57.14,53.0,0.0,2.0,41.7,3.0,16.0,7.57,-5.29
2002,2002-12-22,24.311,6.0,13.0,46.15,43.0,1.0,0.0,80.0,1.0,1.0,3.31,4.85
2002,2002-12-29,24.318,13.0,26.0,50.0,135.0,0.0,0.0,65.4,3.0,23.0,5.19,5.19
2003,2003-10-26,25.254,9.0,12.0,75.0,86.0,1.0,0.0,122.2,0.0,0.0,7.17,8.83
2003,2003-11-30,25.289,,,,,,,,0.0,,,
2004,2004-10-31,26.26,2.0,2.0,100.0,28.0,0.0,0.0,118.7,0.0,0.0,14.0,14.0
2004,2004-11-14,26.274,19.0,36.0,52.78,198.0,2.0,0.0,87.5,3.0,22.0,5.5,6.61
2004,2004-11-21,26.281,13.0,27.0,48.15,129.0,0.0,1.0,46.7,2.0,6.0,4.78,3.11
2004,2004-12-26,26.316,4.0,7.0,57.14,19.0,0.0,0.0,62.2,1.0,7.0,2.71,2.71
2005,2005-09-25,27.223000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2005,2005-11-20,27.279,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-11-27,27.285999999999998,12.0,26.0,46.15,115.0,0.0,0.0,59.0,0.0,0.0,4.42,4.42
2005,2005-12-04,27.293000000000003,11.0,20.0,55.0,116.0,2.0,1.0,84.6,1.0,1.0,5.8,5.55
2005,2005-12-11,27.3,26.0,35.0,74.29,250.0,1.0,0.0,103.3,0.0,0.0,7.14,7.71
2005,2005-12-18,27.307,21.0,40.0,52.5,216.0,0.0,0.0,68.3,2.0,14.0,5.4,5.4
2005,2005-12-24,27.313000000000002,18.0,31.0,58.06,292.0,1.0,0.0,100.5,3.0,16.0,9.42,10.06
2005,2006-01-01,27.320999999999998,10.0,16.0,62.5,128.0,0.0,0.0,87.5,2.0,14.0,8.0,8.0
2006,2006-10-08,28.236,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-29,28.256999999999998,10.0,17.0,58.82,87.0,0.0,0.0,72.4,1.0,11.0,5.12,5.12
2006,2006-11-05,28.264,12.0,22.0,54.55,177.0,3.0,0.0,120.6,2.0,8.0,8.05,10.77
2006,2006-11-12,28.271,15.0,34.0,44.12,214.0,0.0,4.0,25.5,2.0,10.0,6.29,1.0
2006,2006-11-20,28.279,19.0,32.0,59.38,249.0,0.0,0.0,84.0,0.0,0.0,7.78,7.78
2006,2006-11-26,28.285,16.0,22.0,72.73,132.0,2.0,0.0,118.0,3.0,16.0,6.0,7.82
2006,2006-12-03,28.291999999999998,16.0,22.0,72.73,229.0,2.0,0.0,136.4,4.0,26.0,10.41,12.23
2006,2006-12-10,28.299,8.0,14.0,57.14,79.0,0.0,1.0,43.5,1.0,7.0,5.64,2.43
2006,2006-12-17,28.305999999999997,22.0,37.0,59.46,233.0,1.0,3.0,53.1,4.0,30.0,6.3,3.19
2006,2006-12-24,28.313000000000002,17.0,23.0,73.91,195.0,1.0,0.0,113.5,1.0,0.0,8.48,9.35
2006,2006-12-31,28.32,10.0,18.0,55.56,140.0,1.0,1.0,76.2,2.0,11.0,7.78,6.39
2007,2007-09-09,29.206999999999997,17.0,30.0,56.67,204.0,1.0,0.0,88.7,3.0,7.0,6.8,7.47
2007,2007-09-16,29.214000000000002,17.0,25.0,68.0,272.0,1.0,0.0,117.4,4.0,21.0,10.88,11.68
2007,2007-09-23,29.221,14.0,20.0,70.0,154.0,1.0,0.0,109.2,3.0,14.0,7.7,8.7
2007,2007-10-07,29.235,20.0,27.0,74.07,218.0,1.0,0.0,109.8,4.0,17.0,8.07,8.81
2007,2007-10-14,29.241999999999997,22.0,34.0,64.71,221.0,2.0,0.0,102.7,1.0,8.0,6.5,7.68
2007,2007-10-22,29.25,8.0,12.0,66.67,72.0,0.0,0.0,82.6,1.0,6.0,6.0,6.0
2007,2007-11-18,29.276999999999997,15.0,24.0,62.5,189.0,2.0,0.0,114.8,0.0,0.0,7.88,9.54
2007,2007-11-25,29.284000000000002,23.0,37.0,62.16,296.0,1.0,0.0,96.2,1.0,4.0,8.0,8.54
2007,2007-12-02,29.291,24.0,29.0,82.76,257.0,2.0,1.0,112.2,3.0,14.0,8.86,8.69
2007,2007-12-09,29.298000000000002,20.0,36.0,55.56,230.0,2.0,0.0,93.5,0.0,0.0,6.39,7.5
2007,2007-12-16,29.305,17.0,33.0,51.52,197.0,3.0,1.0,87.6,0.0,0.0,5.97,6.42
2007,2007-12-23,29.311999999999998,11.0,18.0,61.11,199.0,2.0,1.0,113.0,1.0,8.0,11.06,10.78
2008,2008-09-07,30.206,23.0,35.0,65.71,215.0,1.0,2.0,68.2,7.0,59.0,6.14,4.14
2008,2008-09-14,30.213,17.0,28.0,60.71,165.0,0.0,1.0,62.4,2.0,20.0,5.89,4.29
2008,2008-09-21,30.22,16.0,22.0,72.73,167.0,0.0,1.0,75.4,0.0,0.0,7.59,5.55
2008,2008-09-28,30.226999999999997,23.0,32.0,71.88,236.0,1.0,0.0,103.1,1.0,0.0,7.38,8.0
2008,2008-10-05,30.234,18.0,32.0,56.25,200.0,1.0,0.0,85.4,3.0,25.0,6.25,6.88
2008,2008-10-12,30.241,25.0,34.0,73.53,276.0,1.0,0.0,107.0,2.0,15.0,8.12,8.71
2008,2008-10-26,30.255,25.0,42.0,59.52,283.0,2.0,0.0,95.6,3.0,16.0,6.74,7.69
2008,2008-11-02,30.261999999999997,23.0,38.0,60.53,229.0,0.0,1.0,66.7,3.0,15.0,6.03,4.84
2008,2008-11-09,30.269000000000002,18.0,25.0,72.0,238.0,2.0,0.0,128.4,1.0,11.0,9.52,11.12
2008,2008-11-16,30.276,13.0,30.0,43.33,135.0,0.0,1.0,43.1,4.0,18.0,4.5,3.0
2008,2008-11-23,30.283,27.0,45.0,60.0,317.0,1.0,2.0,70.3,4.0,31.0,7.04,5.49
2008,2008-12-01,30.291,25.0,35.0,71.43,287.0,1.0,1.0,93.4,3.0,25.0,8.2,7.49
2008,2008-12-07,30.296999999999997,19.0,38.0,50.0,178.0,1.0,1.0,61.1,3.0,19.0,4.68,4.03
2008,2008-12-14,30.304000000000002,21.0,33.0,63.64,238.0,2.0,0.0,105.4,2.0,9.0,7.21,8.42
2008,2008-12-18,30.308000000000003,28.0,41.0,68.29,329.0,1.0,1.0,90.4,3.0,25.0,8.02,7.41
2008,2008-12-28,30.318,14.0,25.0,56.0,127.0,1.0,2.0,49.9,1.0,0.0,5.08,2.28
2009,2009-09-13,31.211,14.0,28.0,50.0,122.0,0.0,0.0,61.9,1.0,8.0,4.36,4.36
2009,2009-09-20,31.218000000000004,23.0,43.0,53.49,282.0,2.0,1.0,79.8,4.0,7.0,6.56,6.44
