Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1992,1992-11-29,23.285999999999998,16.0,34.0,47.06,140.0,0.0,0.0,58.5,10.0,72.0,4.12,4.12
1992,1992-12-06,23.293000000000003,12.0,25.0,48.0,134.0,2.0,0.0,91.1,4.0,35.0,5.36,6.96
1992,1992-12-13,23.3,13.0,26.0,50.0,195.0,1.0,2.0,55.8,4.0,39.0,7.5,4.81
1992,1992-12-20,23.307,6.0,13.0,46.15,61.0,0.0,0.0,60.1,0.0,0.0,4.69,4.69
1993,1993-09-05,24.2,20.0,28.0,71.43,214.0,1.0,2.0,75.6,6.0,42.0,7.64,5.14
1993,1993-09-12,24.206999999999997,16.0,37.0,43.24,146.0,0.0,1.0,43.3,2.0,5.0,3.95,2.73
1993,1993-09-19,24.214000000000002,17.0,21.0,80.95,135.0,1.0,0.0,109.3,2.0,12.0,6.43,7.38
1993,1993-09-26,24.221,11.0,23.0,47.83,155.0,0.0,1.0,51.9,3.0,4.0,6.74,4.78
1993,1993-10-10,24.235,16.0,30.0,53.33,173.0,0.0,1.0,56.7,4.0,11.0,5.77,4.27
1993,1993-10-17,24.241999999999997,3.0,9.0,33.33,25.0,0.0,0.0,42.4,2.0,22.0,2.78,2.78
1993,1993-11-14,24.27,4.0,17.0,23.53,34.0,0.0,0.0,39.6,3.0,11.0,2.0,2.0
1993,1993-11-21,24.276999999999997,22.0,31.0,70.97,196.0,1.0,2.0,71.4,4.0,20.0,6.32,4.06
1993,1993-11-28,24.284000000000002,14.0,20.0,70.0,157.0,0.0,0.0,93.1,4.0,24.0,7.85,7.85
1993,1993-12-05,24.291,13.0,19.0,68.42,97.0,0.0,1.0,58.4,0.0,0.0,5.11,2.74
1993,1993-12-12,24.298000000000002,9.0,25.0,36.0,89.0,0.0,1.0,30.2,4.0,26.0,3.56,1.76
1993,1993-12-19,24.305,16.0,30.0,53.33,223.0,0.0,0.0,77.5,1.0,0.0,7.43,7.43
1993,1993-12-26,24.311999999999998,16.0,30.0,53.33,174.0,3.0,0.0,104.0,2.0,12.0,5.8,7.8
1993,1994-01-02,24.319000000000003,13.0,23.0,56.52,117.0,0.0,0.0,70.4,3.0,13.0,5.09,5.09
1994,1994-09-04,25.199,27.0,43.0,62.79,224.0,1.0,2.0,64.5,2.0,11.0,5.21,3.58
1994,1994-09-11,25.206,21.0,34.0,61.76,180.0,1.0,1.0,73.2,2.0,13.0,5.29,4.56
1994,1994-09-18,25.213,21.0,29.0,72.41,266.0,2.0,0.0,123.6,7.0,47.0,9.17,10.55
1994,1994-09-25,25.22,10.0,30.0,33.33,115.0,0.0,3.0,6.2,7.0,41.0,3.83,-0.67
1994,1994-10-02,25.226999999999997,16.0,30.0,53.33,188.0,1.0,3.0,44.2,1.0,4.0,6.27,2.43
1994,1994-10-16,25.241,16.0,29.0,55.17,143.0,0.0,0.0,68.6,2.0,15.0,4.93,4.93
1994,1994-10-23,25.248,18.0,34.0,52.94,200.0,1.0,0.0,80.5,3.0,34.0,5.88,6.47
1994,1994-11-27,25.283,1.0,1.0,100.0,3.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
1994,1994-12-11,25.296999999999997,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
1994,1994-12-18,25.304000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-29,26.254,5.0,11.0,45.45,73.0,1.0,0.0,97.9,1.0,10.0,6.64,8.45
1995,1995-11-19,26.275,2.0,3.0,66.67,15.0,0.0,1.0,38.9,0.0,0.0,5.0,-10.0
1995,1995-12-24,26.31,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-12-22,27.309,10.0,24.0,41.67,87.0,0.0,0.0,51.9,4.0,16.0,3.63,3.63
1997,1997-11-02,28.258000000000003,4.0,7.0,57.14,27.0,0.0,1.0,26.2,0.0,0.0,3.86,-2.57
