Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-28,21.339000000000002,4.0,15.0,26.67,61.0,0.0,3.0,4.4,,,4.07,-4.93
1980,1980-10-05,21.346,2.0,2.0,100.0,14.0,0.0,0.0,95.8,,,7.0,7.0
1980,1980-10-12,21.353,11.0,28.0,39.29,48.0,0.0,2.0,17.6,4.0,32.0,1.71,-1.5
1980,1980-10-19,21.36,11.0,17.0,64.71,93.0,1.0,1.0,73.9,1.0,10.0,5.47,4.0
1980,1980-10-27,22.002,22.0,42.0,52.38,224.0,1.0,2.0,56.1,2.0,16.0,5.33,3.67
1980,1980-11-02,22.008000000000003,11.0,16.0,68.75,75.0,0.0,2.0,39.3,,,4.69,-0.94
1980,1980-11-09,22.015,17.0,28.0,60.71,161.0,3.0,0.0,112.4,,,5.75,7.89
1980,1980-11-16,22.022,18.0,25.0,72.0,222.0,2.0,1.0,109.1,1.0,10.0,8.88,8.68
1980,1980-11-20,22.026,22.0,34.0,64.71,251.0,1.0,2.0,72.1,5.0,29.0,7.38,5.32
1980,1980-11-30,22.035999999999998,14.0,26.0,53.85,143.0,1.0,1.0,66.7,,,5.5,4.54
1980,1980-12-08,22.044,15.0,24.0,62.5,192.0,1.0,0.0,101.4,2.0,19.0,8.0,8.83
1980,1980-12-14,22.05,9.0,29.0,31.03,143.0,3.0,1.0,68.6,,,4.93,5.45
1980,1980-12-20,22.055999999999997,20.0,41.0,48.78,223.0,1.0,2.0,53.2,2.0,11.0,5.44,3.73
1981,1981-09-06,22.316,14.0,24.0,58.33,178.0,2.0,1.0,92.0,4.0,37.0,7.42,7.21
1981,1981-09-10,22.32,14.0,34.0,41.18,161.0,1.0,1.0,53.7,0.0,0.0,4.74,4.0
1981,1981-09-20,22.33,11.0,22.0,50.0,82.0,0.0,0.0,59.3,1.0,11.0,3.73,3.73
1981,1981-09-27,22.337,19.0,30.0,63.33,309.0,2.0,0.0,120.0,0.0,0.0,10.3,11.63
1981,1981-10-04,22.344,3.0,5.0,60.0,27.0,0.0,0.0,74.6,1.0,5.0,5.4,5.4
1981,1981-10-18,22.358,15.0,28.0,53.57,296.0,0.0,0.0,90.8,0.0,0.0,10.57,10.57
1981,1981-10-25,23.0,21.0,37.0,56.76,408.0,3.0,5.0,82.8,3.0,27.0,11.03,6.57
1981,1981-11-01,23.006999999999998,14.0,25.0,56.0,164.0,2.0,0.0,102.7,0.0,0.0,6.56,8.16
1981,1981-11-08,23.014,22.0,37.0,59.46,242.0,0.0,2.0,56.4,2.0,26.0,6.54,4.11
1981,1981-11-15,23.021,10.0,22.0,45.45,102.0,0.0,0.0,59.3,3.0,17.0,4.64,4.64
1981,1981-11-22,23.028000000000002,10.0,22.0,45.45,63.0,0.0,2.0,14.6,3.0,22.0,2.86,-1.23
1981,1981-11-30,23.035999999999998,11.0,23.0,47.83,117.0,0.0,0.0,63.1,2.0,15.0,5.09,5.09
1981,1981-12-06,23.041999999999998,11.0,24.0,45.83,128.0,1.0,1.0,59.0,0.0,0.0,5.33,4.29
1981,1981-12-13,23.049,6.0,12.0,50.0,56.0,0.0,1.0,28.5,1.0,5.0,4.67,0.92
1981,1981-12-19,23.055,10.0,21.0,47.62,137.0,1.0,0.0,84.8,4.0,26.0,6.52,7.48
1982,1982-09-12,23.322,14.0,22.0,63.64,98.0,0.0,1.0,54.7,0.0,0.0,4.45,2.41
1982,1982-09-19,23.329,16.0,25.0,64.0,180.0,1.0,0.0,98.7,1.0,19.0,7.2,8.0
1982,1982-11-21,24.026999999999997,6.0,16.0,37.5,79.0,0.0,1.0,27.9,1.0,0.0,4.94,2.13
1982,1982-11-29,24.035,7.0,13.0,53.85,40.0,0.0,1.0,27.7,2.0,17.0,3.08,-0.38
1982,1982-12-05,24.041,13.0,20.0,65.0,132.0,0.0,0.0,83.7,1.0,9.0,6.6,6.6
1982,1982-12-12,24.048000000000002,9.0,18.0,50.0,76.0,0.0,2.0,21.8,2.0,17.0,4.22,-0.78
1982,1982-12-18,24.054000000000002,12.0,25.0,48.0,148.0,1.0,2.0,46.7,2.0,13.0,5.92,3.12
1982,1982-12-27,24.063000000000002,7.0,18.0,38.89,88.0,0.0,1.0,31.7,1.0,7.0,4.89,2.39
1982,1983-01-02,24.069000000000003,14.0,22.0,63.64,239.0,3.0,0.0,140.0,0.0,0.0,10.86,13.59
1983,1983-09-04,24.314,8.0,22.0,36.36,40.0,0.0,0.0,44.9,3.0,20.0,1.82,1.82
1983,1983-09-11,24.320999999999998,11.0,20.0,55.0,218.0,2.0,0.0,126.7,3.0,23.0,10.9,12.9
1983,1983-09-19,24.329,10.0,18.0,55.56,144.0,0.0,1.0,58.6,3.0,27.0,8.0,5.5
