Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2017,2017-09-10,21.25,20.0,30.0,66.67,222.0,1.0,1.0,85.7,7.0,42.0,7.4,6.57
2017,2017-09-17,21.256999999999998,15.0,31.0,48.39,182.0,0.0,3.0,27.3,2.0,5.0,5.87,1.52
2017,2017-09-24,21.264,22.0,47.0,46.81,242.0,2.0,3.0,50.1,1.0,7.0,5.15,3.13
2017,2017-10-01,21.271,16.0,34.0,47.06,118.0,0.0,1.0,43.5,1.0,7.0,3.47,2.15
2017,2017-10-08,21.278000000000002,8.0,17.0,47.06,87.0,0.0,1.0,38.1,1.0,2.0,5.12,2.47
2017,2017-10-22,21.291999999999998,12.0,20.0,60.0,114.0,0.0,2.0,36.2,0.0,0.0,5.7,1.2
2017,2017-10-29,21.299,18.0,34.0,52.94,179.0,0.0,0.0,68.1,3.0,18.0,5.26,5.26
2017,2017-11-12,21.313000000000002,21.0,37.0,56.76,232.0,1.0,1.0,73.3,1.0,3.0,6.27,5.59
2017,2017-11-19,21.32,16.0,32.0,50.0,179.0,1.0,2.0,51.4,5.0,45.0,5.59,3.41
2017,2017-11-26,21.326999999999998,18.0,31.0,58.06,268.0,0.0,0.0,86.5,3.0,23.0,8.65,8.65
2017,2017-12-03,21.334,15.0,32.0,46.88,215.0,1.0,1.0,66.5,3.0,13.0,6.72,5.94
2017,2017-12-10,21.340999999999998,20.0,28.0,71.43,214.0,3.0,2.0,99.4,2.0,5.0,7.64,6.57
2017,2017-12-17,21.348000000000003,20.0,37.0,54.05,146.0,0.0,2.0,41.0,2.0,10.0,3.95,1.51
2017,2017-12-24,21.355,18.0,36.0,50.0,182.0,0.0,2.0,41.7,1.0,4.0,5.06,2.56
2017,2017-12-31,21.362,16.0,30.0,53.33,314.0,2.0,1.0,98.5,6.0,42.0,10.47,10.3
2018,2018-09-09,22.249000000000002,4.0,7.0,57.14,55.0,0.0,1.0,42.9,2.0,21.0,7.86,1.43
2018,2018-12-09,22.34,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-12-30,22.361,16.0,35.0,45.71,132.0,0.0,1.0,44.0,2.0,17.0,3.77,2.49
