Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-10-22,23.129,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-03,23.171,12.0,21.0,57.14,171.0,2.0,1.0,95.5,1.0,5.0,8.14,7.9
2006,2006-12-07,23.175,21.0,37.0,56.76,276.0,1.0,1.0,78.2,0.0,0.0,7.46,6.78
2006,2006-12-17,23.185,23.0,32.0,71.88,223.0,2.0,2.0,85.8,5.0,41.0,6.97,5.41
2006,2006-12-24,23.191999999999997,10.0,27.0,37.04,123.0,0.0,4.0,12.3,2.0,20.0,4.56,-2.11
2007,2007-09-09,24.086,13.0,28.0,46.43,184.0,1.0,1.0,65.2,1.0,12.0,6.57,5.68
2007,2007-09-16,24.093000000000004,20.0,33.0,60.61,328.0,5.0,1.0,121.0,0.0,0.0,9.94,11.61
2007,2007-09-23,24.1,18.0,37.0,48.65,248.0,1.0,2.0,57.0,1.0,24.0,6.7,4.81
2007,2007-09-30,24.107,10.0,18.0,55.56,204.0,2.0,1.0,109.5,0.0,0.0,11.33,11.06
2007,2007-10-07,24.114,22.0,43.0,51.16,287.0,2.0,3.0,59.0,3.0,26.0,6.67,4.47
2007,2007-10-14,24.121,18.0,25.0,72.0,245.0,3.0,0.0,142.5,1.0,1.0,9.8,12.2
2007,2007-10-28,24.135,18.0,25.0,72.0,248.0,3.0,0.0,143.0,2.0,12.0,9.92,12.32
2007,2007-11-04,24.142,29.0,48.0,60.42,364.0,0.0,1.0,75.3,0.0,0.0,7.58,6.65
2007,2007-11-11,24.149,16.0,35.0,45.71,123.0,3.0,0.0,83.4,0.0,0.0,3.51,5.23
2007,2007-11-18,24.156,24.0,38.0,63.16,274.0,0.0,1.0,73.8,1.0,5.0,7.21,6.03
2007,2007-11-25,24.163,24.0,35.0,68.57,253.0,2.0,1.0,96.5,1.0,4.0,7.23,7.09
2007,2007-12-02,24.17,21.0,41.0,51.22,304.0,2.0,2.0,71.6,1.0,9.0,7.41,6.2
2007,2007-12-09,24.177,16.0,29.0,55.17,185.0,2.0,1.0,83.3,0.0,0.0,6.38,6.21
2007,2007-12-16,24.184,9.0,24.0,37.5,137.0,0.0,0.0,57.1,1.0,7.0,5.71,5.71
2007,2007-12-23,24.191,29.0,48.0,60.42,251.0,2.0,4.0,53.4,1.0,7.0,5.23,2.31
2007,2007-12-30,24.198,11.0,20.0,55.0,152.0,1.0,1.0,75.4,1.0,2.0,7.6,6.35
2008,2008-09-07,25.084,11.0,24.0,45.83,114.0,1.0,0.0,74.0,1.0,0.0,4.75,5.58
2008,2008-09-14,25.090999999999998,18.0,32.0,56.25,166.0,0.0,2.0,44.5,2.0,11.0,5.19,2.38
2008,2008-09-21,25.098000000000003,14.0,37.0,37.84,125.0,1.0,3.0,22.9,4.0,26.0,3.38,0.27
2008,2008-09-28,25.105,15.0,24.0,62.5,138.0,1.0,1.0,74.7,1.0,11.0,5.75,4.71
2008,2008-10-13,25.12,18.0,29.0,62.07,310.0,2.0,0.0,121.3,0.0,0.0,10.69,12.07
2008,2008-10-19,25.125999999999998,14.0,37.0,37.84,136.0,1.0,0.0,57.9,1.0,2.0,3.68,4.22
2008,2008-10-26,25.133000000000003,14.0,27.0,51.85,246.0,1.0,0.0,95.6,1.0,10.0,9.11,9.85
2008,2008-11-02,25.14,17.0,33.0,51.52,219.0,2.0,1.0,80.2,1.0,9.0,6.64,6.48
2008,2008-11-23,25.160999999999998,5.0,14.0,35.71,51.0,0.0,1.0,17.3,0.0,0.0,3.64,0.43
2008,2008-11-30,25.168000000000003,16.0,26.0,61.54,110.0,0.0,0.0,71.0,3.0,18.0,4.23,4.23
2009,2009-09-27,26.104,11.0,19.0,57.89,92.0,0.0,3.0,30.9,1.0,6.0,4.84,-2.26
2009,2009-10-04,26.111,26.0,48.0,54.17,269.0,1.0,1.0,68.8,2.0,20.0,5.6,5.08
2009,2009-10-11,26.118000000000002,2.0,17.0,11.76,23.0,0.0,1.0,15.1,1.0,1.0,1.35,-1.29
2009,2009-10-18,26.125,9.0,24.0,37.5,122.0,1.0,1.0,51.0,2.0,16.0,5.08,4.04
2009,2009-10-25,26.131999999999998,12.0,29.0,41.38,99.0,0.0,1.0,36.4,2.0,18.0,3.41,1.86
