Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2014,2014-09-07,23.163,20.0,32.0,62.5,151.0,2.0,0.0,94.7,2.0,18.0,4.72,5.97
2014,2014-09-14,23.17,27.0,42.0,64.29,263.0,1.0,2.0,69.8,0.0,0.0,6.26,4.6
2014,2014-09-21,23.177,21.0,34.0,61.76,174.0,0.0,1.0,62.6,0.0,0.0,5.12,3.79
2014,2014-09-28,23.184,16.0,25.0,64.0,146.0,1.0,1.0,76.4,1.0,3.0,5.84,4.84
2014,2014-10-12,23.198,18.0,34.0,52.94,282.0,4.0,1.0,107.7,0.0,0.0,8.29,9.32
2014,2014-10-19,23.205,16.0,28.0,57.14,173.0,0.0,0.0,75.4,1.0,9.0,6.18,6.18
2014,2014-10-26,23.212,34.0,54.0,62.96,328.0,1.0,0.0,86.0,4.0,17.0,6.07,6.44
2014,2014-11-02,23.219,24.0,41.0,58.54,194.0,2.0,2.0,66.5,1.0,5.0,4.73,3.51
2014,2014-11-09,23.226,30.0,47.0,63.83,192.0,2.0,2.0,68.8,0.0,0.0,4.09,3.02
2014,2014-11-16,23.233,16.0,34.0,47.06,172.0,0.0,0.0,62.4,2.0,10.0,5.06,5.06
2014,2014-11-20,23.237,18.0,35.0,51.43,174.0,1.0,0.0,75.2,1.0,2.0,4.97,5.54
2014,2014-11-30,23.247,24.0,39.0,61.54,173.0,0.0,2.0,50.5,3.0,23.0,4.44,2.13
2014,2014-12-07,23.254,22.0,28.0,78.57,254.0,3.0,0.0,140.2,1.0,9.0,9.07,11.21
2014,2014-12-14,23.261,27.0,56.0,48.21,222.0,1.0,0.0,64.7,4.0,20.0,3.96,4.32
2014,2014-12-21,23.268,17.0,34.0,50.0,214.0,2.0,0.0,89.6,1.0,7.0,6.29,7.47
2014,2014-12-28,23.275,18.0,36.0,50.0,158.0,1.0,1.0,59.7,3.0,26.0,4.39,3.69
2015,2015-09-13,24.169,7.0,12.0,58.33,61.0,0.0,0.0,71.9,0.0,0.0,5.08,5.08
2015,2015-09-20,24.176,30.0,46.0,65.22,351.0,3.0,1.0,100.9,1.0,0.0,7.63,7.96
2015,2015-09-27,24.183000000000003,20.0,32.0,62.5,314.0,2.0,0.0,115.9,0.0,0.0,9.81,11.06
2015,2015-10-04,24.19,20.0,33.0,60.61,196.0,2.0,1.0,84.9,2.0,23.0,5.94,5.79
2015,2015-10-11,24.197,26.0,39.0,66.67,249.0,1.0,1.0,82.1,4.0,26.0,6.38,5.74
2015,2015-10-25,24.211,24.0,31.0,77.42,289.0,3.0,0.0,137.7,1.0,7.0,9.32,11.26
2015,2015-11-01,24.218000000000004,23.0,36.0,63.89,333.0,4.0,0.0,130.9,0.0,0.0,9.25,11.47
2015,2015-11-08,24.225,24.0,44.0,54.55,301.0,4.0,1.0,96.9,0.0,0.0,6.84,7.64
2015,2015-11-15,24.232,29.0,43.0,67.44,302.0,2.0,2.0,83.7,2.0,15.0,7.02,5.86
2015,2015-11-22,24.239,13.0,25.0,52.0,169.0,0.0,0.0,73.6,1.0,5.0,6.76,6.76
2015,2015-11-29,24.246,24.0,37.0,64.86,330.0,3.0,0.0,120.3,1.0,7.0,8.92,10.54
2015,2015-12-06,24.253,31.0,48.0,64.58,283.0,2.0,3.0,68.3,4.0,21.0,5.9,3.92
2015,2015-12-13,24.26,12.0,29.0,41.38,135.0,2.0,0.0,79.0,3.0,36.0,4.66,6.03
2015,2015-12-20,24.267,23.0,47.0,48.94,276.0,2.0,2.0,63.8,3.0,24.0,5.87,4.81
2015,2015-12-24,24.271,23.0,38.0,60.53,204.0,1.0,1.0,72.7,3.0,29.0,5.37,4.71
2015,2016-01-03,24.281,21.0,33.0,63.64,194.0,1.0,1.0,77.1,6.0,37.0,5.88,5.12
2016,2016-09-11,25.166999999999998,24.0,38.0,63.16,319.0,1.0,0.0,98.5,0.0,0.0,8.39,8.92
2016,2016-09-18,25.174,34.0,45.0,75.56,299.0,3.0,0.0,115.0,1.0,0.0,6.64,7.98
2016,2016-09-25,25.180999999999997,21.0,35.0,60.0,249.0,1.0,1.0,79.3,1.0,4.0,7.11,6.4
2016,2016-10-02,25.188000000000002,25.0,35.0,71.43,199.0,4.0,0.0,123.4,0.0,0.0,5.69,7.97
2016,2016-10-09,25.195,25.0,40.0,62.5,317.0,2.0,1.0,93.4,3.0,17.0,7.93,7.8
2016,2016-10-16,25.201999999999998,22.0,34.0,64.71,225.0,1.0,1.0,81.1,2.0,4.0,6.62,5.88
2016,2016-10-23,25.209,23.0,37.0,62.16,200.0,1.0,0.0,85.4,0.0,0.0,5.41,5.95
2016,2016-10-30,25.215999999999998,40.0,59.0,67.8,513.0,4.0,0.0,117.4,2.0,15.0,8.69,10.05
2016,2016-11-06,25.223000000000003,20.0,31.0,64.52,184.0,0.0,0.0,80.6,2.0,5.0,5.94,5.94
2016,2016-11-21,25.238000000000003,21.0,31.0,67.74,295.0,3.0,1.0,117.0,0.0,0.0,9.52,10.0
2016,2016-11-27,25.244,26.0,38.0,68.42,315.0,2.0,1.0,100.2,1.0,5.0,8.29,8.16
2016,2016-12-04,25.250999999999998,19.0,35.0,54.29,260.0,2.0,0.0,97.3,0.0,0.0,7.43,8.57
2016,2016-12-08,25.255,17.0,41.0,41.46,117.0,0.0,0.0,49.1,1.0,8.0,2.85,2.85
2016,2016-12-18,25.265,19.0,30.0,63.33,213.0,1.0,1.0,81.7,2.0,13.0,7.1,6.27
