Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2017,2017-09-10,21.361,12.0,23.0,52.17,102.0,1.0,1.0,60.4,4.0,21.0,4.43,3.35
2017,2017-09-14,22.0,15.0,24.0,62.5,125.0,0.0,0.0,75.9,3.0,27.0,5.21,5.21
2017,2017-09-24,22.01,22.0,33.0,66.67,301.0,2.0,2.0,90.6,2.0,9.0,9.12,7.61
2017,2017-10-01,22.017,25.0,34.0,73.53,283.0,4.0,1.0,125.0,1.0,3.0,8.32,9.35
2017,2017-10-08,22.024,16.0,31.0,51.61,261.0,5.0,0.0,119.8,3.0,13.0,8.42,11.65
2017,2017-10-15,22.031,17.0,29.0,58.62,225.0,3.0,1.0,103.4,1.0,8.0,7.76,8.28
2017,2017-10-29,22.045,19.0,30.0,63.33,402.0,4.0,3.0,106.9,5.0,35.0,13.4,11.57
2018,2018-09-09,22.36,17.0,34.0,50.0,176.0,1.0,1.0,62.9,3.0,18.0,5.18,4.44
2018,2018-09-16,23.002,22.0,32.0,68.75,310.0,2.0,1.0,107.6,4.0,21.0,9.69,9.53
2018,2018-09-23,23.009,24.0,40.0,60.0,385.0,2.0,1.0,98.4,3.0,17.0,9.63,9.5
2018,2018-09-30,23.016,29.0,42.0,69.05,375.0,2.0,1.0,102.8,7.0,28.0,8.93,8.81
2018,2018-10-07,23.023000000000003,33.0,44.0,75.0,375.0,1.0,1.0,98.2,1.0,1.0,8.52,7.95
2018,2018-10-14,23.03,15.0,25.0,60.0,177.0,1.0,2.0,61.6,7.0,35.0,7.08,4.28
2018,2018-10-21,23.037,12.0,24.0,50.0,139.0,1.0,0.0,81.8,1.0,8.0,5.79,6.63
2018,2018-10-25,23.041,16.0,20.0,80.0,239.0,5.0,0.0,156.0,0.0,0.0,11.95,16.95
2018,2018-11-04,23.051,17.0,24.0,70.83,213.0,2.0,0.0,125.9,4.0,21.0,8.88,10.54
2018,2018-11-18,23.065,16.0,24.0,66.67,208.0,1.0,2.0,72.9,3.0,27.0,8.67,5.75
2018,2018-11-26,23.073,19.0,24.0,79.17,210.0,2.0,0.0,130.9,4.0,29.0,8.75,10.42
2018,2018-12-02,23.079,22.0,31.0,70.97,224.0,1.0,0.0,102.1,4.0,27.0,7.23,7.87
2018,2018-12-09,23.086,27.0,38.0,71.05,267.0,1.0,0.0,99.3,5.0,41.0,7.03,7.55
2018,2018-12-15,23.092,22.0,28.0,78.57,294.0,2.0,0.0,134.2,6.0,55.0,10.5,11.93
2018,2018-12-23,23.1,29.0,40.0,72.5,339.0,2.0,0.0,114.5,4.0,30.0,8.48,9.48
2018,2018-12-30,23.107,25.0,35.0,71.43,234.0,0.0,0.0,89.5,6.0,26.0,6.69,6.69
2019,2019-09-09,23.36,20.0,30.0,66.67,268.0,3.0,1.0,114.3,6.0,34.0,8.93,9.43
2019,2019-09-15,24.000999999999998,16.0,29.0,55.17,159.0,0.0,0.0,70.9,4.0,22.0,5.48,5.48
2019,2019-09-22,24.008000000000003,25.0,34.0,73.53,351.0,3.0,0.0,135.8,2.0,14.0,10.32,12.09
2019,2019-09-29,24.015,21.0,33.0,63.64,160.0,0.0,0.0,75.3,6.0,32.0,4.85,4.85
2019,2019-10-06,24.022,28.0,33.0,84.85,426.0,5.0,0.0,158.3,0.0,0.0,12.91,15.94
2019,2019-10-13,24.029,30.0,42.0,71.43,280.0,1.0,2.0,77.5,0.0,0.0,6.67,5.0
2019,2019-10-20,24.035999999999998,23.0,34.0,67.65,308.0,1.0,2.0,81.5,3.0,17.0,9.06,7.0
2019,2019-10-27,24.043000000000003,27.0,39.0,69.23,279.0,3.0,0.0,115.2,3.0,21.0,7.15,8.69
2019,2019-11-03,24.05,22.0,28.0,78.57,201.0,2.0,0.0,120.4,1.0,7.0,7.18,8.61
2019,2019-11-17,24.064,18.0,29.0,62.07,169.0,0.0,1.0,63.7,6.0,49.0,5.83,4.28
2019,2019-11-21,24.068,19.0,30.0,63.33,298.0,2.0,1.0,104.6,1.0,1.0,9.93,9.77
2019,2019-12-01,24.078000000000003,18.0,25.0,72.0,234.0,3.0,0.0,140.7,3.0,16.0,9.36,11.76
2019,2019-12-08,24.085,28.0,50.0,56.0,292.0,1.0,2.0,63.1,3.0,12.0,5.84,4.44
2019,2019-12-15,24.092,19.0,27.0,70.37,243.0,2.0,2.0,92.1,1.0,9.0,9.0,7.15
2019,2019-12-21,24.098000000000003,19.0,32.0,59.38,184.0,0.0,1.0,62.5,5.0,23.0,5.75,4.34
2020,2020-09-10,24.362,20.0,32.0,62.5,253.0,1.0,1.0,84.5,4.0,11.0,7.91,7.13
2020,2020-09-20,25.006,25.0,36.0,69.44,275.0,1.0,1.0,89.5,4.0,22.0,7.64,6.94
2020,2020-09-27,25.013,19.0,27.0,70.37,264.0,2.0,1.0,110.7,5.0,33.0,9.78,9.59
2020,2020-10-04,25.02,20.0,33.0,60.61,300.0,2.0,0.0,110.7,3.0,10.0,9.09,10.3
2020,2020-10-11,25.026999999999997,25.0,35.0,71.43,359.0,3.0,2.0,109.1,1.0,2.0,10.26,9.4
2020,2020-10-18,25.034000000000002,28.0,37.0,75.68,335.0,4.0,0.0,138.9,2.0,15.0,9.05,11.22
2020,2020-10-25,25.041,29.0,39.0,74.36,309.0,2.0,0.0,114.2,3.0,23.0,7.92,8.95
2020,2020-11-08,25.055,19.0,32.0,59.38,281.0,2.0,0.0,109.0,2.0,14.0,8.78,10.03
2020,2020-11-15,25.061999999999998,20.0,30.0,66.67,163.0,1.0,0.0,91.4,2.0,10.0,5.43,6.1
2020,2020-11-22,25.069000000000003,28.0,37.0,75.68,344.0,2.0,0.0,121.9,0.0,0.0,9.3,10.38
2020,2020-11-26,25.073,17.0,25.0,68.0,318.0,4.0,0.0,150.4,2.0,11.0,12.72,15.92
2020,2020-12-06,25.083000000000002,26.0,38.0,68.42,341.0,0.0,1.0,85.5,5.0,33.0,8.97,7.79
2020,2020-12-13,25.09,21.0,30.0,70.0,219.0,1.0,0.0,101.9,6.0,52.0,7.3,7.97
2020,2020-12-20,25.096999999999998,33.0,41.0,80.49,373.0,2.0,0.0,120.8,5.0,31.0,9.1,10.07
2020,2020-12-27,25.104,24.0,33.0,72.73,324.0,3.0,0.0,133.9,1.0,2.0,9.82,11.64
