Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985.0,1985-09-08,34.208,16.0,29.0,55.17,174.0,1.0,2.0,55.8,4.0,36.0,6.0,3.59
1985.0,1985-09-15,34.215,11.0,26.0,42.31,171.0,0.0,1.0,48.7,2.0,10.0,6.58,4.85
1985.0,1985-09-23,34.223,12.0,24.0,50.0,203.0,1.0,3.0,53.3,2.0,16.0,8.46,3.67
1985.0,1985-09-29,34.229,16.0,20.0,80.0,215.0,2.0,0.0,144.8,4.0,38.0,10.75,12.75
1985.0,1985-10-06,34.236,14.0,20.0,70.0,144.0,0.0,0.0,90.4,2.0,14.0,7.2,7.2
1985.0,1985-10-13,34.243,16.0,23.0,69.57,195.0,1.0,1.0,91.8,7.0,47.0,8.48,7.39
1985.0,1985-10-20,34.25,9.0,20.0,45.0,68.0,0.0,0.0,53.7,3.0,14.0,3.4,3.4
1985.0,1985-10-27,34.257,35.0,51.0,68.63,344.0,2.0,3.0,75.9,4.0,25.0,6.75,4.88
1985.0,1985-11-03,34.264,15.0,30.0,50.0,256.0,2.0,0.0,101.5,3.0,20.0,8.53,9.87
1985.0,1985-11-17,34.278,11.0,23.0,47.83,157.0,1.0,2.0,48.6,4.0,25.0,6.83,3.78
1985.0,1985-11-24,34.285,15.0,19.0,78.95,150.0,1.0,0.0,117.1,1.0,8.0,7.89,8.95
1985.0,1985-12-01,34.292,5.0,10.0,50.0,46.0,0.0,1.0,23.3,6.0,38.0,4.6,0.1
1985.0,1985-12-09,34.3,16.0,22.0,72.73,160.0,1.0,0.0,108.1,2.0,10.0,7.27,8.18
1985.0,1985-12-15,34.306,13.0,20.0,65.0,216.0,4.0,0.0,140.8,1.0,1.0,10.8,14.8
1985.0,1985-12-23,34.314,14.0,28.0,50.0,159.0,0.0,0.0,67.4,6.0,49.0,5.68,5.68
