Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1991,1991-10-21,23.333000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-10-27,23.339000000000002,3.0,9.0,33.33,40.0,0.0,0.0,48.4,0.0,0.0,4.44,4.44
1991,1991-11-17,23.36,7.0,10.0,70.0,67.0,0.0,1.0,48.7,2.0,18.0,6.7,2.2
1991,1991-11-24,24.002,17.0,31.0,54.84,141.0,1.0,3.0,37.9,4.0,27.0,4.55,0.84
1991,1991-12-01,24.009,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-12-09,24.017,3.0,3.0,100.0,30.0,0.0,0.0,108.3,1.0,12.0,10.0,10.0
1991,1991-12-15,24.023000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-12-22,24.03,2.0,2.0,100.0,32.0,0.0,0.0,118.7,0.0,0.0,16.0,16.0
1992,1992-09-06,24.289,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-20,24.303,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
1992,1992-09-27,24.31,1.0,4.0,25.0,4.0,0.0,0.0,39.6,3.0,20.0,1.0,1.0
1992,1992-10-11,24.324,8.0,12.0,66.67,68.0,1.0,0.0,109.0,1.0,8.0,5.67,7.33
1992,1992-10-19,24.331999999999997,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,8.0,0.0,0.0
1992,1992-11-01,24.345,1.0,2.0,50.0,3.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
1992,1992-11-08,24.351999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-06,25.014,5.0,8.0,62.5,64.0,1.0,0.0,127.1,0.0,0.0,8.0,10.5
1992,1992-12-20,25.028000000000002,7.0,12.0,58.33,84.0,0.0,0.0,79.9,1.0,3.0,7.0,7.0
1992,1992-12-27,25.035,12.0,17.0,70.59,103.0,0.0,0.0,86.2,2.0,6.0,6.06,6.06
1994,1994-10-16,26.328000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1994,1994-10-23,26.335,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,20.0,0.0,0.0
1998,1998-09-06,30.288,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-09-20,30.302,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
1998,1998-10-04,30.316,12.0,22.0,54.55,104.0,0.0,0.0,67.2,3.0,10.0,4.73,4.73
1998,1998-10-11,30.323,12.0,35.0,34.29,101.0,0.0,1.0,31.3,4.0,20.0,2.89,1.6
1998,1998-10-25,30.337,9.0,21.0,42.86,173.0,2.0,0.0,103.9,2.0,13.0,8.24,10.14
1998,1998-11-01,30.344,12.0,22.0,54.55,237.0,2.0,1.0,103.8,3.0,16.0,10.77,10.55
1998,1998-11-08,30.351,17.0,26.0,65.38,249.0,1.0,2.0,77.2,5.0,39.0,9.58,6.88
1998,1998-11-15,30.358,20.0,31.0,64.52,266.0,0.0,2.0,64.7,3.0,17.0,8.58,5.68
1998,1998-11-22,31.0,20.0,35.0,57.14,270.0,2.0,3.0,65.2,4.0,25.0,7.71,5.0
1998,1998-11-29,31.006999999999998,16.0,29.0,55.17,134.0,2.0,1.0,75.9,2.0,10.0,4.62,4.45
1998,1998-12-06,31.014,12.0,31.0,38.71,152.0,1.0,6.0,25.9,8.0,47.0,4.9,-3.16
1998,1998-12-26,31.034000000000002,4.0,6.0,66.67,60.0,0.0,0.0,99.3,2.0,10.0,10.0,10.0
