Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-19,22.298000000000002,4.0,11.0,36.36,26.0,0.0,0.0,44.9,6.0,42.0,2.36,2.36
1999,1999-09-26,22.305,6.0,11.0,54.55,34.0,0.0,0.0,60.4,0.0,0.0,3.09,3.09
1999,1999-10-03,22.311999999999998,3.0,7.0,42.86,38.0,0.0,0.0,60.4,4.0,22.0,5.43,5.43
1999,1999-10-17,22.326,,,,,,,,0.0,,,
1999,1999-10-31,22.34,1.0,2.0,50.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0
1999,1999-11-07,22.346999999999998,8.0,20.0,40.0,68.0,0.0,1.0,28.7,2.0,9.0,3.4,1.15
1999,1999-11-14,22.354,8.0,21.0,38.1,60.0,0.0,0.0,46.3,3.0,22.0,2.86,2.86
1999,1999-11-21,22.361,19.0,36.0,52.78,165.0,1.0,2.0,51.3,4.0,47.0,4.58,2.64
1999,1999-11-28,23.003,16.0,28.0,57.14,172.0,2.0,0.0,99.1,2.0,16.0,6.14,7.57
1999,1999-12-05,23.01,19.0,31.0,61.29,157.0,2.0,1.0,82.3,1.0,9.0,5.06,4.9
1999,1999-12-12,23.017,7.0,17.0,41.18,49.0,0.0,1.0,24.4,3.0,14.0,2.88,0.24
1999,2000-01-02,23.038,15.0,32.0,46.88,179.0,3.0,2.0,69.7,3.0,23.0,5.59,4.66
2000,2000-09-03,23.283,16.0,28.0,57.14,130.0,1.0,2.0,51.2,1.0,11.0,4.64,2.14
2000,2000-09-10,23.29,19.0,33.0,57.58,214.0,1.0,0.0,87.2,3.0,33.0,6.48,7.09
2000,2000-09-17,23.296999999999997,15.0,31.0,48.39,118.0,0.0,1.0,44.8,5.0,32.0,3.81,2.35
2000,2000-09-24,23.304000000000002,20.0,32.0,62.5,222.0,2.0,0.0,103.9,3.0,21.0,6.94,8.19
2000,2000-10-01,23.311,30.0,44.0,68.18,311.0,2.0,1.0,94.0,1.0,4.0,7.07,6.95
2000,2000-10-08,23.318,17.0,34.0,50.0,186.0,2.0,2.0,61.6,2.0,8.0,5.47,4.0
2000,2000-10-15,23.325,24.0,34.0,70.59,226.0,1.0,0.0,98.4,3.0,7.0,6.65,7.24
2000,2000-10-22,23.331999999999997,22.0,35.0,62.86,207.0,1.0,1.0,76.7,1.0,6.0,5.91,5.2
2000,2000-10-29,23.339000000000002,10.0,31.0,32.26,129.0,1.0,1.0,43.6,4.0,9.0,4.16,3.35
2000,2000-11-05,23.346,23.0,41.0,56.1,228.0,1.0,2.0,59.8,0.0,0.0,5.56,3.85
2000,2000-11-12,23.353,26.0,55.0,47.27,213.0,2.0,0.0,69.7,3.0,11.0,3.87,4.6
2000,2000-11-19,23.36,25.0,34.0,73.53,217.0,1.0,1.0,87.5,3.0,13.0,6.38,5.65
2000,2000-11-26,24.000999999999998,19.0,30.0,63.33,137.0,1.0,1.0,71.1,4.0,19.0,4.57,3.73
2000,2000-12-03,24.008000000000003,18.0,31.0,58.06,239.0,0.0,0.0,82.6,5.0,33.0,7.71,7.71
2000,2000-12-10,24.015,23.0,36.0,63.89,390.0,4.0,0.0,137.5,5.0,40.0,10.83,13.06
2000,2000-12-24,24.029,23.0,40.0,57.5,198.0,1.0,1.0,68.5,2.0,15.0,4.95,4.33
2001,2001-09-09,24.288,32.0,48.0,66.67,312.0,2.0,1.0,89.9,5.0,35.0,6.5,6.4
2001,2001-09-23,24.302,24.0,37.0,64.86,283.0,2.0,0.0,106.0,5.0,41.0,7.65,8.73
2001,2001-09-30,24.309,14.0,28.0,50.0,162.0,3.0,0.0,103.6,2.0,17.0,5.79,7.93
2001,2001-10-07,24.316,19.0,29.0,65.52,280.0,2.0,1.0,105.5,2.0,19.0,9.66,9.48
