Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-11-09,24.017,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1986,1986-12-07,24.045,2.0,7.0,28.57,79.0,1.0,0.0,113.7,0.0,0.0,11.29,14.14
1986,1986-12-15,24.053,13.0,24.0,54.17,130.0,0.0,1.0,52.4,3.0,18.0,5.42,3.54
1986,1986-12-21,24.059,8.0,14.0,57.14,152.0,2.0,1.0,104.8,3.0,12.0,10.86,10.5
1987,1987-09-20,24.331999999999997,,,,,,,,,,,
1987,1987-10-18,24.36,15.0,25.0,60.0,199.0,1.0,0.0,98.6,1.0,3.0,7.96,8.76
1988,1988-10-02,25.345,12.0,16.0,75.0,132.0,1.0,1.0,93.7,1.0,10.0,8.25,6.69
1988,1988-10-09,25.351999999999997,17.0,33.0,51.52,163.0,0.0,3.0,27.7,1.0,4.0,4.94,0.85
1988,1988-10-16,25.359,10.0,14.0,71.43,165.0,0.0,0.0,110.7,2.0,12.0,11.79,11.79
1988,1988-10-23,26.0,5.0,16.0,31.25,58.0,1.0,0.0,64.1,2.0,11.0,3.63,4.88
1988,1988-10-30,26.006999999999998,6.0,18.0,33.33,165.0,4.0,0.0,107.6,0.0,0.0,9.17,13.61
1988,1988-11-06,26.014,7.0,14.0,50.0,74.0,1.0,1.0,59.8,0.0,0.0,5.29,3.5
1988,1988-11-13,26.021,6.0,20.0,30.0,78.0,1.0,2.0,20.4,0.0,0.0,3.9,0.4
1988,1988-11-20,26.028000000000002,9.0,13.0,69.23,78.0,0.0,0.0,84.8,2.0,12.0,6.0,6.0
1988,1988-11-27,26.035,15.0,24.0,62.5,190.0,0.0,1.0,69.8,2.0,10.0,7.92,6.04
1988,1988-12-04,26.041999999999998,5.0,10.0,50.0,47.0,0.0,1.0,23.7,1.0,6.0,4.7,0.2
1988,1988-12-17,26.055,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1989,1989-10-01,26.343000000000004,15.0,41.0,36.59,176.0,1.0,1.0,48.4,2.0,21.0,4.29,3.68
1989,1989-10-08,26.35,9.0,18.0,50.0,145.0,0.0,0.0,77.3,1.0,7.0,8.06,8.06
1989,1989-10-15,26.357,12.0,30.0,40.0,172.0,1.0,3.0,30.8,3.0,24.0,5.73,1.9
1989,1989-11-26,27.034000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1989,1989-12-03,27.041,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-09-06,35.318000000000005,12.0,20.0,60.0,158.0,2.0,1.0,97.5,2.0,15.0,7.9,7.65
1998,1998-09-20,35.332,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-10-11,35.353,23.0,28.0,82.14,213.0,2.0,0.0,122.2,0.0,0.0,7.61,9.04
1998,1998-10-18,35.36,18.0,39.0,46.15,228.0,1.0,0.0,73.5,1.0,1.0,5.85,6.36
1998,1998-10-25,36.001999999999995,18.0,22.0,81.82,282.0,2.0,1.0,130.1,0.0,0.0,12.82,12.59
1998,1998-11-01,36.009,15.0,26.0,57.69,206.0,3.0,1.0,105.6,1.0,9.0,7.92,8.5
1998,1998-11-08,36.016,12.0,30.0,40.0,154.0,0.0,2.0,29.0,2.0,20.0,5.13,2.13
1998,1998-11-15,36.023,14.0,26.0,53.85,178.0,1.0,2.0,56.3,0.0,0.0,6.85,4.15
1998,1998-11-22,36.03,20.0,28.0,71.43,230.0,2.0,0.0,119.6,1.0,8.0,8.21,9.64
1998,1998-11-29,36.037,21.0,39.0,53.85,339.0,2.0,0.0,100.3,1.0,10.0,8.69,9.72
1998,1998-12-06,36.044000000000004,18.0,30.0,60.0,319.0,2.0,3.0,79.0,2.0,10.0,10.63,7.47
1998,1998-12-13,36.051,17.0,26.0,65.38,184.0,2.0,0.0,111.7,1.0,2.0,7.08,8.62
1998,1998-12-19,36.056999999999995,14.0,38.0,36.84,220.0,1.0,1.0,54.7,1.0,3.0,5.79,5.13
1999,1999-09-12,36.324,22.0,42.0,52.38,300.0,1.0,2.0,63.6,5.0,26.0,7.14,5.48
1999,1999-09-19,36.330999999999996,15.0,25.0,60.0,160.0,0.0,0.0,78.7,0.0,0.0,6.4,6.4
1999,1999-09-26,36.338,18.0,26.0,69.23,175.0,1.0,1.0,84.6,0.0,0.0,6.73,5.77
1999,1999-10-04,36.346,12.0,25.0,48.0,186.0,1.0,0.0,86.4,1.0,9.0,7.44,8.24
1999,1999-10-10,36.352,21.0,32.0,65.63,261.0,3.0,0.0,122.0,2.0,7.0,8.16,10.03
1999,1999-10-17,36.359,19.0,41.0,46.34,210.0,1.0,3.0,39.7,1.0,9.0,5.12,2.32
1999,1999-10-24,37.001,24.0,50.0,48.0,294.0,2.0,2.0,63.2,3.0,40.0,5.88,4.88
1999,1999-10-31,37.008,18.0,40.0,45.0,155.0,1.0,3.0,32.8,3.0,17.0,3.88,1.0
1999,1999-11-07,37.015,16.0,22.0,72.73,211.0,2.0,0.0,133.0,1.0,2.0,9.59,11.41
1999,1999-11-14,37.022,10.0,20.0,50.0,157.0,1.0,0.0,93.1,0.0,0.0,7.85,8.85
1999,1999-11-21,37.029,22.0,40.0,55.0,220.0,1.0,2.0,58.3,2.0,15.0,5.5,3.75
1999,1999-11-28,37.036,9.0,16.0,56.25,207.0,2.0,0.0,140.6,0.0,0.0,12.94,15.44
1999,1999-12-12,37.05,15.0,32.0,46.88,184.0,1.0,1.0,62.5,3.0,23.0,5.75,4.97
1999,1999-12-19,37.056999999999995,21.0,32.0,65.63,239.0,2.0,2.0,82.7,2.0,22.0,7.47,5.91
1999,1999-12-26,37.064,22.0,35.0,62.86,212.0,0.0,0.0,79.7,3.0,6.0,6.06,6.06
2000,2000-10-08,37.351,3.0,6.0,50.0,44.0,0.0,1.0,34.7,1.0,4.0,7.33,-0.17
2000,2000-10-15,37.358000000000004,2.0,3.0,66.67,30.0,0.0,0.0,99.3,0.0,0.0,10.0,10.0
2000,2000-10-22,37.365,28.0,43.0,65.12,294.0,2.0,0.0,100.3,1.0,8.0,6.84,7.77
2000,2000-10-29,38.006,18.0,35.0,51.43,253.0,0.0,0.0,75.1,1.0,1.0,7.23,7.23
2000,2000-11-05,38.013000000000005,18.0,37.0,48.65,179.0,1.0,0.0,71.8,1.0,5.0,4.84,5.38
2000,2000-11-12,38.02,16.0,26.0,61.54,171.0,0.0,1.0,64.7,1.0,6.0,6.58,4.85
2000,2000-11-26,38.034,4.0,10.0,40.0,57.0,0.0,0.0,59.2,0.0,0.0,5.7,5.7
2000,2000-12-03,38.041,2.0,9.0,22.22,31.0,0.0,1.0,1.9,1.0,13.0,3.44,-1.56
2000,2000-12-11,38.049,6.0,12.0,50.0,82.0,1.0,0.0,100.0,1.0,5.0,6.83,8.5
2000,2000-12-17,38.055,15.0,25.0,60.0,193.0,1.0,0.0,97.6,3.0,26.0,7.72,8.52
2000,2000-12-23,38.061,20.0,25.0,80.0,366.0,3.0,0.0,158.3,0.0,0.0,14.64,17.04
2001,2001-09-09,38.321,10.0,18.0,55.56,129.0,0.0,2.0,38.7,1.0,7.0,7.17,2.17
2001,2001-09-23,38.335,23.0,38.0,60.53,348.0,2.0,0.0,108.2,1.0,3.0,9.16,10.21
2001,2001-09-30,38.342,12.0,19.0,63.16,133.0,1.0,0.0,101.4,2.0,21.0,7.0,8.05
2001,2001-10-07,38.349000000000004,17.0,37.0,45.95,149.0,0.0,0.0,57.2,1.0,6.0,4.03,4.03
2001,2001-10-14,38.356,20.0,32.0,62.5,270.0,1.0,0.0,99.7,1.0,12.0,8.44,9.06
2001,2001-10-21,38.363,21.0,32.0,65.63,280.0,2.0,1.0,101.0,3.0,8.0,8.75,8.59
2001,2001-10-28,39.005,21.0,33.0,63.64,254.0,1.0,0.0,97.3,1.0,11.0,7.7,8.3
2001,2001-11-04,39.012,6.0,16.0,37.5,61.0,0.0,1.0,23.2,1.0,11.0,3.81,1.0
2001,2001-11-11,39.019,12.0,31.0,38.71,165.0,1.0,4.0,27.7,1.0,18.0,5.32,0.16
2001,2001-11-18,39.025999999999996,12.0,27.0,44.44,98.0,0.0,1.0,38.8,0.0,0.0,3.63,1.96
2001,2001-11-25,39.033,33.0,44.0,75.0,308.0,2.0,0.0,108.9,0.0,0.0,7.0,7.91
2001,2001-12-02,39.04,19.0,33.0,57.58,195.0,0.0,2.0,49.4,1.0,10.0,5.91,3.18
2001,2001-12-09,39.047,20.0,44.0,45.45,307.0,2.0,2.0,65.2,2.0,10.0,6.98,5.84
2001,2001-12-15,39.053000000000004,19.0,37.0,51.35,215.0,0.0,3.0,35.3,4.0,9.0,5.81,2.16
2001,2001-12-23,39.061,15.0,27.0,55.56,175.0,2.0,0.0,100.1,2.0,11.0,6.48,7.96
2001,2001-12-30,39.068000000000005,34.0,53.0,64.15,377.0,1.0,2.0,75.7,4.0,31.0,7.11,5.79
2002,2002-12-15,40.053000000000004,3.0,11.0,27.27,64.0,0.0,0.0,51.3,0.0,0.0,5.82,5.82
2003,2003-11-02,41.01,8.0,11.0,72.73,70.0,0.0,0.0,89.2,0.0,0.0,6.36,6.36
2003,2003-11-09,41.016999999999996,21.0,29.0,72.41,248.0,2.0,0.0,121.0,2.0,1.0,8.55,9.93
2003,2003-11-16,41.023999999999994,9.0,25.0,36.0,70.0,1.0,1.0,41.2,2.0,14.0,2.8,1.8
2003,2003-11-23,41.031000000000006,15.0,33.0,45.45,210.0,2.0,0.0,86.7,2.0,3.0,6.36,7.58
2003,2003-11-30,41.038000000000004,16.0,34.0,47.06,213.0,2.0,2.0,62.5,1.0,2.0,6.26,4.79
2003,2003-12-07,41.045,17.0,25.0,68.0,244.0,2.0,1.0,109.4,0.0,0.0,9.76,9.56
2003,2003-12-21,41.059,5.0,10.0,50.0,42.0,0.0,0.0,61.2,1.0,7.0,4.2,4.2
2004,2004-09-19,41.332,7.0,16.0,43.75,77.0,0.0,0.0,58.6,0.0,0.0,4.81,4.81
2004,2005-01-02,42.071000000000005,13.0,22.0,59.09,199.0,1.0,0.0,104.2,1.0,7.0,9.05,9.95
2005,2005-09-08,42.32,,,,,,,,,,,
2005,2005-09-18,42.33,,,,,,,,,,,
2005,2005-09-25,42.336999999999996,,,,,,,,,,,
2005,2005-10-02,42.343999999999994,,,,,,,,,,,
2005,2005-10-09,42.351000000000006,,,,,,,,,,,
2005,2005-10-16,42.358000000000004,,,,,,,,,,,
2005,2005-10-30,43.007,,,,,,,,,,,
2005,2005-11-07,43.015,3.0,7.0,42.86,20.0,0.0,0.0,50.3,1.0,13.0,2.86,2.86
2005,2005-11-13,43.021,,,,,,,,,,,
2005,2005-11-20,43.028,,,,,,,,,,,
2005,2005-11-27,43.035,,,,,,,,,,,
2005,2005-12-04,43.042,,,,,,,,,,,
2005,2005-12-11,43.049,1.0,2.0,50.0,7.0,0.0,0.0,58.3,0.0,0.0,3.5,3.5
2005,2005-12-17,43.055,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-26,43.06399999999999,1.0,1.0,100.0,2.0,0.0,0.0,79.2,0.0,0.0,2.0,2.0
2005,2006-01-01,43.07,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
