Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-09-10,22.319000000000003,3.0,7.0,42.86,43.0,0.0,0.0,63.4,2.0,9.0,6.14,6.14
2000,2000-11-26,23.03,11.0,17.0,64.71,85.0,1.0,0.0,96.4,3.0,15.0,5.0,6.18
2000,2000-12-03,23.037,17.0,33.0,51.52,233.0,1.0,2.0,59.3,4.0,29.0,7.06,4.94
2000,2000-12-17,23.051,5.0,10.0,50.0,45.0,0.0,1.0,22.9,4.0,22.0,4.5,0.0
2001,2001-09-30,23.338,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2001,2001-11-11,24.015,3.0,4.0,75.0,23.0,1.0,0.0,128.1,1.0,4.0,5.75,10.75
2001,2001-12-02,24.035999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,9.0,0.0,0.0
2002,2002-09-22,24.33,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-10-06,24.344,13.0,25.0,52.0,150.0,0.0,3.0,30.8,1.0,0.0,6.0,0.6
2002,2002-10-13,24.351,19.0,25.0,76.0,257.0,1.0,0.0,121.6,2.0,11.0,10.28,11.08
2002,2002-10-20,24.358,4.0,5.0,80.0,36.0,0.0,0.0,96.7,0.0,0.0,7.2,7.2
2002,2002-10-27,25.0,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2002,2002-11-24,25.028000000000002,1.0,1.0,100.0,5.0,1.0,0.0,127.1,0.0,0.0,5.0,25.0
2003,2003-09-07,25.315,16.0,27.0,59.26,228.0,2.0,1.0,95.9,2.0,8.0,8.44,8.26
2003,2003-09-14,25.322,16.0,36.0,44.44,197.0,2.0,2.0,57.3,2.0,10.0,5.47,4.08
2003,2003-09-21,25.329,13.0,19.0,68.42,95.0,0.0,3.0,40.4,2.0,20.0,5.0,-2.11
2003,2003-09-28,25.336,14.0,23.0,60.87,152.0,0.0,1.0,62.2,6.0,29.0,6.61,4.65
2003,2003-10-05,25.343000000000004,28.0,40.0,70.0,352.0,2.0,2.0,92.9,2.0,16.0,8.8,7.55
2003,2003-10-13,25.351,10.0,23.0,43.48,134.0,0.0,1.0,44.5,2.0,14.0,5.83,3.87
2003,2003-11-02,26.006,5.0,10.0,50.0,86.0,0.0,0.0,79.6,1.0,5.0,8.6,8.6
2003,2003-11-23,26.026999999999997,19.0,32.0,59.38,276.0,2.0,1.0,95.3,2.0,19.0,8.63,8.47
2003,2003-11-30,26.034000000000002,12.0,27.0,44.44,116.0,0.0,1.0,41.6,0.0,0.0,4.3,2.63
2003,2003-12-14,26.048000000000002,3.0,6.0,50.0,19.0,0.0,0.0,56.9,0.0,0.0,3.17,3.17
2004,2004-12-25,27.059,4.0,7.0,57.14,26.0,0.0,0.0,65.2,1.0,6.0,3.71,3.71
2004,2005-01-02,27.066999999999997,2.0,5.0,40.0,42.0,0.0,0.0,70.4,0.0,0.0,8.4,8.4
