Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1993,1993-10-24,25.266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-31,25.273000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-11-07,25.28,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-11-14,25.287,3.0,6.0,50.0,34.0,0.0,0.0,67.4,0.0,0.0,5.67,5.67
1993,1993-11-21,25.294,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-11-25,25.298000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-12-05,25.308000000000003,1.0,2.0,50.0,7.0,0.0,0.0,58.3,1.0,4.0,3.5,3.5
1996,1996-12-08,28.311999999999998,,,,,,,,,,,
1997,1997-12-20,29.323,0.0,0.0,,0.0,0.0,0.0,,,,,
1998,1998-09-06,30.218000000000004,,,,,,,,,,,
1998,1998-09-13,30.225,,,,,,,,,,,
1998,1998-09-20,30.232,,,,,,,,,,,
1998,1998-09-27,30.239,,,,,,,,,,,
1998,1998-10-05,30.247,10.0,16.0,62.5,103.0,2.0,0.0,120.6,0.0,0.0,6.44,8.94
1998,1998-11-15,30.288,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-11-22,30.295,,,,,,,,,,,
1998,1998-11-29,30.302,,,,,,,,,,,
1998,1998-12-07,30.31,,,,,,,,,,,
1998,1998-12-13,30.316,,,,,,,,,,,
1998,1998-12-20,30.323,1.0,3.0,33.33,9.0,0.0,0.0,42.4,1.0,7.0,3.0,3.0
1998,1998-12-27,30.33,3.0,4.0,75.0,16.0,0.0,0.0,81.2,0.0,0.0,4.0,4.0
1999,1999-09-12,31.224,12.0,26.0,46.15,91.0,2.0,2.0,48.7,3.0,16.0,3.5,1.58
1999,1999-09-19,31.230999999999998,12.0,19.0,63.16,100.0,0.0,1.0,54.7,3.0,18.0,5.26,2.89
1999,1999-09-26,31.238000000000003,14.0,26.0,53.85,137.0,0.0,0.0,68.9,2.0,24.0,5.27,5.27
1999,1999-10-03,31.245,6.0,15.0,40.0,75.0,0.0,2.0,16.7,1.0,1.0,5.0,-1.0
1999,1999-10-10,31.252,11.0,29.0,37.93,145.0,1.0,1.0,51.7,2.0,6.0,5.0,4.14
1999,1999-10-17,31.259,22.0,38.0,57.89,228.0,2.0,0.0,92.9,1.0,11.0,6.0,7.05
1999,1999-10-24,31.266,13.0,25.0,52.0,108.0,0.0,1.0,46.7,4.0,19.0,4.32,2.52
1999,1999-10-31,31.273000000000003,18.0,28.0,64.29,256.0,1.0,2.0,75.9,3.0,8.0,9.14,6.64
1999,1999-11-07,31.28,3.0,9.0,33.33,28.0,0.0,0.0,42.8,1.0,6.0,3.11,3.11
1999,1999-11-14,31.287,,,,,,,,0.0,,,
1999,1999-11-21,31.294,,,,,,,,0.0,,,
1999,1999-11-28,31.301,,,,,,,,0.0,,,
1999,1999-12-05,31.308000000000003,,,,,,,,0.0,,,
1999,1999-12-12,31.315,8.0,12.0,66.67,108.0,1.0,0.0,122.9,0.0,0.0,9.0,10.67
1999,1999-12-19,31.322,,,,,,,,0.0,,,
1999,2000-01-02,31.336,,,,,,,,0.0,,,
2000,2000-09-24,32.236999999999995,,,,,,,,0.0,,,
2000,2000-10-01,32.244,1.0,1.0,100.0,4.0,0.0,0.0,83.3,0.0,0.0,4.0,4.0
2000,2000-10-22,32.265,9.0,20.0,45.0,61.0,0.0,3.0,12.7,1.0,8.0,3.05,-3.7
2000,2000-10-29,32.272,6.0,16.0,37.5,65.0,0.0,0.0,50.3,0.0,0.0,4.06,4.06
2000,2000-11-05,32.279,17.0,29.0,58.62,176.0,0.0,1.0,61.9,4.0,24.0,6.07,4.52
2000,2000-11-12,32.286,20.0,37.0,54.05,138.0,1.0,0.0,71.7,1.0,5.0,3.73,4.27
2000,2000-11-19,32.293,13.0,20.0,65.0,103.0,0.0,1.0,56.9,3.0,21.0,5.15,2.9
2000,2000-11-26,32.3,8.0,16.0,50.0,108.0,0.0,1.0,45.8,2.0,24.0,6.75,3.94
2000,2000-12-03,32.306999999999995,1.0,1.0,100.0,8.0,0.0,0.0,100.0,1.0,7.0,8.0,8.0
2000,2000-12-10,32.314,29.0,40.0,72.5,309.0,1.0,2.0,82.2,3.0,15.0,7.73,5.98
2000,2000-12-17,32.321,13.0,30.0,43.33,75.0,0.0,0.0,50.7,2.0,12.0,2.5,2.5
2001,2001-09-09,33.221,,,,,,,,,,,
2001,2001-09-24,33.236,,,,,,,,,,,
2001,2001-09-30,33.242,,,,,,,,,,,
2001,2001-10-07,33.249,,,,,,,,,,,
2001,2001-10-14,33.256,,,,,,,,,,,
2001,2001-10-21,33.263000000000005,,,,,,,,,,,
2001,2001-11-04,33.277,,,,,,,,,,,
2001,2001-11-11,33.284,,,,,,,,,,,
2001,2001-11-18,33.291,,,,,,,,,,,
2001,2001-11-22,33.295,,,,,,,,,,,
2001,2001-12-03,33.306,,,,,,,,,,,
2001,2001-12-09,33.312,,,,,,,,,,,
2001,2001-12-16,33.319,,,,,,,,,,,
2001,2001-12-23,33.326,0.0,0.0,,0.0,0.0,0.0,,,,,
2001,2001-12-30,33.333,,,,,,,,,,,
2001,2002-01-06,33.34,,,,,,,,,,,
2002,2002-09-08,34.22,,,,,,,,0.0,,,
2002,2002-09-15,34.227,,,,,,,,0.0,,,
2002,2002-09-22,34.234,,,,,,,,0.0,,,
2002,2002-09-29,34.241,,,,,,,,0.0,,,
2002,2002-10-07,34.249,,,,,,,,0.0,,,
2002,2002-10-13,34.255,,,,,,,,0.0,,,
2002,2002-10-20,34.262,9.0,15.0,60.0,78.0,0.0,0.0,73.7,0.0,0.0,5.2,5.2
2002,2002-11-04,34.277,1.0,2.0,50.0,1.0,0.0,0.0,56.2,1.0,8.0,0.5,0.5
2002,2002-11-10,34.283,3.0,3.0,100.0,12.0,0.0,0.0,83.3,0.0,0.0,4.0,4.0
2002,2002-11-17,34.29,,,,,,,,0.0,,,
2002,2002-11-24,34.297,,,,,,,,0.0,,,
2002,2002-12-01,34.304,,,,,,,,0.0,,,
