Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1993,1993-09-05,21.203000000000003,14.0,30.0,46.67,148.0,2.0,1.0,69.9,3.0,13.0,4.93,4.77
1993,1993-09-12,21.21,28.0,49.0,57.14,239.0,1.0,1.0,68.3,2.0,8.0,4.88,4.37
1993,1993-09-19,21.217,20.0,44.0,45.45,238.0,1.0,2.0,51.1,2.0,15.0,5.41,3.82
1993,1993-09-26,21.224,19.0,42.0,45.24,195.0,0.0,2.0,39.3,3.0,15.0,4.64,2.5
1993,1993-10-10,21.238000000000003,8.0,17.0,47.06,85.0,1.0,0.0,81.7,2.0,18.0,5.0,6.18
1993,1993-11-07,21.266,8.0,16.0,50.0,96.0,0.0,0.0,68.7,1.0,9.0,6.0,6.0
1993,1993-11-21,21.28,23.0,42.0,54.76,275.0,1.0,1.0,73.0,2.0,14.0,6.55,5.95
1993,1993-11-28,21.287,10.0,18.0,55.56,134.0,0.0,1.0,56.3,0.0,0.0,7.44,4.94
1993,1993-12-05,21.294,18.0,48.0,37.5,296.0,1.0,5.0,26.4,0.0,0.0,6.17,1.9
1993,1993-12-12,21.301,11.0,22.0,50.0,106.0,1.0,0.0,79.0,0.0,0.0,4.82,5.73
1993,1993-12-19,21.308000000000003,19.0,47.0,40.43,210.0,1.0,1.0,52.6,1.0,7.0,4.47,3.94
1993,1993-12-26,21.315,9.0,11.0,81.82,143.0,2.0,0.0,158.3,0.0,0.0,13.0,16.64
1993,1994-01-02,21.322,27.0,43.0,62.79,329.0,4.0,1.0,107.6,0.0,0.0,7.65,8.47
1994,1994-09-04,22.201999999999998,32.0,51.0,62.75,421.0,4.0,2.0,98.6,1.0,3.0,8.25,8.06
1994,1994-09-11,22.209,26.0,42.0,61.9,380.0,3.0,2.0,95.3,2.0,9.0,9.05,8.33
1994,1994-09-18,22.215999999999998,30.0,50.0,60.0,365.0,1.0,2.0,72.5,0.0,0.0,7.3,5.9
1994,1994-09-25,22.223000000000003,21.0,33.0,63.64,251.0,1.0,0.0,96.9,1.0,6.0,7.61,8.21
1994,1994-10-02,22.23,29.0,53.0,54.72,334.0,2.0,1.0,78.7,2.0,22.0,6.3,6.21
1994,1994-10-09,22.237,23.0,55.0,41.82,321.0,2.0,3.0,50.6,3.0,16.0,5.84,4.11
1994,1994-10-16,22.244,22.0,41.0,53.66,242.0,1.0,1.0,69.4,3.0,22.0,5.9,5.29
1994,1994-10-30,22.258000000000003,16.0,33.0,48.48,125.0,0.0,3.0,20.4,2.0,11.0,3.79,-0.3
1994,1994-11-06,22.265,20.0,43.0,46.51,166.0,0.0,4.0,18.2,2.0,7.0,3.86,-0.33
1994,1994-11-13,22.272,45.0,70.0,64.29,426.0,3.0,0.0,95.3,0.0,0.0,6.09,6.94
1994,1994-11-20,22.279,21.0,36.0,58.33,224.0,1.0,2.0,62.7,1.0,7.0,6.22,4.28
1994,1994-11-27,22.285999999999998,26.0,36.0,72.22,271.0,0.0,1.0,82.1,2.0,14.0,7.53,6.28
1994,1994-12-04,22.293000000000003,19.0,34.0,55.88,199.0,1.0,1.0,70.6,1.0,8.0,5.85,5.12
1994,1994-12-11,22.3,25.0,45.0,55.56,277.0,2.0,4.0,51.8,0.0,0.0,6.16,3.04
1994,1994-12-18,22.307,22.0,31.0,70.97,276.0,3.0,0.0,130.6,0.0,0.0,8.9,10.84
1994,1994-12-24,22.313000000000002,23.0,38.0,60.53,277.0,1.0,1.0,80.7,2.0,14.0,7.29,6.63
1995,1995-09-03,23.201,30.0,47.0,63.83,302.0,0.0,0.0,82.0,0.0,0.0,6.43,6.43
1995,1995-09-10,23.208000000000002,25.0,51.0,49.02,267.0,0.0,2.0,48.4,1.0,14.0,5.24,3.47
1995,1995-09-17,23.215,21.0,51.0,41.18,241.0,0.0,3.0,31.6,4.0,22.0,4.73,2.08
1995,1995-10-08,23.236,24.0,56.0,42.86,248.0,0.0,0.0,56.2,2.0,23.0,4.43,4.43
1995,1995-10-15,23.243000000000002,25.0,47.0,53.19,237.0,2.0,1.0,72.7,3.0,24.0,5.04,4.94
1995,1995-10-23,23.250999999999998,23.0,40.0,57.5,262.0,1.0,0.0,85.6,0.0,0.0,6.55,7.05
1995,1995-10-29,23.256999999999998,22.0,44.0,50.0,228.0,0.0,0.0,65.3,0.0,0.0,5.18,5.18
1995,1995-11-05,23.264,13.0,27.0,48.15,173.0,0.0,0.0,68.9,0.0,0.0,6.41,6.41
1995,1995-11-12,23.271,14.0,25.0,56.0,209.0,2.0,0.0,110.2,1.0,4.0,8.36,9.96
1995,1995-11-19,23.278000000000002,20.0,39.0,51.28,180.0,0.0,0.0,64.0,5.0,29.0,4.62,4.62
1995,1995-11-26,23.285,21.0,45.0,46.67,263.0,3.0,3.0,59.8,1.0,6.0,5.84,4.18
1995,1995-12-03,23.291999999999998,18.0,31.0,58.06,197.0,0.0,2.0,50.1,2.0,6.0,6.35,3.45
1995,1995-12-10,23.299,11.0,36.0,30.56,178.0,1.0,1.0,45.8,1.0,11.0,4.94,4.25
1995,1995-12-16,23.305,39.0,60.0,65.0,336.0,3.0,1.0,89.3,2.0,14.0,5.6,5.85
1995,1995-12-23,23.311999999999998,17.0,37.0,45.95,186.0,1.0,3.0,36.5,1.0,17.0,5.03,1.92
1996,1996-09-01,24.2,19.0,38.0,50.0,221.0,1.0,2.0,54.8,4.0,21.0,5.82,3.97
1996,1996-09-08,24.206999999999997,21.0,46.0,45.65,210.0,1.0,0.0,66.4,4.0,31.0,4.57,5.0
1996,1996-09-15,24.214000000000002,21.0,35.0,60.0,221.0,3.0,0.0,107.0,2.0,5.0,6.31,8.03
1996,1996-09-22,24.221,27.0,44.0,61.36,255.0,1.0,1.0,75.5,4.0,25.0,5.8,5.23
1996,1996-10-06,24.235,25.0,39.0,64.1,310.0,4.0,0.0,122.8,0.0,0.0,7.95,10.0
1996,1996-10-13,24.241999999999997,23.0,48.0,47.92,222.0,0.0,1.0,52.6,2.0,17.0,4.63,3.69
1996,1996-10-20,24.249000000000002,14.0,24.0,58.33,142.0,1.0,0.0,89.2,0.0,0.0,5.92,6.75
1996,1996-10-27,24.256,32.0,45.0,71.11,373.0,1.0,0.0,103.3,2.0,15.0,8.29,8.73
1996,1996-11-03,24.263,30.0,41.0,73.17,419.0,3.0,2.0,109.7,1.0,10.0,10.22,9.49
1996,1996-11-10,24.27,24.0,34.0,70.59,297.0,3.0,2.0,102.2,2.0,22.0,8.74,7.85
1996,1996-11-17,24.276999999999997,22.0,41.0,53.66,212.0,0.0,1.0,58.2,2.0,11.0,5.17,4.07
1996,1996-11-24,24.284000000000002,21.0,30.0,70.0,242.0,2.0,0.0,116.2,2.0,8.0,8.07,9.4
1996,1996-12-01,24.291,19.0,29.0,65.52,232.0,4.0,0.0,129.6,2.0,3.0,8.0,10.76
1996,1996-12-08,24.298000000000002,24.0,42.0,57.14,251.0,1.0,1.0,72.6,1.0,3.0,5.98,5.38
1996,1996-12-15,24.305,20.0,40.0,50.0,178.0,0.0,3.0,31.0,0.0,0.0,4.45,1.08
1996,1996-12-21,24.311,31.0,47.0,65.96,301.0,2.0,2.0,80.2,2.0,19.0,6.4,5.34
1997,1997-08-31,25.198,26.0,39.0,66.67,340.0,4.0,0.0,128.2,0.0,0.0,8.72,10.77
1997,1997-09-07,25.205,15.0,25.0,60.0,267.0,4.0,0.0,136.2,1.0,7.0,10.68,13.88
1997,1997-09-14,25.212,16.0,34.0,47.06,162.0,2.0,2.0,56.3,0.0,0.0,4.76,3.29
1997,1997-09-21,25.219,24.0,37.0,64.86,301.0,2.0,1.0,96.8,2.0,19.0,8.14,8.0
1997,1997-10-06,25.234,20.0,41.0,48.78,234.0,1.0,1.0,64.5,3.0,23.0,5.71,5.1
1997,1997-10-12,25.24,14.0,27.0,51.85,181.0,2.0,1.0,82.5,1.0,10.0,6.7,6.52
1997,1997-10-19,25.247,24.0,38.0,63.16,294.0,2.0,1.0,93.5,3.0,27.0,7.74,7.61
1997,1997-10-27,25.255,20.0,36.0,55.56,268.0,1.0,3.0,53.9,2.0,13.0,7.44,4.25
1997,1997-11-02,25.261,27.0,42.0,64.29,313.0,2.0,1.0,92.7,3.0,20.0,7.45,7.33
1997,1997-11-09,25.268,15.0,22.0,68.18,200.0,1.0,0.0,111.9,3.0,36.0,9.09,10.0
1997,1997-11-16,25.275,13.0,25.0,52.0,117.0,0.0,2.0,31.6,5.0,58.0,4.68,1.08
1997,1997-11-23,25.281999999999996,15.0,26.0,57.69,207.0,0.0,0.0,83.3,1.0,8.0,7.96,7.96
1997,1997-11-30,25.289,20.0,33.0,60.61,204.0,2.0,0.0,98.5,2.0,17.0,6.18,7.39
1997,1997-12-07,25.296,26.0,35.0,74.29,234.0,2.0,0.0,110.9,2.0,7.0,6.69,7.83
1997,1997-12-13,25.302,21.0,36.0,58.33,211.0,3.0,2.0,79.7,0.0,0.0,5.86,5.03
1997,1997-12-22,25.311,18.0,26.0,69.23,173.0,0.0,1.0,71.5,2.0,13.0,6.65,4.92
