Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2008,2008-11-09,24.186,6.0,8.0,75.0,94.0,1.0,0.0,153.1,5.0,33.0,11.75,14.25
2008,2008-11-23,24.2,2.0,6.0,33.33,13.0,0.0,0.0,42.4,0.0,0.0,2.17,2.17
2008,2008-12-21,24.228,1.0,3.0,33.33,12.0,0.0,0.0,46.5,1.0,2.0,4.0,4.0
2009,2009-10-18,25.164,5.0,11.0,45.45,57.0,0.0,2.0,22.0,3.0,21.0,5.18,-3.0
2009,2009-12-20,25.226999999999997,10.0,19.0,52.63,72.0,0.0,1.0,39.8,0.0,0.0,3.79,1.42
2009,2009-12-27,25.234,11.0,21.0,52.38,130.0,0.0,3.0,31.9,2.0,6.0,6.19,-0.24
2010,2010-10-10,26.156,1.0,1.0,100.0,11.0,0.0,0.0,112.5,0.0,0.0,11.0,11.0
2010,2010-10-17,26.163,19.0,34.0,55.88,222.0,1.0,1.0,73.4,2.0,11.0,6.53,5.79
2010,2010-11-07,26.184,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2010,2010-12-05,26.212,16.0,24.0,66.67,178.0,1.0,0.0,102.4,2.0,10.0,7.42,8.25
2010,2010-12-12,26.219,10.0,22.0,45.45,117.0,1.0,2.0,39.4,2.0,21.0,5.32,2.14
2010,2010-12-19,26.226,23.0,37.0,62.16,252.0,1.0,0.0,91.3,0.0,0.0,6.81,7.35
2014,2014-09-14,30.13,14.0,29.0,48.28,167.0,0.0,0.0,66.3,4.0,25.0,5.76,5.76
2014,2014-09-21,30.136999999999997,18.0,33.0,54.55,244.0,2.0,0.0,98.5,0.0,0.0,7.39,8.61
2014,2014-10-05,30.151,11.0,26.0,42.31,118.0,0.0,0.0,56.2,1.0,10.0,4.54,4.54
2014,2014-11-09,30.186,3.0,5.0,60.0,85.0,1.0,0.0,143.7,0.0,0.0,17.0,21.0
2014,2014-11-16,30.193,21.0,32.0,65.63,306.0,2.0,2.0,91.4,0.0,0.0,9.56,8.0
2014,2014-11-23,30.2,14.0,26.0,53.85,149.0,0.0,1.0,54.8,3.0,9.0,5.73,4.0
2014,2014-11-30,30.206999999999997,24.0,39.0,61.54,294.0,1.0,2.0,72.0,0.0,0.0,7.54,5.74
2014,2014-12-07,30.214000000000002,15.0,30.0,50.0,239.0,1.0,0.0,88.1,2.0,14.0,7.97,8.63
2014,2014-12-11,30.218000000000004,12.0,20.0,60.0,109.0,0.0,0.0,74.8,1.0,8.0,5.45,5.45
2015,2015-09-27,31.143,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-10-11,31.156999999999996,1.0,4.0,25.0,10.0,0.0,0.0,39.6,0.0,0.0,2.5,2.5
2015,2015-11-29,31.206,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-12-06,31.213,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
2015,2015-12-20,31.226999999999997,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2015,2015-12-27,31.234,1.0,1.0,100.0,4.0,0.0,0.0,83.3,0.0,0.0,4.0,4.0
2015,2016-01-03,31.241,8.0,18.0,44.44,84.0,0.0,2.0,19.0,2.0,8.0,4.67,-0.33
2016,2016-09-18,32.134,1.0,4.0,25.0,11.0,0.0,0.0,39.6,0.0,0.0,2.75,2.75
2016,2016-10-02,32.148,4.0,11.0,36.36,37.0,0.0,2.0,6.8,0.0,0.0,3.36,-4.82
2016,2016-10-06,32.152,11.0,28.0,39.29,124.0,2.0,0.0,77.1,1.0,8.0,4.43,5.86
2016,2016-10-17,32.163000000000004,1.0,1.0,100.0,12.0,0.0,0.0,116.7,0.0,0.0,12.0,12.0
2016,2017-01-01,32.239000000000004,2.0,4.0,50.0,8.0,0.0,1.0,16.7,0.0,0.0,2.0,-9.25
2017,2017-10-22,33.168,5.0,14.0,35.71,66.0,0.0,1.0,21.7,2.0,6.0,4.71,1.5
2017,2017-11-05,33.181999999999995,15.0,30.0,50.0,201.0,2.0,1.0,80.0,0.0,0.0,6.7,6.53
2017,2017-11-09,33.186,24.0,47.0,51.06,273.0,1.0,0.0,75.9,2.0,17.0,5.81,6.23
2017,2017-12-24,33.231,20.0,34.0,58.82,209.0,2.0,2.0,71.8,2.0,15.0,6.15,4.68
2017,2017-12-31,33.238,15.0,34.0,44.12,145.0,1.0,1.0,54.2,1.0,2.0,4.26,3.53
