Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-07,23.249000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-09-21,23.263,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-09-28,23.27,,,,,,,,,,,
1980,1980-10-19,23.291,1.0,1.0,100.0,13.0,0.0,0.0,118.7,,,13.0,13.0
1980,1980-12-07,23.34,1.0,2.0,50.0,13.0,0.0,1.0,31.2,,,6.5,-16.0
1981,1981-09-07,24.248,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-13,24.254,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-20,24.261,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-27,24.268,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-04,24.275,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-11,24.281999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-18,24.289,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-25,24.296,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-01,24.303,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-08,24.31,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-16,24.318,4.0,9.0,44.44,39.0,0.0,0.0,57.2,0.0,0.0,4.33,4.33
1981,1981-11-22,24.324,1.0,1.0,100.0,25.0,0.0,0.0,118.7,0.0,0.0,25.0,25.0
1981,1981-11-29,24.331,2.0,5.0,40.0,4.0,0.0,1.0,8.3,0.0,0.0,0.8,-8.2
1981,1981-12-06,24.338,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-13,24.345,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-21,24.353,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-12,25.253,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-19,25.26,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-22,25.324,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-28,25.33,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-05,25.337,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-11,25.343000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-20,25.351999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-26,25.358,2.0,4.0,50.0,55.0,0.0,1.0,56.2,0.0,0.0,13.75,2.5
1982,1983-01-02,26.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-04,26.245,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-12,26.253,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-18,26.259,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-25,26.266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-02,26.273000000000003,9.0,13.0,69.23,94.0,0.0,1.0,57.9,0.0,0.0,7.23,3.77
1983,1983-10-09,26.28,1.0,2.0,50.0,12.0,1.0,0.0,108.3,0.0,0.0,6.0,16.0
1983,1983-10-16,26.287,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-23,26.294,22.0,48.0,45.83,193.0,0.0,3.0,31.0,0.0,0.0,4.02,1.21
1983,1983-10-31,26.302,19.0,36.0,52.78,314.0,2.0,6.0,61.3,1.0,7.0,8.72,2.33
1983,1983-11-06,26.308000000000003,14.0,29.0,48.28,135.0,0.0,1.0,47.3,2.0,17.0,4.66,3.1
1983,1983-11-13,26.315,26.0,43.0,60.47,340.0,1.0,1.0,83.5,1.0,8.0,7.91,7.33
1983,1983-11-20,26.322,24.0,50.0,48.0,338.0,1.0,3.0,51.9,6.0,57.0,6.76,4.46
1983,1983-11-27,26.329,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-01,26.333000000000002,10.0,17.0,58.82,122.0,0.0,0.0,81.0,2.0,24.0,7.18,7.18
1983,1983-12-11,26.343000000000004,6.0,13.0,46.15,91.0,1.0,1.0,63.3,0.0,0.0,7.0,5.08
1983,1983-12-18,26.35,20.0,36.0,55.56,236.0,1.0,1.0,73.4,1.0,7.0,6.56,5.86
1984,1984-09-02,27.244,5.0,6.0,83.33,79.0,0.0,0.0,118.7,0.0,0.0,13.17,13.17
1984,1984-09-09,27.250999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-16,27.258000000000003,1.0,3.0,33.33,9.0,0.0,0.0,42.4,0.0,0.0,3.0,3.0
1984,1984-09-24,27.266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-30,27.272,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-10-07,27.279,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-10-14,27.285999999999998,2.0,2.0,100.0,6.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
1984,1984-10-21,27.293000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-04,27.307,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-11,27.314,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-18,27.320999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-25,27.328000000000003,21.0,32.0,65.63,296.0,2.0,3.0,77.1,0.0,0.0,9.25,6.28
1984,1984-12-03,27.336,12.0,29.0,41.38,269.0,1.0,0.0,86.7,4.0,33.0,9.28,9.97
1984,1984-12-09,27.342,18.0,35.0,51.43,171.0,1.0,0.0,74.8,3.0,24.0,4.89,5.46
1984,1984-12-16,27.349,24.0,44.0,54.55,333.0,1.0,0.0,86.6,0.0,0.0,7.57,8.02
