Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-09-05,24.023000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-09-18,24.035999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-02,24.05,4.0,8.0,50.0,52.0,0.0,0.0,70.8,2.0,18.0,6.5,6.5
1994,1994-10-09,24.057,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1994,1994-10-16,24.064,1.0,3.0,33.33,42.0,0.0,0.0,81.9,0.0,0.0,14.0,14.0
1994,1994-10-23,24.070999999999998,3.0,3.0,100.0,28.0,1.0,0.0,145.1,0.0,0.0,9.33,16.0
1994,1994-11-06,24.085,3.0,3.0,100.0,16.0,0.0,0.0,88.9,1.0,0.0,5.33,5.33
1994,1994-12-04,24.113000000000003,3.0,5.0,60.0,27.0,0.0,0.0,74.6,0.0,0.0,5.4,5.4
1994,1994-12-11,24.12,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-17,24.125999999999998,3.0,4.0,75.0,44.0,0.0,0.0,110.4,0.0,0.0,11.0,11.0
1994,1994-12-26,24.135,18.0,23.0,78.26,184.0,1.0,1.0,96.4,1.0,18.0,8.0,6.91
1995,1995-09-03,25.021,5.0,8.0,62.5,49.0,0.0,1.0,40.1,0.0,0.0,6.13,0.5
1995,1995-09-10,25.028000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-09-17,25.035,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-09-25,25.043000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-01,25.049,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-15,25.063000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1995,1995-10-22,25.07,11.0,14.0,78.57,119.0,2.0,0.0,141.7,0.0,0.0,8.5,11.36
1995,1995-10-29,25.076999999999998,29.0,42.0,69.05,243.0,0.0,2.0,63.9,1.0,12.0,5.79,3.64
1995,1995-11-05,25.084,26.0,37.0,70.27,327.0,0.0,2.0,74.9,1.0,12.0,8.84,6.41
1995,1995-11-12,25.090999999999998,20.0,30.0,66.67,305.0,2.0,0.0,122.2,2.0,5.0,10.17,11.5
1995,1995-11-20,25.099,31.0,41.0,75.61,382.0,4.0,0.0,136.4,1.0,6.0,9.32,11.27
