Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-07,22.357,,,,,,,,,,,
1980,1980-09-14,22.364,,,,,,,,,,,
1980,1980-09-21,23.005,,,,,,,,,,,
1980,1980-09-28,23.011999999999997,,,,,,,,,,,
1980,1980-10-05,23.019000000000002,,,,,,,,,,,
1980,1980-10-12,23.026,,,,,,,,,,,
1980,1980-10-19,23.033,,,,,,,,,,,
1980,1980-10-26,23.04,,,,,,,,,,,
1980,1980-11-02,23.046999999999997,,,,,,,,,,,
1980,1980-11-16,23.061,,,,,,,,,,,
1980,1980-11-23,23.068,,,,,,,,,,,
1980,1980-11-27,23.072,,,,,,,,,,,
1980,1980-12-07,23.081999999999997,,,,,,,,,,,
1980,1980-12-14,23.089000000000002,,,,,,,,,,,
1980,1980-12-21,23.096,,,,,,,,,,,
1981,1981-09-06,23.355,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-13,23.362,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-20,24.004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-27,24.011,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-04,24.018,4.0,15.0,26.67,102.0,0.0,2.0,15.8,0.0,0.0,6.8,0.8
1981,1981-10-11,24.025,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-19,24.033,14.0,25.0,56.0,336.0,4.0,0.0,140.4,1.0,10.0,13.44,16.64
1981,1981-10-25,24.039,20.0,36.0,55.56,271.0,1.0,1.0,77.4,4.0,33.0,7.53,6.83
1981,1981-11-01,24.046,7.0,25.0,28.0,193.0,1.0,2.0,39.2,3.0,25.0,7.72,4.92
1981,1981-11-08,24.053,14.0,22.0,63.64,282.0,1.0,3.0,82.8,1.0,5.0,12.82,7.59
1981,1981-11-15,24.06,13.0,23.0,56.52,264.0,2.0,1.0,107.9,5.0,52.0,11.48,11.26
1981,1981-11-22,24.066999999999997,10.0,29.0,34.48,145.0,0.0,1.0,37.3,2.0,18.0,5.0,3.45
1981,1981-11-26,24.070999999999998,10.0,22.0,45.45,132.0,2.0,0.0,95.3,3.0,18.0,6.0,7.82
1981,1981-12-06,24.081,17.0,33.0,51.52,240.0,0.0,2.0,50.1,4.0,23.0,7.27,4.55
1981,1981-12-12,24.087,13.0,21.0,61.9,188.0,2.0,1.0,102.9,1.0,7.0,8.95,8.71
1981,1981-12-20,24.095,18.0,28.0,64.29,205.0,1.0,2.0,68.3,3.0,17.0,7.32,4.82
1982,1982-09-12,24.361,9.0,23.0,39.13,105.0,1.0,1.0,50.1,3.0,23.0,4.57,3.48
1982,1982-09-19,25.003,4.0,13.0,30.77,97.0,0.0,1.0,26.8,1.0,12.0,7.46,4.0
1982,1982-11-21,25.066,15.0,32.0,46.88,119.0,1.0,2.0,41.0,7.0,62.0,3.72,1.53
1982,1982-11-25,25.07,3.0,12.0,25.0,39.0,0.0,0.0,40.6,0.0,0.0,3.25,3.25
1982,1982-12-06,25.081,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-12,25.087,1.0,2.0,50.0,-2.0,0.0,0.0,56.2,0.0,0.0,-1.0,-1.0
1982,1982-12-19,25.094,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-26,25.101,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1983-01-02,25.108,4.0,4.0,100.0,53.0,0.0,0.0,118.7,0.0,0.0,13.25,13.25
1983,1983-09-04,25.353,14.0,24.0,58.33,174.0,0.0,1.0,63.5,2.0,20.0,7.25,5.38
1983,1983-09-11,25.36,15.0,25.0,60.0,233.0,2.0,2.0,84.2,3.0,30.0,9.32,7.32
1983,1983-09-18,26.002,12.0,19.0,63.16,115.0,0.0,0.0,79.9,2.0,13.0,6.05,6.05
1983,1983-09-25,26.009,18.0,41.0,43.9,267.0,1.0,5.0,34.3,8.0,50.0,6.51,1.51
1983,1983-10-02,26.016,19.0,41.0,46.34,202.0,1.0,1.0,59.2,1.0,2.0,4.93,4.32
1983,1983-10-09,26.023000000000003,21.0,29.0,72.41,235.0,2.0,0.0,119.2,1.0,10.0,8.1,9.48
1983,1983-10-16,26.03,7.0,16.0,43.75,151.0,1.0,0.0,98.7,0.0,0.0,9.44,10.69
1983,1983-10-23,26.037,5.0,17.0,29.41,37.0,0.0,1.0,15.1,3.0,26.0,2.18,-0.47
1983,1983-10-30,26.044,12.0,19.0,63.16,216.0,1.0,0.0,119.6,1.0,12.0,11.37,12.42
1983,1983-11-07,26.052,15.0,24.0,62.5,152.0,0.0,2.0,45.8,2.0,11.0,6.33,2.58
1983,1983-11-13,26.058000000000003,17.0,29.0,58.62,213.0,0.0,3.0,42.0,2.0,19.0,7.34,2.69
1983,1983-11-20,26.065,14.0,35.0,40.0,138.0,1.0,2.0,37.6,2.0,9.0,3.94,1.94
1983,1983-11-24,26.069000000000003,10.0,18.0,55.56,153.0,2.0,0.0,120.8,4.0,27.0,8.5,10.72
1983,1983-12-05,26.08,9.0,17.0,52.94,120.0,1.0,0.0,95.2,3.0,19.0,7.06,8.24
1983,1983-12-11,26.086,7.0,18.0,38.89,91.0,0.0,1.0,32.4,1.0,10.0,5.06,2.56
1983,1983-12-18,26.093000000000004,9.0,15.0,60.0,80.0,0.0,0.0,74.3,2.0,16.0,5.33,5.33
1984,1984-09-02,26.351999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-09,26.359,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-16,27.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-23,27.006999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-30,27.014,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-10-07,27.021,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-10-14,27.028000000000002,5.0,11.0,45.45,59.0,0.0,0.0,62.3,0.0,0.0,5.36,5.36
1984,1984-12-16,27.090999999999998,11.0,27.0,40.74,187.0,1.0,1.0,61.8,7.0,62.0,6.93,6.0
1985,1985-09-08,27.357,9.0,23.0,39.13,188.0,3.0,2.0,72.1,4.0,32.0,8.17,6.87
1985,1985-09-15,27.364,10.0,24.0,41.67,141.0,1.0,1.0,57.8,2.0,13.0,5.88,4.83
1985,1985-09-22,28.006,12.0,26.0,46.15,131.0,0.0,1.0,45.5,5.0,32.0,5.04,3.31
1985,1985-09-29,28.013,19.0,31.0,61.29,250.0,2.0,0.0,108.3,4.0,29.0,8.06,9.35
1985,1985-10-06,28.02,17.0,29.0,58.62,218.0,0.0,1.0,67.9,3.0,27.0,7.52,5.97
1985,1985-10-13,28.026999999999997,13.0,29.0,44.83,213.0,0.0,2.0,41.3,6.0,15.0,7.34,4.24
1985,1985-10-20,28.034000000000002,4.0,8.0,50.0,80.0,0.0,0.0,85.4,1.0,5.0,10.0,10.0
1985,1985-10-27,28.041,14.0,19.0,73.68,239.0,3.0,0.0,155.2,4.0,36.0,12.58,15.74
1985,1985-11-03,28.048000000000002,7.0,10.0,70.0,80.0,0.0,0.0,93.7,2.0,17.0,8.0,8.0
1985,1985-11-10,28.055,8.0,17.0,47.06,73.0,0.0,2.0,19.6,4.0,35.0,4.29,-1.0
1985,1985-11-17,28.061999999999998,14.0,20.0,70.0,193.0,3.0,1.0,119.4,1.0,5.0,9.65,10.4
1985,1985-11-24,28.069000000000003,22.0,38.0,57.89,225.0,0.0,1.0,64.0,3.0,25.0,5.92,4.74
1985,1985-11-28,28.073,19.0,29.0,65.52,269.0,4.0,1.0,120.5,1.0,5.0,9.28,10.48
1985,1985-12-08,28.083000000000002,14.0,29.0,48.28,144.0,0.0,0.0,63.0,1.0,8.0,4.97,4.97
1985,1985-12-15,28.09,19.0,30.0,63.33,221.0,0.0,3.0,46.0,2.0,14.0,7.37,2.87
1985,1985-12-22,28.096999999999998,22.0,44.0,50.0,287.0,1.0,3.0,50.1,6.0,45.0,6.52,3.91
1986,1986-09-07,28.355999999999998,8.0,15.0,53.33,95.0,0.0,1.0,45.1,2.0,16.0,6.33,3.33
1986,1986-09-14,28.363000000000003,10.0,16.0,62.5,91.0,0.0,0.0,77.9,1.0,6.0,5.69,5.69
1986,1986-09-21,29.005,31.0,46.0,67.39,318.0,0.0,2.0,68.9,4.0,32.0,6.91,4.96
1986,1986-09-28,29.011999999999997,33.0,48.0,68.75,251.0,3.0,0.0,102.0,3.0,23.0,5.23,6.48
1986,1986-10-05,29.019000000000002,7.0,14.0,50.0,93.0,1.0,0.0,95.2,2.0,17.0,6.64,8.07
1986,1986-10-12,29.026,15.0,19.0,78.95,102.0,1.0,1.0,84.6,0.0,0.0,5.37,4.05
1986,1986-10-19,29.033,31.0,50.0,62.0,316.0,1.0,2.0,70.1,2.0,13.0,6.32,4.92
1986,1986-10-26,29.04,12.0,27.0,44.44,161.0,0.0,2.0,33.1,3.0,23.0,5.96,2.63
1986,1986-11-02,29.046999999999997,23.0,33.0,69.7,287.0,2.0,2.0,91.4,3.0,19.0,8.7,7.18
1986,1986-11-09,29.054000000000002,22.0,37.0,59.46,205.0,1.0,1.0,72.5,1.0,4.0,5.54,4.86
1986,1986-11-16,29.061,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-11-23,29.068,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-11-27,29.072,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-12-07,29.081999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-12-15,29.09,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-12-21,29.096,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-04,30.354,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-11,30.361,2.0,8.0,25.0,22.0,0.0,0.0,39.6,2.0,20.0,2.75,2.75
1988,1988-09-18,31.002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1988,1988-09-25,31.009,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-02,31.016,10.0,18.0,55.56,136.0,0.0,0.0,79.9,1.0,5.0,7.56,7.56
1989,1989-10-08,32.022,7.0,18.0,38.89,90.0,0.0,3.0,15.7,5.0,26.0,5.0,-2.5
