Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-10-04,22.331999999999997,5.0,13.0,38.46,48.0,0.0,2.0,9.9,0.0,0.0,3.69,-3.23
1987,1987-10-11,22.339000000000002,13.0,33.0,39.39,176.0,1.0,1.0,54.6,5.0,43.0,5.33,4.58
1987,1987-10-18,22.346,27.0,46.0,58.7,335.0,3.0,2.0,85.0,5.0,39.0,7.28,6.63
1991,1991-09-01,26.299,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-09-22,26.32,2.0,2.0,100.0,27.0,1.0,0.0,158.3,0.0,0.0,13.5,23.5
1991,1991-09-29,26.326999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-10-20,26.348000000000003,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1991,1991-10-27,26.355,9.0,16.0,56.25,108.0,2.0,0.0,116.7,0.0,0.0,6.75,9.25
1991,1991-11-03,26.362,19.0,40.0,47.5,218.0,1.0,2.0,51.9,3.0,15.0,5.45,3.7
1991,1991-11-10,27.004,20.0,30.0,66.67,248.0,0.0,2.0,64.3,4.0,22.0,8.27,5.27
1991,1991-11-17,27.011,15.0,25.0,60.0,185.0,3.0,0.0,122.5,1.0,4.0,7.4,9.8
1991,1991-11-24,27.018,13.0,26.0,50.0,124.0,0.0,0.0,63.6,1.0,8.0,4.77,4.77
1991,1991-11-28,27.022,9.0,27.0,33.33,108.0,1.0,1.0,43.4,0.0,0.0,4.0,3.07
1991,1991-12-08,27.031999999999996,18.0,31.0,58.06,235.0,1.0,1.0,79.4,0.0,0.0,7.58,6.77
1991,1991-12-15,27.039,14.0,29.0,48.28,131.0,2.0,0.0,84.1,4.0,19.0,4.52,5.9
1991,1991-12-22,27.046,17.0,36.0,47.22,251.0,0.0,2.0,47.3,1.0,6.0,6.97,4.47
1992,1992-10-15,27.344,5.0,6.0,83.33,81.0,1.0,0.0,158.3,3.0,15.0,13.5,16.83
1992,1992-10-25,27.354,3.0,5.0,60.0,28.0,0.0,0.0,75.4,0.0,0.0,5.6,5.6
1992,1992-11-01,27.361,3.0,5.0,60.0,33.0,0.0,0.0,79.6,0.0,0.0,6.6,6.6
1992,1992-11-08,28.002,3.0,7.0,42.86,21.0,0.0,1.0,10.7,0.0,0.0,3.0,-3.43
1992,1992-11-15,28.009,20.0,37.0,54.05,304.0,1.0,2.0,67.8,3.0,18.0,8.22,6.32
1992,1992-11-22,28.016,12.0,25.0,48.0,141.0,0.0,3.0,26.0,5.0,25.0,5.64,0.24
1992,1992-11-26,28.02,12.0,21.0,57.14,163.0,2.0,2.0,74.2,4.0,22.0,7.76,5.38
1993,1993-10-03,28.331,11.0,24.0,45.83,120.0,0.0,1.0,43.8,1.0,0.0,5.0,3.13
1993,1993-12-12,29.035999999999998,19.0,25.0,76.0,257.0,3.0,0.0,147.8,2.0,22.0,10.28,12.68
1993,1993-12-19,29.043000000000003,19.0,29.0,65.52,220.0,2.0,0.0,111.3,2.0,13.0,7.59,8.97
1993,1993-12-26,29.05,23.0,31.0,74.19,223.0,2.0,1.0,101.9,0.0,0.0,7.19,7.03
1993,1994-01-02,29.057,15.0,29.0,51.72,182.0,1.0,1.0,68.5,0.0,0.0,6.28,5.41
1994,1994-09-04,29.302,18.0,25.0,72.0,212.0,2.0,0.0,124.1,2.0,8.0,8.48,10.08
1994,1994-09-12,29.31,18.0,31.0,58.06,289.0,3.0,1.0,108.1,3.0,14.0,9.32,9.81
1994,1994-09-18,29.316,27.0,35.0,77.14,261.0,1.0,1.0,95.1,3.0,17.0,7.46,6.74
1994,1994-10-23,29.351,29.0,48.0,60.42,309.0,2.0,3.0,67.1,3.0,24.0,6.44,4.46
