Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-12-08,24.004,1.0,1.0,100.0,19.0,0.0,0.0,118.7,0.0,0.0,19.0,19.0
1986,1986-09-28,24.298000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,1.0,0.0,0.0
1986,1986-10-26,24.326,2.0,8.0,25.0,15.0,0.0,2.0,0.0,0.0,0.0,1.88,-9.38
1986,1986-12-14,25.01,7.0,10.0,70.0,89.0,0.0,0.0,97.5,1.0,3.0,8.9,8.9
1988,1988-10-17,26.318,0.0,0.0,,0.0,0.0,0.0,,,,,
1988,1988-10-30,26.331,,,,,,,,,,,
1988,1988-11-14,26.346,0.0,0.0,,0.0,0.0,0.0,,,,,
1989,1989-09-18,27.288,2.0,2.0,100.0,42.0,0.0,0.0,118.7,0.0,0.0,21.0,21.0
1989,1989-10-08,27.308000000000003,11.0,19.0,57.89,177.0,1.0,1.0,84.8,1.0,9.0,9.32,8.0
1989,1989-10-16,27.316,21.0,37.0,56.76,214.0,2.0,1.0,80.2,0.0,0.0,5.78,5.65
1989,1989-10-22,27.322,13.0,20.0,65.0,145.0,3.0,0.0,126.0,1.0,6.0,7.25,10.25
1989,1989-10-29,27.329,6.0,9.0,66.67,123.0,1.0,0.0,146.8,2.0,9.0,13.67,15.89
1989,1989-11-12,27.343000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-12-23,28.019000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-09,28.279,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-16,28.285999999999998,5.0,12.0,41.67,34.0,0.0,0.0,49.3,1.0,0.0,2.83,2.83
1990,1990-09-24,28.294,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-30,28.3,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-10-07,28.307,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
