Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2019,2019-09-08,23.115,22.0,25.0,88.0,275.0,2.0,1.0,122.5,1.0,3.0,11.0,10.8
2019,2019-09-15,23.122,23.0,33.0,69.7,213.0,1.0,0.0,97.2,4.0,35.0,6.45,7.06
2019,2019-09-19,23.125999999999998,20.0,30.0,66.67,204.0,2.0,0.0,108.2,0.0,0.0,6.8,8.13
2019,2019-09-29,23.136,19.0,33.0,57.58,213.0,2.0,0.0,97.2,5.0,27.0,6.45,7.67
2019,2019-10-06,23.143,26.0,44.0,59.09,374.0,2.0,0.0,101.9,2.0,16.0,8.5,9.41
2019,2019-10-13,23.15,14.0,29.0,48.28,163.0,0.0,1.0,51.4,2.0,12.0,5.62,4.07
2019,2019-10-20,23.156999999999996,15.0,32.0,46.88,255.0,1.0,0.0,84.8,2.0,11.0,7.97,8.59
2019,2019-10-27,23.164,22.0,34.0,64.71,279.0,3.0,0.0,119.6,2.0,1.0,8.21,9.97
2019,2019-11-03,23.171,27.0,47.0,57.45,309.0,0.0,2.0,59.6,3.0,8.0,6.57,4.66
2019,2019-12-01,23.199,16.0,27.0,59.26,147.0,1.0,1.0,71.1,2.0,24.0,5.44,4.52
2019,2019-12-08,23.206,24.0,37.0,64.86,162.0,1.0,0.0,83.4,2.0,7.0,4.38,4.92
2019,2019-12-15,23.213,17.0,29.0,58.62,201.0,2.0,0.0,102.8,2.0,16.0,6.93,8.31
2019,2019-12-22,23.22,13.0,31.0,41.94,181.0,1.0,0.0,72.1,3.0,15.0,5.84,6.48
2019,2019-12-29,23.226999999999997,27.0,39.0,69.23,295.0,3.0,1.0,106.2,3.0,9.0,7.56,7.95
2020,2020-09-13,24.12,19.0,20.0,95.0,173.0,3.0,0.0,142.3,4.0,23.0,8.65,11.65
2020,2020-09-20,24.127,30.0,45.0,66.67,339.0,3.0,2.0,92.7,2.0,24.0,7.53,6.87
2020,2020-09-24,24.131,30.0,42.0,71.43,275.0,0.0,1.0,79.0,4.0,29.0,6.55,5.48
2020,2020-10-04,24.141,27.0,40.0,67.5,351.0,2.0,1.0,101.1,3.0,11.0,8.78,8.65
2020,2020-10-11,24.148000000000003,31.0,49.0,63.27,301.0,2.0,0.0,94.0,3.0,8.0,6.14,6.96
2020,2020-10-18,24.155,25.0,44.0,56.82,243.0,1.0,1.0,70.5,1.0,12.0,5.52,4.95
2020,2020-10-25,24.162,14.0,27.0,51.85,173.0,2.0,0.0,96.7,5.0,19.0,6.41,7.89
2020,2020-12-13,24.211,18.0,31.0,58.06,178.0,1.0,0.0,85.1,0.0,0.0,5.74,6.39
2020,2020-12-20,24.218000000000004,22.0,29.0,75.86,226.0,2.0,0.0,120.8,5.0,21.0,7.79,9.17
