Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-28,22.038,,,,,,,,,,,
1980,1980-11-27,22.098000000000003,,,,,,,,,,,
1981,1981-12-06,23.107,,,,,,,,,,,
1982,1982-09-13,24.023000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-19,24.029,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-25,24.096,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
1982,1982-12-13,24.114,3.0,6.0,50.0,45.0,0.0,0.0,75.0,0.0,0.0,7.5,7.5
1983,1983-09-11,25.021,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-16,25.055999999999997,2.0,2.0,100.0,44.0,0.0,0.0,118.7,0.0,0.0,22.0,22.0
1983,1983-10-30,25.07,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1983,1983-11-20,25.090999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-04,25.105,4.0,4.0,100.0,60.0,1.0,0.0,158.3,0.0,0.0,15.0,20.0
1983,1983-12-19,25.12,4.0,10.0,40.0,51.0,0.0,1.0,17.1,0.0,0.0,5.1,0.6
1984,1984-09-03,26.013,33.0,47.0,70.21,343.0,1.0,1.0,89.2,2.0,22.0,7.3,6.77
1984,1984-09-09,26.019000000000002,21.0,43.0,48.84,242.0,1.0,1.0,64.3,5.0,36.0,5.63,5.05
1984,1984-09-16,26.026,22.0,40.0,55.0,320.0,1.0,0.0,89.6,2.0,17.0,8.0,8.5
1984,1984-09-23,26.033,17.0,35.0,48.57,230.0,0.0,1.0,58.0,4.0,30.0,6.57,5.29
1984,1984-09-30,26.04,18.0,29.0,62.07,265.0,1.0,0.0,103.4,1.0,11.0,9.14,9.83
1984,1984-10-07,26.046999999999997,13.0,28.0,46.43,143.0,0.0,2.0,32.3,1.0,10.0,5.11,1.89
1984,1984-10-14,26.054000000000002,13.0,24.0,54.17,169.0,0.0,2.0,41.8,2.0,18.0,7.04,3.29
1984,1984-10-21,26.061,11.0,18.0,61.11,107.0,0.0,1.0,54.6,1.0,6.0,5.94,3.44
1984,1984-10-28,26.068,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-11-04,26.075,13.0,25.0,52.0,158.0,1.0,2.0,51.7,3.0,25.0,6.32,3.52
1984,1984-11-11,26.081999999999997,12.0,33.0,36.36,147.0,2.0,2.0,45.9,2.0,13.0,4.45,2.94
1984,1984-11-18,26.089000000000002,22.0,45.0,48.89,242.0,0.0,2.0,46.7,3.0,23.0,5.38,3.38
1984,1984-11-22,26.093000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-12-02,26.103,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-12-09,26.11,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-12-17,26.118000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-09,27.019000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-15,27.025,17.0,24.0,70.83,255.0,2.0,0.0,133.2,1.0,6.0,10.63,12.29
1985,1985-09-22,27.031999999999996,1.0,1.0,100.0,18.0,0.0,0.0,118.7,0.0,0.0,18.0,18.0
1985,1985-09-29,27.039,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-06,27.046,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-13,27.053,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-20,27.06,15.0,25.0,60.0,172.0,1.0,2.0,60.7,1.0,9.0,6.88,4.08
1985,1985-10-27,27.066999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-04,27.075,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-10,27.081,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-17,27.088,6.0,22.0,27.27,60.0,0.0,3.0,0.0,2.0,15.0,2.73,-3.41
1985,1985-11-24,27.095,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-28,27.099,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-08,27.109,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-15,27.116,3.0,5.0,60.0,84.0,1.0,0.0,143.7,4.0,50.0,16.8,20.8
1985,1985-12-22,27.123,28.0,49.0,57.14,389.0,1.0,2.0,72.6,6.0,38.0,7.94,6.51
1986,1986-09-07,28.017,15.0,32.0,46.88,241.0,0.0,0.0,72.5,6.0,48.0,7.53,7.53
1986,1986-09-14,28.024,13.0,20.0,65.0,188.0,0.0,1.0,74.6,3.0,33.0,9.4,7.15
1986,1986-12-07,28.108,15.0,29.0,51.72,167.0,2.0,3.0,52.6,3.0,16.0,5.76,2.48
1986,1986-12-14,28.115,23.0,33.0,69.7,318.0,2.0,0.0,120.5,3.0,22.0,9.64,10.85
1986,1986-12-21,28.122,19.0,30.0,63.33,240.0,2.0,2.0,82.6,3.0,25.0,8.0,6.33
1987,1987-09-20,29.03,27.0,43.0,62.79,282.0,1.0,1.0,79.8,2.0,24.0,6.56,5.98
1987,1987-10-04,29.044,17.0,25.0,68.0,259.0,5.0,0.0,141.5,0.0,0.0,10.36,14.36
1987,1987-10-11,29.051,15.0,28.0,53.57,115.0,0.0,1.0,49.0,3.0,19.0,4.11,2.5
1987,1987-11-15,29.086,22.0,37.0,59.46,218.0,1.0,0.0,85.2,0.0,0.0,5.89,6.43
1987,1987-11-22,29.093000000000004,10.0,20.0,50.0,122.0,0.0,3.0,29.6,3.0,20.0,6.1,-0.65
1987,1987-11-29,29.1,8.0,15.0,53.33,149.0,2.0,0.0,127.5,0.0,0.0,9.93,12.6
1988,1988-09-04,30.014,15.0,20.0,75.0,209.0,1.0,1.0,104.0,5.0,39.0,10.45,9.2
1988,1988-09-11,30.021,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-09,30.049,15.0,32.0,46.88,202.0,1.0,2.0,51.8,2.0,17.0,6.31,4.13
1988,1988-10-23,30.063000000000002,11.0,19.0,57.89,132.0,1.0,0.0,96.8,0.0,0.0,6.95,8.0
1988,1988-10-31,30.070999999999998,1.0,2.0,50.0,53.0,1.0,0.0,135.4,0.0,0.0,26.5,36.5
1988,1988-11-06,30.076999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-11-20,30.090999999999998,8.0,13.0,61.54,94.0,0.0,1.0,51.4,1.0,8.0,7.23,3.77
1988,1988-12-10,30.111,16.0,30.0,53.33,217.0,1.0,3.0,48.2,4.0,24.0,7.23,3.4
1988,1988-12-18,30.119,10.0,15.0,66.67,89.0,2.0,0.0,121.9,0.0,0.0,5.93,8.6
1989,1989-09-10,31.02,21.0,35.0,60.0,264.0,1.0,1.0,81.1,0.0,0.0,7.54,6.83
