Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2013,2013-09-08,22.333000000000002,24.0,38.0,63.16,256.0,1.0,1.0,80.6,5.0,42.0,6.74,6.08
2013,2013-09-12,22.337,15.0,35.0,42.86,214.0,0.0,3.0,27.6,4.0,25.0,6.11,2.26
2013,2013-09-22,22.346999999999998,16.0,29.0,55.17,331.0,2.0,2.0,89.9,0.0,0.0,11.41,9.69
2013,2013-09-29,22.354,23.0,34.0,67.65,289.0,1.0,2.0,79.2,5.0,50.0,8.5,6.44
2013,2013-10-07,22.362,16.0,20.0,80.0,199.0,3.0,0.0,147.7,4.0,29.0,9.95,12.95
2013,2013-10-13,23.003,19.0,34.0,55.88,201.0,0.0,2.0,48.8,3.0,17.0,5.91,3.26
2013,2013-10-20,23.01,17.0,33.0,51.52,233.0,1.0,1.0,71.9,4.0,27.0,7.06,6.3
2013,2013-10-27,23.017,20.0,30.0,66.67,159.0,0.0,2.0,51.9,3.0,28.0,5.3,2.3
2013,2013-11-03,23.024,8.0,19.0,42.11,115.0,0.0,0.0,62.4,2.0,0.0,6.05,6.05
2013,2013-11-17,23.038,8.0,23.0,34.78,103.0,0.0,3.0,10.1,4.0,30.0,4.48,-1.39
2013,2013-11-24,23.045,9.0,22.0,40.91,127.0,0.0,2.0,22.3,3.0,22.0,5.77,1.68
2013,2013-12-01,23.052,4.0,10.0,40.0,29.0,0.0,1.0,8.3,1.0,8.0,2.9,-1.6
2013,2013-12-08,23.059,16.0,25.0,64.0,219.0,1.0,1.0,88.6,1.0,10.0,8.76,7.76
2013,2013-12-15,23.066,15.0,28.0,53.57,167.0,1.0,1.0,68.6,4.0,27.0,5.96,5.07
2013,2013-12-22,23.073,20.0,36.0,55.56,214.0,2.0,0.0,91.7,0.0,0.0,5.94,7.06
2013,2013-12-29,23.08,17.0,27.0,62.96,190.0,0.0,0.0,83.9,0.0,0.0,7.04,7.04
2014,2014-09-07,23.331999999999997,23.0,28.0,82.14,221.0,1.0,1.0,96.6,2.0,31.0,7.89,7.0
2014,2014-09-14,23.339000000000002,16.0,32.0,50.0,176.0,1.0,1.0,64.1,1.0,7.0,5.5,4.72
2014,2014-09-22,23.346999999999998,26.0,43.0,60.47,316.0,1.0,2.0,71.5,3.0,16.0,7.35,5.72
2014,2014-09-28,23.353,17.0,33.0,51.52,209.0,1.0,1.0,68.9,2.0,5.0,6.33,5.58
2014,2014-10-05,23.36,4.0,12.0,33.33,27.0,0.0,1.0,7.6,0.0,0.0,2.25,-1.5
2014,2014-10-12,24.002,23.0,43.0,53.49,190.0,2.0,1.0,70.9,4.0,17.0,4.42,4.3
2014,2014-10-16,24.006,20.0,34.0,58.82,226.0,1.0,0.0,88.6,3.0,21.0,6.65,7.24
2014,2014-10-26,24.016,2.0,8.0,25.0,5.0,0.0,3.0,0.0,0.0,0.0,0.63,-16.25
2014,2014-11-24,24.045,10.0,12.0,83.33,89.0,0.0,0.0,97.6,2.0,9.0,7.42,7.42
2014,2014-12-01,24.052,7.0,13.0,53.85,65.0,0.0,1.0,35.7,2.0,16.0,5.0,1.54
2014,2014-12-07,24.058000000000003,18.0,29.0,62.07,254.0,1.0,1.0,87.4,3.0,12.0,8.76,7.9
2014,2014-12-14,24.065,16.0,28.0,57.14,179.0,1.0,0.0,88.2,3.0,16.0,6.39,7.11
2014,2014-12-21,24.072,17.0,27.0,62.96,210.0,1.0,1.0,83.9,2.0,19.0,7.78,6.85
2014,2014-12-28,24.079,20.0,25.0,80.0,358.0,3.0,0.0,158.3,1.0,6.0,14.32,16.72
2015,2015-11-01,25.022,27.0,42.0,64.29,265.0,2.0,1.0,87.9,3.0,19.0,6.31,6.19
2016,2016-10-17,26.006999999999998,4.0,6.0,66.67,31.0,0.0,1.0,39.6,1.0,8.0,5.17,-2.33
2016,2016-10-23,26.013,4.0,8.0,50.0,95.0,1.0,0.0,132.8,2.0,11.0,11.88,14.38
2017,2017-11-05,27.026,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2017,2017-12-03,27.054000000000002,21.0,34.0,61.76,212.0,1.0,0.0,89.3,3.0,12.0,6.24,6.82
2018,2018-09-16,27.340999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-10-14,28.004,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2018,2018-11-25,28.046,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2018,2018-12-02,28.053,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-12-30,28.081,0.0,0.0,,0.0,0.0,0.0,,1.0,16.0,,
2020,2020-12-13,30.064,4.0,5.0,80.0,33.0,0.0,0.0,94.2,1.0,3.0,6.6,6.6
