Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1978,1978-12-10,24.046,,,,,,,,,,,
1978,1978-12-17,24.053,2.0,4.0,50.0,0.0,0.0,0.0,56.2,2.0,12.0,0.0,0.0
1979,1979-09-02,24.311999999999998,,,,,,,,,,,
1979,1979-09-09,24.319000000000003,4.0,11.0,36.36,41.0,1.0,2.0,38.6,,,3.73,-2.64
1979,1979-09-16,24.326,12.0,18.0,66.67,173.0,1.0,0.0,116.2,,,9.61,10.72
1979,1979-09-23,24.333000000000002,,,,,,,,,,,
1979,1979-09-30,24.34,,,,,,,,,,,
1979,1979-10-07,24.346999999999998,,,,,,,,,,,
1979,1979-10-14,24.354,1.0,2.0,50.0,-2.0,0.0,0.0,56.2,,,-1.0,-1.0
1979,1979-10-21,24.361,,,,,,,,,,,
1979,1979-10-28,25.003,,,,,,,,,,,
1979,1979-11-05,25.011,,,,,,,,,,,
1979,1979-11-11,25.017,,,,,,,,,,,
1979,1979-11-18,25.024,10.0,16.0,62.5,140.0,1.0,0.0,111.5,,,8.75,10.0
1979,1979-11-22,25.028000000000002,,,,,,,,,,,
1979,1979-12-02,25.038,,,,,,,,,,,
1979,1979-12-10,25.046,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1979,1979-12-16,25.052,5.0,13.0,38.46,52.0,0.0,1.0,18.8,3.0,26.0,4.0,0.54
1980,1980-09-07,25.318,,,,,,,,,,,
1980,1980-09-15,25.326,,,,,,,,,,,
1980,1980-09-21,25.331999999999997,,,,,,,,,,,
1980,1980-09-28,25.339000000000002,,,,,,,,,,,
1980,1980-10-05,25.346,,,,,,,,,,,
1980,1980-10-12,25.353,,,,,,,,,,,
1980,1980-10-19,25.36,,,,,,,,,,,
1980,1980-10-26,26.000999999999998,1.0,3.0,33.33,4.0,0.0,0.0,42.4,,,1.33,1.33
1980,1980-11-02,26.008000000000003,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-11-10,26.016,,,,,,,,,,,
1980,1980-11-16,26.022,1.0,1.0,100.0,8.0,1.0,0.0,139.6,,,8.0,28.0
1980,1980-11-23,26.029,,,,,,,,,,,
1980,1980-11-30,26.035999999999998,,,,,,,,,,,
1980,1980-12-04,26.04,,,,,,,,,,,
1980,1980-12-14,26.05,,,,,,,,,,,
1980,1980-12-21,26.057,,,,,,,,,,,
1981,1981-11-22,27.028000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,27.035,8.0,15.0,53.33,106.0,1.0,1.0,70.4,0.0,0.0,7.07,5.4
1981,1981-12-03,27.039,7.0,11.0,63.64,86.0,1.0,0.0,118.0,1.0,9.0,7.82,9.64
1981,1981-12-13,27.049,21.0,30.0,70.0,140.0,0.0,0.0,79.9,1.0,10.0,4.67,4.67
1981,1981-12-20,27.055999999999997,24.0,37.0,64.86,377.0,3.0,2.0,103.1,6.0,42.0,10.19,9.38
1982,1982-09-12,27.322,11.0,17.0,64.71,119.0,1.0,0.0,104.8,3.0,37.0,7.0,8.18
1982,1982-09-19,27.329,17.0,37.0,45.95,131.0,1.0,1.0,52.9,3.0,19.0,3.54,2.86
1982,1982-11-21,28.026999999999997,17.0,39.0,43.59,209.0,1.0,3.0,37.2,2.0,10.0,5.36,2.41
1982,1982-11-28,28.034000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-05,28.041,2.0,2.0,100.0,39.0,1.0,0.0,158.3,0.0,0.0,19.5,29.5
1982,1982-12-13,28.049,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-19,28.055,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-26,28.061999999999998,18.0,33.0,54.55,266.0,1.0,3.0,53.3,3.0,7.0,8.06,4.58
1982,1983-01-02,28.069000000000003,22.0,33.0,66.67,241.0,1.0,1.0,85.5,1.0,19.0,7.3,6.55
1983,1983-09-25,28.335,19.0,29.0,65.52,251.0,0.0,0.0,92.7,7.0,50.0,8.66,8.66
1983,1983-10-02,28.342,13.0,28.0,46.43,155.0,0.0,3.0,24.3,1.0,8.0,5.54,0.71
1983,1983-10-09,28.349,15.0,32.0,46.88,189.0,1.0,0.0,76.2,2.0,22.0,5.91,6.53
1983,1983-10-16,28.355999999999998,17.0,31.0,54.84,197.0,1.0,2.0,58.1,6.0,34.0,6.35,4.1
1983,1983-10-23,28.363000000000003,14.0,24.0,58.33,130.0,1.0,1.0,69.8,2.0,22.0,5.42,4.38
1983,1983-10-30,29.005,11.0,27.0,40.74,155.0,2.0,1.0,69.2,3.0,17.0,5.74,5.56
1983,1983-11-06,29.011999999999997,1.0,4.0,25.0,48.0,0.0,1.0,37.5,1.0,10.0,12.0,0.75
