Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-10-23,23.084,17.0,32.0,53.13,226.0,2.0,0.0,96.6,0.0,0.0,7.06,8.31
1994,1994-10-30,23.090999999999998,13.0,30.0,43.33,189.0,3.0,2.0,70.0,1.0,8.0,6.3,5.3
1994,1994-11-06,23.098000000000003,15.0,32.0,46.88,167.0,0.0,2.0,36.8,2.0,10.0,5.22,2.41
1994,1994-11-20,23.112,1.0,6.0,16.67,18.0,0.0,1.0,0.0,0.0,0.0,3.0,-4.5
1995,1995-09-03,24.034000000000002,9.0,15.0,60.0,157.0,2.0,0.0,135.3,0.0,0.0,10.47,13.13
1995,1995-09-10,24.041,20.0,34.0,58.82,272.0,0.0,1.0,72.2,2.0,12.0,8.0,6.68
1995,1995-09-17,24.048000000000002,16.0,26.0,61.54,233.0,3.0,1.0,113.1,1.0,8.0,8.96,9.54
1995,1995-09-24,24.055,21.0,40.0,52.5,230.0,0.0,1.0,59.4,3.0,14.0,5.75,4.63
1995,1995-10-01,24.061999999999998,13.0,24.0,54.17,192.0,2.0,1.0,91.0,1.0,9.0,8.0,7.79
1995,1995-10-08,24.069000000000003,22.0,45.0,48.89,252.0,2.0,1.0,71.7,3.0,26.0,5.6,5.49
1995,1995-10-15,24.076,15.0,29.0,51.72,242.0,2.0,1.0,88.6,2.0,25.0,8.34,8.17
1995,1995-10-22,24.083000000000002,21.0,39.0,53.85,245.0,1.0,0.0,81.7,1.0,6.0,6.28,6.79
1995,1995-10-29,24.09,22.0,44.0,50.0,345.0,0.0,4.0,38.5,4.0,39.0,7.84,3.75
1995,1995-11-05,24.096999999999998,11.0,34.0,32.35,140.0,0.0,0.0,46.2,2.0,18.0,4.12,4.12
1995,1995-11-19,24.111,14.0,32.0,43.75,200.0,1.0,2.0,49.0,1.0,7.0,6.25,4.06
1995,1995-11-26,24.118000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-12-03,24.125,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-12-10,24.131999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-12-17,24.139,5.0,10.0,50.0,58.0,0.0,1.0,28.3,1.0,9.0,5.8,1.3
1995,1995-12-24,24.146,10.0,24.0,41.67,185.0,0.0,0.0,68.9,2.0,19.0,7.71,7.71
1996,1996-09-01,25.031999999999996,12.0,25.0,48.0,119.0,0.0,0.0,61.9,3.0,26.0,4.76,4.76
1996,1996-09-08,25.039,18.0,29.0,62.07,177.0,0.0,0.0,79.2,1.0,9.0,6.1,6.1
1996,1996-09-15,25.046,15.0,23.0,65.22,197.0,1.0,1.0,88.5,2.0,5.0,8.57,7.48
1996,1996-09-22,25.053,12.0,23.0,52.17,151.0,1.0,2.0,51.2,0.0,0.0,6.57,3.52
1996,1996-09-29,25.06,15.0,22.0,68.18,257.0,1.0,0.0,122.7,0.0,0.0,11.68,12.59
1996,1996-10-13,25.074,18.0,33.0,54.55,280.0,2.0,0.0,103.1,1.0,4.0,8.48,9.7
1996,1996-10-20,25.081,14.0,24.0,58.33,207.0,0.0,1.0,69.3,0.0,0.0,8.63,6.75
1996,1996-10-27,25.088,18.0,25.0,72.0,178.0,1.0,1.0,88.4,1.0,5.0,7.12,6.12
1996,1996-11-03,25.095,13.0,28.0,46.43,171.0,0.0,0.0,66.2,1.0,12.0,6.11,6.11
1996,1996-11-10,25.101999999999997,18.0,36.0,50.0,212.0,1.0,1.0,66.0,0.0,0.0,5.89,5.19
1996,1996-11-17,25.109,18.0,33.0,54.55,212.0,2.0,1.0,81.9,2.0,7.0,6.42,6.27
1996,1996-11-24,25.116,18.0,26.0,69.23,294.0,1.0,0.0,119.7,2.0,12.0,11.31,12.08
1996,1996-11-28,25.12,17.0,33.0,51.52,175.0,1.0,2.0,52.0,2.0,12.0,5.3,3.18
1996,1996-12-08,25.13,20.0,39.0,51.28,219.0,1.0,1.0,66.1,2.0,13.0,5.62,4.97
1996,1996-12-15,25.136999999999997,22.0,40.0,55.0,258.0,0.0,0.0,74.8,2.0,9.0,6.45,6.45
1996,1996-12-22,25.144000000000002,22.0,31.0,70.97,346.0,0.0,1.0,94.3,3.0,20.0,11.16,9.71
1997,1997-08-31,26.031,10.0,27.0,37.04,147.0,1.0,0.0,68.0,2.0,19.0,5.44,6.19
1997,1997-09-07,26.038,19.0,35.0,54.29,270.0,0.0,3.0,43.8,0.0,0.0,7.71,3.86
1997,1997-09-14,26.045,19.0,36.0,52.78,265.0,2.0,1.0,83.7,2.0,13.0,7.36,7.22
1997,1997-09-28,26.059,16.0,24.0,66.67,244.0,3.0,1.0,122.2,4.0,21.0,10.17,10.79
1997,1997-10-05,26.066,16.0,37.0,43.24,216.0,1.0,1.0,60.2,2.0,18.0,5.84,5.16
1997,1997-10-13,26.074,12.0,23.0,52.17,155.0,1.0,0.0,88.1,3.0,16.0,6.74,7.61
1997,1997-10-19,26.08,16.0,31.0,51.61,228.0,2.0,3.0,57.7,1.0,8.0,7.35,4.29
1997,1997-10-26,26.087,17.0,33.0,51.52,199.0,2.0,1.0,77.7,3.0,17.0,6.03,5.88
1997,1997-11-02,26.094,14.0,20.0,70.0,192.0,2.0,0.0,133.7,1.0,7.0,9.6,11.6
1997,1997-11-09,26.101,20.0,41.0,48.78,247.0,1.0,0.0,76.0,0.0,0.0,6.02,6.51
1997,1997-11-16,26.108,16.0,31.0,51.61,157.0,1.0,0.0,76.9,1.0,2.0,5.06,5.71
1997,1997-11-23,26.115,9.0,19.0,47.37,104.0,0.0,0.0,64.4,1.0,7.0,5.47,5.47
1997,1997-11-30,26.122,20.0,45.0,44.44,258.0,1.0,2.0,51.9,3.0,18.0,5.73,4.18
1998,1998-09-06,27.037,8.0,12.0,66.67,93.0,1.0,2.0,78.1,5.0,26.0,7.75,1.92
1998,1998-10-11,27.072,7.0,16.0,43.75,73.0,0.0,0.0,57.6,2.0,13.0,4.56,4.56
1998,1998-10-18,27.079,10.0,26.0,38.46,117.0,0.0,1.0,36.9,5.0,22.0,4.5,2.77
1999,1999-10-17,28.078000000000003,15.0,24.0,62.5,140.0,0.0,0.0,78.5,3.0,20.0,5.83,5.83
1999,1999-11-07,28.099,12.0,16.0,75.0,209.0,2.0,0.0,156.2,4.0,34.0,13.06,15.56
1999,1999-11-14,28.105999999999998,24.0,39.0,61.54,375.0,2.0,0.0,110.5,5.0,44.0,9.62,10.64
1999,1999-11-21,28.113000000000003,20.0,39.0,51.28,225.0,1.0,2.0,56.0,0.0,0.0,5.77,3.97
1999,1999-11-25,28.116999999999997,29.0,42.0,69.05,309.0,2.0,0.0,106.2,2.0,16.0,7.36,8.31
