Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-09-04,22.247,3.0,8.0,37.5,14.0,0.0,0.0,45.8,0.0,0.0,1.75,1.75
1994,1994-09-25,22.268,10.0,16.0,62.5,93.0,0.0,1.0,52.3,0.0,0.0,5.81,3.0
1994,1994-10-02,22.275,11.0,30.0,36.67,96.0,1.0,1.0,43.2,2.0,14.0,3.2,2.37
1994,1994-10-09,22.281999999999996,10.0,27.0,37.04,186.0,2.0,1.0,70.9,2.0,15.0,6.89,6.7
1994,1994-10-16,22.289,11.0,32.0,34.38,158.0,1.0,5.0,22.1,1.0,9.0,4.94,-1.47
1994,1994-11-20,22.324,5.0,9.0,55.56,32.0,0.0,0.0,63.2,0.0,0.0,3.56,3.56
1994,1994-11-27,22.331,11.0,28.0,39.29,165.0,0.0,1.0,44.5,1.0,4.0,5.89,4.29
1994,1994-12-04,22.338,13.0,25.0,52.0,278.0,2.0,1.0,101.7,3.0,20.0,11.12,10.92
1994,1994-12-11,22.345,16.0,27.0,59.26,286.0,1.0,1.0,92.5,1.0,3.0,10.59,9.67
1994,1994-12-18,22.351999999999997,17.0,35.0,48.57,201.0,2.0,0.0,85.5,1.0,7.0,5.74,6.89
1994,1994-12-24,22.358,13.0,28.0,46.43,149.0,1.0,1.0,60.0,1.0,11.0,5.32,4.43
1995,1995-09-03,23.246,5.0,12.0,41.67,47.0,0.0,1.0,18.4,2.0,7.0,3.92,0.17
1995,1995-11-05,23.309,1.0,5.0,20.0,4.0,0.0,2.0,0.0,1.0,4.0,0.8,-17.2
1995,1995-11-19,23.323,10.0,12.0,83.33,98.0,1.0,2.0,88.9,1.0,10.0,8.17,2.33
1995,1995-11-26,23.33,12.0,27.0,44.44,164.0,0.0,1.0,49.0,3.0,11.0,6.07,4.41
1995,1995-12-03,23.337,11.0,24.0,45.83,154.0,1.0,0.0,80.9,1.0,2.0,6.42,7.25
1995,1995-12-10,23.344,17.0,32.0,53.13,175.0,0.0,1.0,56.1,4.0,30.0,5.47,4.06
1995,1995-12-17,23.351,10.0,13.0,76.92,103.0,1.0,0.0,124.8,1.0,12.0,7.92,9.46
1996,1996-11-24,24.329,0.0,0.0,,0.0,0.0,0.0,,,,,
1997,1997-08-31,25.243000000000002,8.0,21.0,38.1,115.0,0.0,2.0,17.1,2.0,18.0,5.48,1.19
1997,1997-09-07,25.25,20.0,38.0,52.63,194.0,0.0,3.0,34.3,3.0,16.0,5.11,1.55
1997,1997-09-14,25.256999999999998,5.0,11.0,45.45,66.0,0.0,3.0,25.4,0.0,0.0,6.0,-6.27
1997,1997-09-21,25.264,15.0,21.0,71.43,202.0,1.0,0.0,117.6,2.0,10.0,9.62,10.57
1997,1997-09-28,25.271,16.0,31.0,51.61,203.0,0.0,1.0,58.9,2.0,10.0,6.55,5.1
1997,1997-10-05,25.278000000000002,9.0,23.0,39.13,195.0,1.0,1.0,66.4,2.0,10.0,8.48,7.39
1997,1997-10-12,25.285,5.0,9.0,55.56,55.0,0.0,1.0,34.3,3.0,29.0,6.11,1.11
1997,1997-10-26,25.299,1.0,1.0,100.0,13.0,0.0,0.0,118.7,1.0,4.0,13.0,13.0
1997,1997-11-09,25.313000000000002,21.0,34.0,61.76,181.0,0.0,1.0,63.5,3.0,27.0,5.32,4.0
1997,1997-11-16,25.32,6.0,14.0,42.86,64.0,0.0,2.0,17.3,3.0,8.0,4.57,-1.86
