Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-12-27,24.035,1.0,1.0,100.0,0.0,0.0,0.0,79.2,1.0,6.0,0.0,0.0
1988,1988-10-09,24.322,6.0,7.0,85.71,48.0,0.0,0.0,95.2,3.0,22.0,6.86,6.86
1988,1988-10-23,24.336,5.0,9.0,55.56,89.0,0.0,1.0,50.0,0.0,0.0,9.89,4.89
1988,1988-12-11,25.019000000000002,6.0,15.0,40.0,78.0,0.0,1.0,29.3,1.0,7.0,5.2,2.2
1989,1989-09-24,25.305999999999997,3.0,7.0,42.86,33.0,0.0,1.0,17.9,2.0,14.0,4.71,-1.71
1989,1989-10-01,25.313000000000002,20.0,29.0,68.97,294.0,1.0,1.0,98.9,5.0,36.0,10.14,9.28
1989,1989-11-12,25.355,0.0,0.0,,0.0,0.0,0.0,,1.0,6.0,,
1989,1989-12-10,26.018,4.0,5.0,80.0,44.0,0.0,0.0,103.3,1.0,6.0,8.8,8.8
1989,1989-12-17,26.025,4.0,9.0,44.44,61.0,0.0,0.0,67.4,1.0,9.0,6.78,6.78
1990,1990-12-16,27.024,11.0,27.0,40.74,168.0,1.0,0.0,74.3,5.0,13.0,6.22,6.96
1990,1990-12-23,27.031,13.0,21.0,61.9,178.0,0.0,0.0,89.0,2.0,8.0,8.48,8.48
1990,1990-12-30,27.038,10.0,15.0,66.67,81.0,0.0,0.0,80.1,4.0,22.0,5.4,5.4
1991,1991-09-22,27.304000000000002,22.0,33.0,66.67,244.0,1.0,3.0,60.7,5.0,23.0,7.39,3.91
1991,1991-09-29,27.311,12.0,21.0,57.14,115.0,0.0,0.0,72.5,3.0,16.0,5.48,5.48
1991,1991-10-06,27.318,17.0,31.0,54.84,191.0,0.0,2.0,46.6,6.0,51.0,6.16,3.26
1991,1991-10-20,27.331999999999997,22.0,32.0,68.75,326.0,1.0,1.0,99.2,4.0,24.0,10.19,9.41
1991,1991-10-27,27.339000000000002,17.0,25.0,68.0,164.0,0.0,0.0,86.1,2.0,18.0,6.56,6.56
1991,1991-11-03,27.346,14.0,30.0,46.67,177.0,0.0,1.0,51.7,3.0,34.0,5.9,4.4
1991,1991-11-10,27.353,20.0,26.0,76.92,257.0,2.0,1.0,117.0,2.0,18.0,9.88,9.69
1991,1991-11-17,27.36,30.0,43.0,69.77,372.0,1.0,1.0,94.3,3.0,21.0,8.65,8.07
1991,1991-11-24,28.002,20.0,39.0,51.28,263.0,1.0,2.0,60.1,6.0,44.0,6.74,4.95
1991,1991-12-01,28.009,19.0,36.0,52.78,247.0,0.0,2.0,51.5,5.0,45.0,6.86,4.36
1991,1991-12-08,28.016,21.0,40.0,52.5,330.0,2.0,2.0,76.0,8.0,53.0,8.25,7.0
1991,1991-12-15,28.023000000000003,11.0,20.0,55.0,116.0,0.0,1.0,51.2,3.0,16.0,5.8,3.55
1991,1991-12-22,28.03,21.0,33.0,63.64,271.0,1.0,2.0,74.2,4.0,16.0,8.21,6.09
1992,1992-09-13,28.296,18.0,32.0,56.25,145.0,0.0,4.0,28.3,7.0,36.0,4.53,-1.09
1992,1992-09-20,28.303,17.0,27.0,62.96,185.0,1.0,1.0,80.0,6.0,39.0,6.85,5.93
1992,1992-09-27,28.31,24.0,33.0,72.73,202.0,1.0,1.0,85.7,1.0,6.0,6.12,5.36
1992,1992-10-04,28.316999999999997,23.0,33.0,69.7,259.0,3.0,2.0,97.9,7.0,52.0,7.85,6.94
1992,1992-10-11,28.324,20.0,34.0,58.82,181.0,1.0,2.0,58.6,4.0,24.0,5.32,3.26
1992,1992-10-25,28.338,17.0,33.0,51.52,194.0,2.0,0.0,89.7,5.0,18.0,5.88,7.09
1992,1992-12-06,29.014,5.0,11.0,45.45,37.0,0.0,0.0,54.0,3.0,29.0,3.36,3.36
1994,1994-09-18,30.3,11.0,17.0,64.71,101.0,0.0,0.0,80.8,1.0,8.0,5.94,5.94
1994,1994-12-04,31.011999999999997,6.0,14.0,42.86,43.0,0.0,0.0,50.6,1.0,9.0,3.07,3.07
1994,1994-12-11,31.019000000000002,20.0,33.0,60.61,242.0,1.0,0.0,93.2,2.0,14.0,7.33,7.94
1994,1994-12-17,31.025,19.0,23.0,82.61,217.0,0.0,0.0,106.0,1.0,0.0,9.43,9.43
1994,1994-12-24,31.031999999999996,25.0,44.0,56.82,290.0,1.0,3.0,56.1,4.0,32.0,6.59,3.98
1995,1995-09-10,31.291999999999998,6.0,11.0,54.55,70.0,1.0,0.0,104.4,1.0,2.0,6.36,8.18
1995,1995-10-08,31.32,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-11-12,31.355,20.0,29.0,68.97,127.0,0.0,0.0,77.8,3.0,33.0,4.38,4.38
