Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2007,2007-12-02,22.115,4.0,7.0,57.14,56.0,0.0,0.0,83.0,0.0,0.0,8.0,8.0
2007,2007-12-16,22.129,2.0,5.0,40.0,10.0,0.0,0.0,47.9,0.0,0.0,2.0,2.0
2007,2007-12-23,22.136,7.0,23.0,30.43,83.0,1.0,3.0,17.4,2.0,10.0,3.61,-1.39
2007,2007-12-30,22.143,23.0,31.0,74.19,224.0,1.0,1.0,91.3,4.0,30.0,7.23,6.42
2008,2008-09-08,23.03,17.0,26.0,65.38,180.0,2.0,0.0,111.1,3.0,23.0,6.92,8.46
2008,2008-09-14,23.035999999999998,6.0,17.0,35.29,55.0,0.0,0.0,45.0,0.0,0.0,3.24,3.24
2008,2008-09-21,23.043000000000003,9.0,19.0,47.37,156.0,1.0,0.0,93.3,1.0,7.0,8.21,9.26
2008,2008-09-28,23.05,22.0,37.0,59.46,277.0,1.0,1.0,80.6,6.0,26.0,7.49,6.81
2008,2008-10-12,23.064,13.0,35.0,37.14,159.0,0.0,1.0,40.1,2.0,18.0,4.54,3.26
2008,2008-10-19,23.070999999999998,17.0,30.0,56.67,203.0,1.0,0.0,88.6,2.0,12.0,6.77,7.43
2008,2008-10-26,23.078000000000003,15.0,33.0,45.45,228.0,1.0,1.0,66.2,4.0,41.0,6.91,6.15
2008,2008-11-02,23.085,6.0,19.0,31.58,31.0,0.0,1.0,19.0,4.0,21.0,1.63,-0.74
2008,2008-11-16,23.099,15.0,22.0,68.18,156.0,0.0,0.0,88.4,4.0,22.0,7.09,7.09
2008,2008-11-23,23.105999999999998,10.0,11.0,90.91,152.0,1.0,0.0,149.1,0.0,0.0,13.82,15.64
2008,2008-11-30,23.113000000000003,10.0,28.0,35.71,132.0,0.0,0.0,51.5,0.0,0.0,4.71,4.71
2008,2008-12-04,23.116999999999997,9.0,13.0,69.23,68.0,0.0,2.0,42.0,1.0,0.0,5.23,-1.69
2008,2008-12-14,23.127,17.0,32.0,53.13,242.0,2.0,1.0,85.7,2.0,24.0,7.56,7.41
2008,2008-12-21,23.134,18.0,25.0,72.0,236.0,2.0,0.0,128.1,1.0,13.0,9.44,11.04
2008,2008-12-28,23.141,14.0,21.0,66.67,148.0,2.0,1.0,98.9,1.0,3.0,7.05,6.81
2009,2009-09-14,24.035999999999998,12.0,30.0,40.0,208.0,1.0,2.0,47.6,1.0,7.0,6.93,4.6
2009,2009-09-20,24.041999999999998,7.0,24.0,29.17,109.0,0.0,0.0,46.0,2.0,10.0,4.54,4.54
2009,2009-09-27,24.049,12.0,21.0,57.14,61.0,0.0,2.0,22.6,3.0,19.0,2.9,-1.38
2009,2009-10-04,24.055999999999997,12.0,33.0,36.36,128.0,0.0,0.0,48.5,3.0,8.0,3.88,3.88
2009,2009-10-11,24.063000000000002,8.0,13.0,61.54,100.0,0.0,0.0,85.4,6.0,36.0,7.69,7.69
2009,2009-10-18,24.07,17.0,28.0,60.71,224.0,1.0,2.0,68.2,2.0,15.0,8.0,5.5
2009,2009-10-25,24.076999999999998,6.0,11.0,54.55,61.0,0.0,2.0,31.1,1.0,6.0,5.55,-2.64
2009,2009-11-01,24.084,14.0,22.0,63.64,109.0,0.0,1.0,56.8,5.0,28.0,4.95,2.91
2009,2009-11-15,24.098000000000003,8.0,23.0,34.78,64.0,0.0,0.0,43.6,1.0,13.0,2.78,2.78
2009,2009-12-13,24.125999999999998,10.0,16.0,62.5,74.0,0.0,1.0,47.4,6.0,52.0,4.63,1.81
2009,2009-12-20,24.133000000000003,5.0,11.0,45.45,47.0,1.0,0.0,88.1,1.0,13.0,4.27,6.09
2009,2010-01-03,24.147,9.0,14.0,64.29,102.0,0.0,1.0,56.3,2.0,0.0,7.29,4.07
