Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1979,1979-09-09,23.113000000000003,2.0,5.0,40.0,24.0,0.0,1.0,15.8,1.0,8.0,4.8,-4.2
1979,1979-09-16,23.12,7.0,20.0,35.0,83.0,0.0,0.0,48.5,3.0,42.0,4.15,4.15
1979,1979-09-23,23.127,11.0,21.0,52.38,181.0,0.0,1.0,61.8,7.0,81.0,8.62,6.48
1979,1979-09-30,23.134,2.0,3.0,66.67,22.0,0.0,1.0,48.6,,,7.33,-7.67
1979,1979-10-14,23.148000000000003,,,,,,,,,,,
1979,1979-10-28,23.162,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1979,1979-11-18,23.183000000000003,8.0,19.0,42.11,97.0,1.0,2.0,36.4,2.0,13.0,5.11,1.42
1979,1979-11-25,23.19,5.0,6.0,83.33,47.0,0.0,0.0,99.3,2.0,20.0,7.83,7.83
1979,1979-12-16,23.211,4.0,12.0,33.33,27.0,0.0,0.0,42.4,1.0,14.0,2.25,2.25
1980,1980-09-07,24.111,6.0,21.0,28.57,47.0,1.0,1.0,35.6,3.0,31.0,2.24,1.05
1980,1980-09-14,24.118000000000002,15.0,24.0,62.5,136.0,1.0,1.0,74.3,,,5.67,4.63
1980,1980-09-21,24.125,9.0,18.0,50.0,122.0,2.0,0.0,109.0,1.0,7.0,6.78,9.0
1980,1980-09-28,24.131999999999998,14.0,24.0,58.33,134.0,1.0,1.0,70.5,,,5.58,4.54
1980,1980-10-12,24.146,1.0,4.0,25.0,15.0,0.0,0.0,42.7,1.0,10.0,3.75,3.75
1980,1980-10-26,24.16,0.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-15.0
1980,1980-11-02,24.166999999999998,10.0,14.0,71.43,108.0,1.0,2.0,78.0,1.0,9.0,7.71,2.71
1980,1980-11-09,24.174,7.0,17.0,41.18,40.0,1.0,3.0,28.9,2.0,10.0,2.35,-4.41
1980,1980-11-16,24.180999999999997,4.0,9.0,44.44,64.0,0.0,0.0,68.7,1.0,9.0,7.11,7.11
1980,1980-11-23,24.188000000000002,7.0,15.0,46.67,81.0,0.0,0.0,63.5,,,5.4,5.4
1980,1980-11-30,24.195,2.0,2.0,100.0,20.0,1.0,0.0,147.9,,,10.0,20.0
1980,1980-12-07,24.201999999999998,15.0,29.0,51.72,186.0,1.0,1.0,69.0,,,6.41,5.55
1980,1980-12-14,24.209,13.0,24.0,54.17,174.0,1.0,0.0,91.3,3.0,34.0,7.25,8.08
1980,1980-12-21,24.215999999999998,12.0,30.0,40.0,197.0,1.0,2.0,46.1,1.0,3.0,6.57,4.23
1981,1981-10-18,25.151999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-25,25.159000000000002,6.0,20.0,30.0,81.0,1.0,1.0,39.8,2.0,19.0,4.05,2.8
1981,1981-11-01,25.166,0.0,0.0,,0.0,0.0,0.0,,1.0,6.0,,
1981,1981-11-08,25.173000000000002,2.0,4.0,50.0,32.0,0.0,0.0,77.1,1.0,8.0,8.0,8.0
1981,1981-11-15,25.18,2.0,5.0,40.0,21.0,0.0,0.0,52.9,0.0,0.0,4.2,4.2
1981,1981-11-22,25.186999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,25.194000000000003,1.0,2.0,50.0,19.0,0.0,0.0,83.3,1.0,9.0,9.5,9.5
1981,1981-12-06,25.201,10.0,18.0,55.56,114.0,0.0,1.0,51.6,2.0,19.0,6.33,3.83
1982,1982-09-12,26.116,,,,,,,,,,,
1983,1983-09-04,27.108,7.0,12.0,58.33,97.0,0.0,1.0,49.7,4.0,22.0,8.08,4.33
1983,1983-09-18,27.122,17.0,30.0,56.67,192.0,1.0,2.0,59.3,0.0,0.0,6.4,4.07
1983,1983-09-25,27.129,30.0,40.0,75.0,316.0,1.0,3.0,74.6,3.0,25.0,7.9,5.03
1983,1983-10-02,27.136,16.0,28.0,57.14,217.0,0.0,2.0,52.2,4.0,33.0,7.75,4.54
1983,1983-10-09,27.143,19.0,30.0,63.33,272.0,2.0,1.0,101.0,3.0,24.0,9.07,8.9
1983,1983-10-16,27.15,20.0,30.0,66.67,212.0,3.0,2.0,92.6,3.0,16.0,7.07,6.07
1983,1983-10-23,27.156999999999996,16.0,34.0,47.06,124.0,0.0,3.0,19.7,7.0,57.0,3.65,-0.32
1983,1983-10-30,27.164,14.0,29.0,48.28,114.0,0.0,0.0,58.7,2.0,9.0,3.93,3.93
1983,1983-11-06,27.171,11.0,19.0,57.89,75.0,0.0,1.0,44.8,1.0,8.0,3.95,1.58
1983,1983-11-13,27.178,17.0,31.0,54.84,182.0,0.0,0.0,72.2,2.0,16.0,5.87,5.87
1983,1983-11-27,27.191999999999997,17.0,29.0,58.62,224.0,4.0,0.0,122.7,2.0,14.0,7.72,10.48
1983,1983-12-04,27.199,25.0,46.0,54.35,337.0,3.0,2.0,81.5,2.0,16.0,7.33,6.67
1983,1983-12-12,27.206999999999997,12.0,23.0,52.17,171.0,1.0,3.0,51.4,3.0,25.0,7.43,2.43
1983,1983-12-18,27.213,28.0,42.0,66.67,373.0,3.0,1.0,108.5,3.0,24.0,8.88,9.24
1984,1984-09-02,28.105999999999998,4.0,17.0,23.53,105.0,1.0,4.0,32.8,2.0,10.0,6.18,-3.24
1984,1984-09-09,28.113000000000003,15.0,22.0,68.18,175.0,1.0,0.0,107.2,7.0,41.0,7.95,8.86
1984,1984-09-16,28.12,6.0,13.0,46.15,57.0,0.0,1.0,26.8,1.0,3.0,4.38,0.92
1984,1984-12-02,28.197,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-12-09,28.204,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
