Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-09-14,24.005,5.0,10.0,50.0,50.0,0.0,0.0,64.6,4.0,27.0,5.0,5.0
1986,1986-09-21,24.011999999999997,13.0,22.0,59.09,95.0,0.0,1.0,50.4,3.0,30.0,4.32,2.27
1986,1986-09-28,24.019000000000002,21.0,53.0,39.62,233.0,1.0,1.0,51.8,1.0,3.0,4.4,3.92
1986,1986-10-05,24.026,18.0,39.0,46.15,252.0,1.0,3.0,44.0,2.0,24.0,6.46,3.51
1986,1986-10-12,24.033,24.0,44.0,54.55,315.0,2.0,1.0,83.0,3.0,28.0,7.16,7.05
1986,1986-10-19,24.04,19.0,41.0,46.34,175.0,1.0,1.0,56.5,1.0,8.0,4.27,3.66
1986,1986-10-26,24.046999999999997,14.0,24.0,58.33,121.0,0.0,1.0,54.3,0.0,0.0,5.04,3.17
1986,1986-11-02,24.054000000000002,20.0,42.0,47.62,208.0,1.0,0.0,70.3,7.0,49.0,4.95,5.43
1986,1986-11-09,24.061,19.0,36.0,52.78,236.0,1.0,4.0,43.1,3.0,24.0,6.56,2.11
1986,1986-11-16,24.068,27.0,57.0,47.37,359.0,1.0,4.0,44.4,2.0,9.0,6.3,3.49
1986,1986-11-23,24.075,9.0,21.0,42.86,51.0,0.0,1.0,30.5,1.0,10.0,2.43,0.29
1986,1986-11-30,24.081999999999997,15.0,28.0,53.57,130.0,0.0,1.0,51.2,2.0,1.0,4.64,3.04
1987,1987-09-13,25.004,13.0,23.0,56.52,206.0,2.0,3.0,75.9,0.0,0.0,8.96,4.83
1987,1987-10-25,25.046,17.0,28.0,60.71,239.0,1.0,0.0,100.1,3.0,26.0,8.54,9.25
1987,1987-11-01,25.053,14.0,23.0,60.87,192.0,1.0,0.0,102.1,1.0,1.0,8.35,9.22
1987,1987-11-08,25.06,12.0,18.0,66.67,127.0,0.0,0.0,87.0,3.0,15.0,7.06,7.06
1987,1987-11-22,25.074,7.0,18.0,38.89,96.0,0.0,1.0,33.6,0.0,0.0,5.33,2.83
1987,1987-11-29,25.081,2.0,4.0,50.0,10.0,1.0,0.0,95.8,1.0,11.0,2.5,7.5
1987,1987-12-06,25.088,20.0,34.0,58.82,192.0,0.0,0.0,74.6,1.0,9.0,5.65,5.65
1987,1987-12-13,25.095,6.0,15.0,40.0,78.0,0.0,2.0,17.5,3.0,31.0,5.2,-0.8
1987,1987-12-20,25.101999999999997,20.0,39.0,51.28,201.0,1.0,0.0,74.8,1.0,7.0,5.15,5.67
1987,1987-12-27,25.109,17.0,27.0,62.96,246.0,0.0,0.0,92.5,0.0,0.0,9.11,9.11
1988,1988-09-11,26.002,4.0,15.0,26.67,78.0,0.0,2.0,9.2,2.0,13.0,5.2,-0.8
1988,1988-09-19,26.01,10.0,19.0,52.63,80.0,0.0,1.0,41.6,0.0,0.0,4.21,1.84
1989,1989-09-24,27.015,2.0,6.0,33.33,20.0,0.0,0.0,43.7,0.0,0.0,3.33,3.33
1989,1989-10-01,27.022,17.0,30.0,56.67,246.0,1.0,1.0,80.7,2.0,4.0,8.2,7.37
1989,1989-10-08,27.029,13.0,24.0,54.17,193.0,0.0,1.0,63.4,3.0,16.0,8.04,6.17
1989,1989-10-15,27.035999999999998,12.0,28.0,42.86,100.0,0.0,1.0,37.8,1.0,10.0,3.57,1.96
1989,1989-10-22,27.043000000000003,14.0,27.0,51.85,168.0,2.0,1.0,80.5,0.0,0.0,6.22,6.04
1989,1989-10-29,27.05,16.0,33.0,48.48,247.0,2.0,0.0,93.9,3.0,20.0,7.48,8.7
1989,1989-11-05,27.057,20.0,38.0,52.63,215.0,1.0,2.0,56.4,1.0,8.0,5.66,3.82
1989,1989-11-19,27.070999999999998,17.0,28.0,60.71,255.0,1.0,0.0,102.5,2.0,16.0,9.11,9.82
1989,1989-11-26,27.078000000000003,14.0,24.0,58.33,153.0,1.0,1.0,73.8,2.0,11.0,6.38,5.33
1989,1989-12-03,27.085,12.0,30.0,40.0,207.0,2.0,3.0,46.8,0.0,0.0,6.9,3.73
1989,1989-12-10,27.092,15.0,32.0,46.88,200.0,1.0,1.0,64.6,3.0,16.0,6.25,5.47
1989,1989-12-17,27.099,23.0,35.0,65.71,195.0,4.0,1.0,106.3,2.0,11.0,5.57,6.57
1989,1989-12-24,27.105999999999998,15.0,27.0,55.56,118.0,0.0,1.0,51.2,1.0,13.0,4.37,2.7
1990,1990-09-09,28.0,6.0,11.0,54.55,38.0,0.0,1.0,24.1,0.0,0.0,3.45,-0.64
1990,1990-09-23,28.014,14.0,23.0,60.87,175.0,1.0,1.0,80.9,1.0,10.0,7.61,6.52
1990,1990-09-30,28.021,19.0,40.0,47.5,329.0,2.0,1.0,82.2,3.0,24.0,8.23,8.1
1990,1990-10-07,28.028000000000002,18.0,28.0,64.29,205.0,1.0,2.0,68.3,7.0,62.0,7.32,4.82
1990,1990-10-21,28.041999999999998,24.0,39.0,61.54,312.0,2.0,1.0,93.1,2.0,8.0,8.0,7.87
1990,1990-10-28,28.049,3.0,3.0,100.0,19.0,0.0,0.0,93.1,1.0,0.0,6.33,6.33
1991,1991-09-29,29.02,1.0,3.0,33.33,8.0,0.0,0.0,42.4,1.0,6.0,2.67,2.67
1991,1991-10-13,29.034000000000002,1.0,4.0,25.0,11.0,0.0,1.0,0.0,0.0,0.0,2.75,-8.5
1992,1992-09-13,30.004,4.0,5.0,80.0,36.0,0.0,0.0,96.7,0.0,0.0,7.2,7.2
1992,1992-09-20,30.011,6.0,14.0,42.86,78.0,0.0,2.0,21.4,3.0,21.0,5.57,-0.86
1992,1992-10-11,30.031999999999996,1.0,1.0,100.0,11.0,0.0,0.0,112.5,0.0,0.0,11.0,11.0
1992,1992-10-18,30.039,1.0,2.0,50.0,1.0,0.0,0.0,56.2,1.0,2.0,0.5,0.5
1992,1992-11-01,30.053,5.0,11.0,45.45,61.0,0.0,0.0,63.1,1.0,13.0,5.55,5.55
1992,1992-11-08,30.06,1.0,4.0,25.0,8.0,0.0,0.0,39.6,0.0,0.0,2.0,2.0
1992,1992-11-22,30.074,19.0,41.0,46.34,266.0,1.0,3.0,45.4,1.0,8.0,6.49,3.68
1992,1992-11-29,30.081,26.0,41.0,63.41,337.0,0.0,1.0,79.0,4.0,32.0,8.22,7.12
1992,1992-12-06,30.088,23.0,35.0,65.71,209.0,0.0,1.0,69.8,1.0,9.0,5.97,4.69
1992,1992-12-13,30.095,4.0,8.0,50.0,81.0,1.0,1.0,85.9,0.0,0.0,10.13,7.0
1992,1992-12-27,30.109,15.0,19.0,78.95,183.0,2.0,0.0,141.9,0.0,0.0,9.63,11.74
1993,1993-09-05,30.361,23.0,43.0,53.49,232.0,1.0,1.0,67.2,0.0,0.0,5.4,4.81
1993,1993-09-12,31.003,17.0,36.0,47.22,218.0,0.0,2.0,43.5,1.0,6.0,6.06,3.56
