Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2016,2016-09-18,23.281999999999996,6.0,9.0,66.67,92.0,0.0,0.0,100.2,2.0,22.0,10.22,10.22
2016,2016-09-22,23.285999999999998,11.0,19.0,57.89,103.0,0.0,0.0,72.9,1.0,6.0,5.42,5.42
2016,2016-10-02,23.296,17.0,27.0,62.96,205.0,0.0,0.0,86.2,3.0,18.0,7.59,7.59
2017,2017-09-10,24.273000000000003,2.0,3.0,66.67,51.0,0.0,0.0,109.7,0.0,0.0,17.0,17.0
2017,2017-09-17,24.28,20.0,37.0,54.05,216.0,0.0,1.0,60.2,4.0,26.0,5.84,4.62
2017,2017-09-24,24.287,17.0,24.0,70.83,259.0,1.0,0.0,120.0,3.0,16.0,10.79,11.63
2017,2017-10-01,24.294,16.0,29.0,55.17,157.0,1.0,1.0,67.7,3.0,18.0,5.41,4.55
2017,2017-10-08,24.301,22.0,34.0,64.71,314.0,0.0,1.0,82.2,4.0,26.0,9.24,7.91
2017,2017-10-16,24.309,21.0,37.0,56.76,212.0,1.0,0.0,82.3,1.0,0.0,5.73,6.27
2017,2017-10-22,24.315,22.0,37.0,59.46,200.0,0.0,0.0,74.2,10.0,64.0,5.41,5.41
2017,2017-10-29,24.322,25.0,39.0,64.1,233.0,2.0,1.0,86.8,4.0,17.0,5.97,5.85
2017,2017-11-05,24.329,20.0,30.0,66.67,308.0,2.0,0.0,122.6,3.0,29.0,10.27,11.6
2017,2017-11-12,24.336,14.0,24.0,58.33,222.0,2.0,1.0,99.7,3.0,26.0,9.25,9.04
2017,2017-11-26,24.35,17.0,29.0,58.62,196.0,0.0,0.0,79.1,8.0,31.0,6.76,6.76
2017,2017-12-03,24.357,21.0,36.0,58.33,174.0,1.0,2.0,56.9,4.0,25.0,4.83,2.89
2017,2017-12-10,24.364,11.0,22.0,50.0,69.0,1.0,0.0,72.0,1.0,5.0,3.14,4.05
2017,2017-12-14,25.003,17.0,30.0,56.67,158.0,0.0,0.0,71.2,1.0,0.0,5.27,5.27
2017,2017-12-23,25.011999999999997,16.0,33.0,48.48,215.0,1.0,0.0,79.7,2.0,12.0,6.52,7.12
2017,2017-12-31,25.02,15.0,25.0,60.0,114.0,1.0,0.0,84.4,1.0,10.0,4.56,5.36
2018,2018-09-23,25.285999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2018,2018-10-21,25.314,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-11-18,25.342,1.0,2.0,50.0,-2.0,0.0,0.0,56.2,0.0,0.0,-1.0,-1.0
2018,2018-11-25,25.349,1.0,1.0,100.0,4.0,0.0,0.0,83.3,0.0,0.0,4.0,4.0
2019,2019-09-08,26.271,21.0,27.0,77.78,190.0,2.0,0.0,120.7,2.0,17.0,7.04,8.52
2019,2019-09-15,26.278000000000002,17.0,28.0,60.71,146.0,3.0,1.0,95.2,3.0,25.0,5.21,5.75
2019,2019-09-22,26.285,28.0,37.0,75.68,310.0,2.0,0.0,118.1,1.0,10.0,8.38,9.46
2019,2019-09-29,26.291999999999998,24.0,46.0,52.17,265.0,3.0,1.0,82.2,0.0,0.0,5.76,6.09
2019,2019-10-06,26.299,18.0,29.0,62.07,151.0,0.0,1.0,61.1,0.0,0.0,5.21,3.66
2019,2019-10-20,26.313000000000002,26.0,39.0,66.67,326.0,4.0,0.0,126.7,1.0,5.0,8.36,10.41
2019,2019-10-27,26.32,15.0,25.0,60.0,202.0,0.0,0.0,85.7,4.0,11.0,8.08,8.08
2019,2019-11-03,26.326999999999998,4.0,5.0,80.0,59.0,0.0,0.0,115.8,1.0,4.0,11.8,11.8
2019,2019-11-17,26.340999999999998,15.0,24.0,62.5,148.0,1.0,1.0,76.4,3.0,23.0,6.17,5.13
2019,2019-11-21,26.345,16.0,25.0,64.0,129.0,0.0,0.0,76.9,1.0,8.0,5.16,5.16
2019,2019-12-01,26.355,25.0,40.0,62.5,319.0,1.0,2.0,74.9,3.0,10.0,7.98,6.23
2019,2019-12-08,26.362,19.0,36.0,52.78,251.0,2.0,0.0,93.6,1.0,8.0,6.97,8.08
2019,2019-12-16,27.005,18.0,34.0,52.94,165.0,0.0,0.0,66.4,1.0,6.0,4.85,4.85
2019,2019-12-22,27.011,14.0,27.0,51.85,119.0,0.0,0.0,63.7,3.0,13.0,4.41,4.41
2019,2019-12-29,27.018,12.0,25.0,48.0,162.0,0.0,0.0,69.1,3.0,19.0,6.48,6.48
2020,2020-09-13,27.276999999999997,0.0,0.0,,0.0,0.0,0.0,,1.0,6.0,,
2020,2020-09-27,27.291,2.0,4.0,50.0,17.0,0.0,0.0,61.5,0.0,0.0,4.25,4.25
2020,2020-11-08,27.333000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2020,2020-11-12,27.337,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-11-22,27.346999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-11-29,27.354,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,9.0,0.0,0.0
2020,2020-12-06,27.361,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-12-13,28.002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-12-20,28.009,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2020,2020-12-27,28.016,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
