Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-12-24,24.348000000000003,16.0,27.0,59.26,278.0,2.0,1.0,103.6,3.0,29.0,10.3,10.11
1999,2000-01-02,24.357,26.0,49.0,53.06,243.0,1.0,4.0,39.8,3.0,13.0,4.96,1.69
2002,2002-09-08,27.241,,,,,,,,0.0,,,
2002,2002-11-10,27.304000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2002,2002-12-01,27.325,1.0,1.0,100.0,10.0,0.0,0.0,108.3,0.0,0.0,10.0,10.0
2002,2002-12-08,27.331999999999997,7.0,8.0,87.5,103.0,0.0,0.0,118.7,0.0,0.0,12.88,12.88
2003,2003-09-07,28.24,12.0,20.0,60.0,122.0,3.0,2.0,77.5,2.0,1.0,6.1,4.6
2003,2003-09-14,28.247,9.0,23.0,39.13,96.0,0.0,2.0,15.9,1.0,9.0,4.17,0.26
2003,2003-09-28,28.261,17.0,27.0,62.96,168.0,1.0,0.0,92.8,0.0,0.0,6.22,6.96
2003,2003-10-05,28.268,15.0,23.0,65.22,124.0,0.0,0.0,78.9,0.0,0.0,5.39,5.39
2003,2003-10-12,28.275,12.0,20.0,60.0,181.0,1.0,1.0,85.6,3.0,29.0,9.05,7.8
2003,2003-10-19,28.281999999999996,31.0,49.0,63.27,362.0,2.0,0.0,99.2,4.0,23.0,7.39,8.2
2003,2003-10-26,28.289,12.0,27.0,44.44,148.0,0.0,0.0,62.0,1.0,3.0,5.48,5.48
2003,2003-11-02,28.296,13.0,23.0,56.52,193.0,1.0,1.0,80.5,0.0,0.0,8.39,7.3
2003,2003-11-09,28.303,20.0,32.0,62.5,277.0,2.0,2.0,85.0,2.0,14.0,8.66,7.09
2003,2003-11-16,28.31,20.0,30.0,66.67,317.0,0.0,2.0,73.9,0.0,0.0,10.57,7.57
2003,2003-11-23,28.316999999999997,9.0,24.0,37.5,175.0,1.0,1.0,60.2,1.0,6.0,7.29,6.25
2003,2003-11-30,28.324,18.0,29.0,62.07,216.0,2.0,0.0,107.8,2.0,16.0,7.45,8.83
2003,2003-12-07,28.331,13.0,25.0,52.0,153.0,1.0,2.0,50.9,1.0,12.0,6.12,3.32
2003,2003-12-14,28.338,20.0,32.0,62.5,236.0,1.0,1.0,82.3,1.0,5.0,7.38,6.59
2003,2003-12-21,28.345,29.0,35.0,82.86,260.0,2.0,1.0,104.8,0.0,0.0,7.43,7.29
2003,2003-12-28,28.351999999999997,16.0,30.0,53.33,191.0,2.0,1.0,81.4,5.0,50.0,6.37,6.2
2004,2004-09-13,29.247,23.0,39.0,58.97,284.0,2.0,1.0,88.0,2.0,22.0,7.28,7.15
2004,2004-09-19,29.253,16.0,29.0,55.17,180.0,3.0,2.0,79.7,1.0,5.0,6.21,5.17
2004,2004-10-03,29.267,23.0,38.0,60.53,308.0,0.0,2.0,64.4,2.0,15.0,8.11,5.74
2004,2004-10-10,29.274,13.0,20.0,65.0,173.0,1.0,0.0,109.0,1.0,10.0,8.65,9.65
2004,2004-10-17,29.281,24.0,42.0,57.14,205.0,1.0,4.0,38.4,2.0,19.0,4.88,1.07
2004,2004-10-24,29.288,17.0,36.0,47.22,155.0,0.0,1.0,47.8,1.0,8.0,4.31,3.06
2004,2004-10-31,29.295,19.0,36.0,52.78,248.0,2.0,1.0,81.7,0.0,0.0,6.89,6.75
2004,2004-11-07,29.302,25.0,45.0,55.56,299.0,3.0,0.0,98.3,2.0,32.0,6.64,7.98
2004,2004-11-14,29.309,19.0,34.0,55.88,303.0,3.0,0.0,115.2,1.0,2.0,8.91,10.68
2004,2004-11-21,29.316,12.0,25.0,48.0,157.0,2.0,1.0,78.2,0.0,0.0,6.28,6.08
2004,2004-11-28,29.323,14.0,21.0,66.67,213.0,2.0,1.0,111.8,4.0,25.0,10.14,9.9
2004,2004-12-05,29.33,22.0,29.0,75.86,294.0,1.0,0.0,119.0,4.0,25.0,10.14,10.83
2004,2004-12-12,29.337,16.0,30.0,53.33,206.0,1.0,1.0,72.4,2.0,17.0,6.87,6.03
2004,2004-12-18,29.343000000000004,24.0,35.0,68.57,340.0,2.0,1.0,106.8,4.0,26.0,9.71,9.57
2004,2004-12-26,29.351,19.0,24.0,79.17,214.0,4.0,0.0,143.4,1.0,7.0,8.92,12.25
2004,2005-01-02,29.358,24.0,50.0,48.0,307.0,2.0,0.0,81.0,6.0,33.0,6.14,6.94
2005,2005-09-11,30.244,19.0,31.0,61.29,212.0,1.0,2.0,65.5,1.0,3.0,6.84,4.58
2005,2005-09-18,30.250999999999998,11.0,26.0,42.31,154.0,0.0,1.0,46.0,1.0,8.0,5.92,4.19
2005,2005-09-25,30.258000000000003,19.0,35.0,54.29,285.0,3.0,1.0,97.9,4.0,47.0,8.14,8.57
2005,2005-10-03,30.266,17.0,24.0,70.83,206.0,2.0,0.0,124.7,2.0,10.0,8.58,10.25
2005,2005-10-09,30.272,18.0,29.0,62.07,243.0,2.0,1.0,97.3,0.0,0.0,8.38,8.21
2005,2005-10-16,30.279,15.0,25.0,60.0,236.0,2.0,3.0,78.5,2.0,20.0,9.44,5.64
2005,2005-10-30,30.293000000000003,21.0,30.0,70.0,341.0,3.0,0.0,141.1,1.0,3.0,11.37,13.37
2005,2005-11-06,30.3,11.0,18.0,61.11,216.0,1.0,0.0,121.5,1.0,6.0,12.0,13.11
2005,2005-11-13,30.307,10.0,20.0,50.0,119.0,1.0,2.0,45.6,0.0,0.0,5.95,2.45
2005,2005-11-20,30.314,22.0,38.0,57.89,235.0,0.0,2.0,54.2,8.0,52.0,6.18,3.82
2005,2005-11-27,30.320999999999998,20.0,27.0,74.07,191.0,1.0,0.0,105.6,1.0,9.0,7.07,7.81
2005,2005-12-04,30.328000000000003,17.0,27.0,62.96,164.0,2.0,1.0,89.1,0.0,0.0,6.07,5.89
2005,2005-12-11,30.335,21.0,33.0,63.64,220.0,1.0,1.0,80.4,2.0,26.0,6.67,5.91
2005,2005-12-18,30.342,13.0,21.0,61.9,176.0,1.0,1.0,84.6,1.0,11.0,8.38,7.19
2005,2005-12-24,30.348000000000003,14.0,31.0,45.16,260.0,2.0,1.0,82.7,3.0,13.0,8.39,8.23
2005,2006-01-01,30.355999999999998,14.0,20.0,70.0,163.0,2.0,0.0,127.7,1.0,6.0,8.15,10.15
