Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-10-02,23.109,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2011,2011-10-23,23.13,1.0,1.0,100.0,12.0,0.0,0.0,116.7,1.0,9.0,12.0,12.0
2011,2011-11-20,23.158,9.0,19.0,47.37,140.0,2.0,0.0,107.3,1.0,7.0,7.37,9.47
2011,2011-12-11,23.179000000000002,13.0,29.0,44.83,282.0,1.0,0.0,91.5,2.0,12.0,9.72,10.41
2011,2011-12-18,23.186,11.0,16.0,68.75,108.0,1.0,0.0,108.3,1.0,9.0,6.75,8.0
2012,2012-09-09,24.086,23.0,32.0,71.88,229.0,1.0,1.0,89.2,2.0,8.0,7.16,6.38
2012,2012-09-16,24.093000000000004,15.0,30.0,50.0,174.0,1.0,1.0,65.1,0.0,0.0,5.8,4.97
2012,2012-09-23,24.1,29.0,42.0,69.05,378.0,2.0,0.0,113.0,0.0,0.0,9.0,9.95
2012,2012-09-30,24.107,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,8.0,0.0,0.0
2012,2012-11-11,24.149,9.0,21.0,42.86,122.0,2.0,0.0,93.7,1.0,6.0,5.81,7.71
2012,2012-11-25,24.163,23.0,40.0,57.5,261.0,1.0,2.0,64.7,1.0,11.0,6.53,4.78
2012,2012-12-02,24.17,21.0,45.0,46.67,309.0,1.0,3.0,49.2,6.0,44.0,6.87,4.31
2012,2012-12-09,24.177,22.0,35.0,62.86,262.0,1.0,2.0,71.4,1.0,3.0,7.49,5.49
2012,2012-12-17,24.185,13.0,22.0,59.09,149.0,0.0,0.0,79.5,4.0,22.0,6.77,6.77
2012,2012-12-23,24.191,13.0,30.0,43.33,140.0,1.0,2.0,41.0,7.0,39.0,4.67,2.33
2012,2012-12-30,24.198,9.0,15.0,60.0,152.0,0.0,0.0,94.3,2.0,10.0,10.13,10.13
2013,2013-09-08,25.085,11.0,20.0,55.0,125.0,0.0,0.0,74.0,1.0,8.0,6.25,6.25
2013,2013-09-15,25.092,17.0,30.0,56.67,148.0,2.0,0.0,92.1,4.0,19.0,4.93,6.27
2013,2013-09-22,25.099,23.0,37.0,62.16,299.0,1.0,0.0,96.6,2.0,17.0,8.08,8.62
2013,2013-09-29,25.105999999999998,18.0,24.0,75.0,149.0,3.0,0.0,130.0,2.0,13.0,6.21,8.71
2013,2013-10-20,25.127,25.0,41.0,60.98,326.0,2.0,1.0,92.1,3.0,28.0,7.95,7.83
2013,2013-11-03,25.141,13.0,22.0,59.09,185.0,0.0,2.0,48.5,4.0,20.0,8.41,4.32
2013,2013-11-10,25.148000000000003,4.0,9.0,44.44,24.0,0.0,1.0,12.0,0.0,0.0,2.67,-2.33
2014,2014-09-07,26.084,22.0,33.0,66.67,266.0,2.0,0.0,111.4,4.0,23.0,8.06,9.27
2014,2014-09-14,26.090999999999998,18.0,34.0,52.94,234.0,1.0,2.0,60.2,2.0,2.0,6.88,4.82
2014,2014-09-21,26.098000000000003,17.0,34.0,50.0,185.0,0.0,2.0,41.9,2.0,8.0,5.44,2.79
2014,2014-10-05,26.112,8.0,11.0,72.73,79.0,1.0,0.0,122.9,1.0,1.0,7.18,9.0
2014,2014-11-30,26.168000000000003,6.0,12.0,50.0,91.0,1.0,2.0,63.5,2.0,24.0,7.58,1.75
2014,2014-12-07,26.175,9.0,11.0,81.82,81.0,0.0,1.0,59.5,3.0,27.0,7.36,3.27
2014,2014-12-14,26.182,6.0,11.0,54.55,57.0,0.0,0.0,69.1,0.0,0.0,5.18,5.18
