Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1997,1997-10-19,22.304000000000002,5.0,9.0,55.56,98.0,1.0,0.0,130.8,2.0,14.0,10.89,13.11
1997,1997-10-26,22.311,21.0,40.0,52.5,195.0,2.0,4.0,43.2,6.0,38.0,4.88,1.38
1997,1997-11-02,22.318,7.0,18.0,38.89,132.0,1.0,1.0,60.4,4.0,24.0,7.33,5.94
1997,1997-11-09,22.325,13.0,22.0,59.09,148.0,0.0,0.0,79.4,8.0,40.0,6.73,6.73
1997,1997-11-16,22.331999999999997,22.0,33.0,66.67,388.0,1.0,2.0,91.5,8.0,38.0,11.76,9.64
1997,1997-11-23,22.339000000000002,19.0,34.0,55.88,218.0,1.0,2.0,60.7,2.0,16.0,6.41,4.35
1997,1997-11-30,22.346,15.0,26.0,57.69,270.0,2.0,0.0,119.1,10.0,53.0,10.38,11.92
1997,1997-12-07,22.353,19.0,38.0,50.0,337.0,4.0,2.0,93.9,5.0,36.0,8.87,8.61
1997,1997-12-14,22.36,17.0,37.0,45.95,180.0,0.0,2.0,38.1,5.0,26.0,4.86,2.43
1997,1997-12-21,23.002,19.0,39.0,48.72,237.0,3.0,2.0,72.3,2.0,6.0,6.08,5.31
1998,1998-09-06,23.261,14.0,33.0,42.42,166.0,0.0,0.0,58.4,2.0,6.0,5.03,5.03
1998,1998-09-13,23.268,22.0,36.0,61.11,204.0,1.0,3.0,51.2,7.0,41.0,5.67,2.47
1998,1998-09-20,23.275,21.0,35.0,60.0,137.0,1.0,0.0,77.9,3.0,8.0,3.91,4.49
1998,1998-09-27,23.281999999999996,21.0,31.0,67.74,211.0,1.0,1.0,84.2,1.0,8.0,6.81,6.0
1998,1998-10-04,23.289,23.0,39.0,58.97,208.0,2.0,3.0,58.5,3.0,21.0,5.33,2.9
1998,1998-10-11,23.296,18.0,25.0,72.0,157.0,0.0,2.0,54.9,1.0,7.0,6.28,2.68
1998,1998-10-18,23.303,12.0,21.0,57.14,139.0,1.0,2.0,53.6,7.0,32.0,6.62,3.29
1998,1998-11-01,23.316999999999997,15.0,25.0,60.0,198.0,2.0,1.0,95.1,4.0,26.0,7.92,7.72
1998,1998-11-08,23.324,22.0,30.0,73.33,186.0,1.0,0.0,100.1,4.0,22.0,6.2,6.87
1998,1998-11-15,23.331,31.0,56.0,55.36,465.0,3.0,1.0,93.2,3.0,17.0,8.3,8.57
1998,1998-11-22,23.338,17.0,28.0,60.71,251.0,2.0,1.0,99.0,1.0,3.0,8.96,8.79
1998,1998-11-29,23.345,20.0,37.0,54.05,250.0,1.0,2.0,61.8,5.0,36.0,6.76,4.86
1998,1998-12-06,23.351999999999997,18.0,40.0,45.0,263.0,1.0,2.0,54.5,2.0,10.0,6.58,4.83
1998,1998-12-13,23.359,18.0,26.0,69.23,234.0,1.0,1.0,94.1,2.0,14.0,9.0,8.04
1998,1998-12-20,24.000999999999998,32.0,44.0,72.73,394.0,0.0,1.0,90.5,0.0,0.0,8.95,7.93
1998,1998-12-27,24.008000000000003,20.0,41.0,48.78,274.0,0.0,0.0,70.6,4.0,29.0,6.68,6.68
1999,1999-09-12,24.267,25.0,48.0,52.08,274.0,1.0,3.0,50.2,1.0,8.0,5.71,3.31
1999,1999-09-19,24.274,11.0,27.0,40.74,112.0,0.0,4.0,13.7,2.0,18.0,4.15,-2.52
1999,1999-09-27,24.281999999999996,16.0,31.0,51.61,176.0,0.0,2.0,41.9,5.0,27.0,5.68,2.77
1999,1999-10-03,24.288,16.0,33.0,48.48,111.0,1.0,3.0,28.7,1.0,4.0,3.36,-0.12
1999,1999-10-10,24.295,13.0,19.0,68.42,156.0,1.0,0.0,110.9,3.0,21.0,8.21,9.26
1999,1999-10-17,24.302,12.0,23.0,52.17,99.0,0.0,2.0,27.3,2.0,9.0,4.3,0.39
1999,1999-11-28,24.344,12.0,18.0,66.67,125.0,2.0,0.0,123.6,1.0,4.0,6.94,9.17
1999,1999-12-05,24.351,20.0,37.0,54.05,179.0,1.0,1.0,65.0,1.0,6.0,4.84,4.16
1999,1999-12-12,24.358,15.0,32.0,46.88,147.0,0.0,3.0,21.2,5.0,27.0,4.59,0.38
1999,1999-12-19,25.0,11.0,30.0,36.67,119.0,1.0,1.0,46.4,2.0,11.0,3.97,3.13
1999,1999-12-26,25.006999999999998,15.0,26.0,57.69,217.0,0.0,2.0,52.9,1.0,5.0,8.35,4.88
1999,2000-01-02,25.014,35.0,57.0,61.4,396.0,2.0,3.0,72.0,3.0,12.0,6.95,5.28
2000,2000-09-03,25.259,28.0,49.0,57.14,318.0,2.0,3.0,64.8,1.0,6.0,6.49,4.55
2000,2000-09-10,25.266,18.0,24.0,75.0,243.0,2.0,0.0,134.5,2.0,19.0,10.13,11.79
2000,2000-09-24,25.28,21.0,43.0,48.84,189.0,0.0,4.0,22.3,1.0,8.0,4.4,0.21
2000,2000-10-01,25.287,24.0,41.0,58.54,239.0,1.0,0.0,83.3,0.0,0.0,5.83,6.32
2000,2000-10-08,25.294,17.0,30.0,56.67,171.0,2.0,0.0,95.3,1.0,2.0,5.7,7.03
2000,2000-10-15,25.301,18.0,30.0,60.0,213.0,2.0,2.0,76.1,1.0,6.0,7.1,5.43
2000,2000-10-22,25.308000000000003,20.0,31.0,64.52,180.0,0.0,3.0,40.5,1.0,13.0,5.81,1.45
2000,2000-10-29,25.315,26.0,47.0,55.32,289.0,1.0,2.0,63.2,3.0,20.0,6.15,4.66
2000,2000-11-05,25.322,12.0,19.0,63.16,146.0,0.0,1.0,64.8,1.0,13.0,7.68,5.32
2000,2000-11-12,25.329,19.0,28.0,67.86,219.0,0.0,0.0,91.2,2.0,21.0,7.82,7.82
2000,2000-11-19,25.336,8.0,15.0,53.33,51.0,0.0,0.0,60.7,5.0,22.0,3.4,3.4
2000,2000-12-03,25.35,22.0,44.0,50.0,278.0,2.0,1.0,75.8,1.0,10.0,6.32,6.2
2000,2000-12-17,25.364,23.0,43.0,53.49,266.0,1.0,2.0,60.8,2.0,8.0,6.19,4.56
2000,2000-12-24,26.005,14.0,31.0,45.16,144.0,0.0,3.0,19.5,1.0,3.0,4.65,0.29
2001,2001-09-23,26.278000000000002,16.0,28.0,57.14,242.0,1.0,1.0,82.7,3.0,18.0,8.64,7.75
2001,2001-09-30,26.285,23.0,35.0,65.71,276.0,1.0,3.0,63.5,4.0,31.0,7.89,4.6
2001,2001-10-07,26.291999999999998,18.0,32.0,56.25,238.0,2.0,1.0,87.8,1.0,6.0,7.44,7.28
2001,2001-10-14,26.299,20.0,37.0,54.05,216.0,1.0,0.0,80.5,1.0,10.0,5.84,6.38
2001,2001-10-21,26.305999999999997,16.0,25.0,64.0,228.0,1.0,0.0,106.7,0.0,0.0,9.12,9.92
2001,2001-10-28,26.313000000000002,25.0,41.0,60.98,233.0,0.0,2.0,56.3,2.0,16.0,5.68,3.49
2001,2001-11-04,26.32,24.0,41.0,58.54,293.0,1.0,1.0,78.6,3.0,23.0,7.15,6.54
2001,2001-11-11,26.326999999999998,13.0,26.0,50.0,172.0,1.0,1.0,68.1,2.0,37.0,6.62,5.65
2001,2001-11-18,26.334,21.0,33.0,63.64,334.0,4.0,1.0,124.2,2.0,6.0,10.12,11.18
2001,2001-11-25,26.340999999999998,19.0,31.0,61.29,241.0,1.0,2.0,69.4,3.0,14.0,7.77,5.52
2001,2001-12-02,26.348000000000003,22.0,38.0,57.89,249.0,1.0,0.0,86.4,1.0,4.0,6.55,7.08
2001,2001-12-09,26.355,20.0,34.0,58.82,253.0,1.0,1.0,79.7,1.0,7.0,7.44,6.71
2001,2001-12-15,26.361,27.0,45.0,60.0,207.0,1.0,0.0,78.7,3.0,10.0,4.6,5.04
2001,2001-12-23,27.004,17.0,31.0,54.84,144.0,0.0,0.0,67.1,1.0,10.0,4.65,4.65
2001,2001-12-30,27.011,12.0,23.0,52.17,173.0,2.0,0.0,105.9,0.0,0.0,7.52,9.26
2001,2002-01-06,27.018,11.0,25.0,44.0,154.0,0.0,1.0,47.7,2.0,12.0,6.16,4.36
2002,2002-09-08,27.263,14.0,36.0,38.89,187.0,1.0,1.0,53.8,1.0,0.0,5.19,4.5
2002,2002-09-15,27.27,10.0,22.0,45.45,107.0,1.0,1.0,56.4,2.0,9.0,4.86,3.73
2002,2002-09-22,27.276999999999997,16.0,36.0,44.44,229.0,2.0,2.0,61.0,3.0,29.0,6.36,4.97
2002,2002-09-29,27.284000000000002,23.0,32.0,71.88,168.0,1.0,0.0,94.3,1.0,7.0,5.25,5.88
2002,2002-10-06,27.291,18.0,40.0,45.0,221.0,1.0,1.0,60.5,1.0,0.0,5.53,4.9
2002,2002-10-20,27.305,23.0,46.0,50.0,232.0,0.0,0.0,64.8,1.0,4.0,5.04,5.04
2002,2002-10-27,27.311999999999998,24.0,36.0,66.67,286.0,0.0,3.0,56.0,3.0,17.0,7.94,4.19
2002,2002-11-03,27.319000000000003,19.0,30.0,63.33,193.0,1.0,1.0,78.9,3.0,22.0,6.43,5.6
2002,2002-11-10,27.326,17.0,29.0,58.62,226.0,0.0,2.0,54.7,0.0,0.0,7.79,4.69
2002,2002-11-17,27.333000000000002,20.0,35.0,57.14,163.0,2.0,1.0,76.3,4.0,39.0,4.66,4.51
2002,2002-11-24,27.34,16.0,34.0,47.06,145.0,2.0,2.0,54.2,2.0,14.0,4.26,2.79
2002,2002-12-01,27.346999999999998,14.0,31.0,45.16,88.0,0.0,3.0,12.6,2.0,10.0,2.84,-1.52
2002,2002-12-08,27.354,24.0,43.0,55.81,228.0,2.0,1.0,76.5,6.0,48.0,5.3,5.19
2002,2002-12-15,27.361,17.0,27.0,62.96,258.0,2.0,1.0,103.6,1.0,9.0,9.56,9.37
2002,2002-12-21,28.002,16.0,26.0,61.54,109.0,2.0,1.0,80.4,5.0,33.0,4.19,4.0
2002,2002-12-29,28.01,13.0,27.0,48.15,132.0,1.0,0.0,74.9,1.0,7.0,4.89,5.63
2003,2003-09-07,28.261999999999997,12.0,25.0,48.0,115.0,0.0,3.0,21.7,0.0,0.0,4.6,-0.8
2003,2003-09-14,28.269000000000002,9.0,13.0,69.23,94.0,3.0,0.0,129.5,0.0,0.0,7.23,11.85
