Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2015,2015-09-13,21.25,16.0,33.0,48.48,210.0,2.0,2.0,64.0,4.0,29.0,6.36,4.85
2015,2015-09-20,21.256999999999998,14.0,21.0,66.67,207.0,1.0,0.0,114.6,3.0,13.0,9.86,10.81
2015,2015-09-27,21.264,17.0,36.0,47.22,261.0,1.0,1.0,69.3,0.0,0.0,7.25,6.56
2015,2015-10-04,21.271,26.0,43.0,60.47,287.0,2.0,4.0,57.0,2.0,17.0,6.67,3.42
2015,2015-10-11,21.278000000000002,13.0,19.0,68.42,209.0,1.0,0.0,122.5,2.0,23.0,11.0,12.05
2015,2015-10-25,21.291999999999998,21.0,29.0,72.41,297.0,2.0,0.0,128.1,1.0,8.0,10.24,11.62
2015,2015-11-01,21.299,16.0,29.0,55.17,177.0,1.0,0.0,85.0,2.0,4.0,6.1,6.79
2015,2015-11-08,21.305999999999997,19.0,36.0,52.78,247.0,0.0,0.0,74.7,0.0,0.0,6.86,6.86
2015,2015-11-15,21.313000000000002,22.0,39.0,56.41,264.0,0.0,2.0,55.9,2.0,18.0,6.77,4.46
2015,2015-11-22,21.32,19.0,29.0,65.52,246.0,5.0,0.0,131.6,1.0,8.0,8.48,11.93
2015,2015-11-29,21.326999999999998,20.0,36.0,55.56,245.0,1.0,1.0,74.4,5.0,33.0,6.81,6.11
2015,2015-12-06,21.334,18.0,27.0,66.67,227.0,1.0,1.0,89.6,1.0,5.0,8.41,7.48
2015,2015-12-13,21.340999999999998,18.0,32.0,56.25,182.0,1.0,0.0,83.1,1.0,6.0,5.69,6.31
2015,2015-12-17,21.345,29.0,50.0,58.0,363.0,2.0,1.0,85.7,0.0,0.0,7.26,7.16
2015,2015-12-27,21.355,15.0,29.0,51.72,295.0,2.0,1.0,96.2,1.0,10.0,10.17,10.0
2015,2016-01-03,21.362,29.0,47.0,61.7,325.0,0.0,2.0,64.6,2.0,16.0,6.91,5.0
2016,2016-09-11,22.249000000000002,23.0,32.0,71.88,281.0,4.0,1.0,125.1,0.0,0.0,8.78,9.88
2016,2016-09-18,22.256,27.0,52.0,51.92,243.0,1.0,4.0,39.2,3.0,22.0,4.67,1.6
2016,2016-09-25,22.263,36.0,58.0,62.07,405.0,3.0,1.0,93.0,2.0,16.0,6.98,7.24
2016,2016-10-02,22.27,17.0,35.0,48.57,179.0,0.0,2.0,40.1,5.0,36.0,5.11,2.54
2016,2016-10-10,22.278000000000002,18.0,30.0,60.0,219.0,1.0,0.0,93.6,2.0,17.0,7.3,7.97
2016,2016-10-23,22.291,21.0,30.0,70.0,269.0,3.0,1.0,117.2,2.0,5.0,8.97,9.47
2016,2016-10-30,22.298000000000002,16.0,32.0,50.0,180.0,2.0,0.0,88.0,2.0,12.0,5.63,6.88
2016,2016-11-03,22.302,23.0,37.0,62.16,261.0,3.0,0.0,110.3,2.0,10.0,7.05,8.68
2016,2016-11-13,22.311999999999998,23.0,33.0,69.7,312.0,2.0,1.0,107.1,4.0,32.0,9.45,9.3
